frame,x,y,r_px,r_um
384,344.05,275.85,10.0,1.4381
384,533.67,872.29,10.0,1.4381
384,1092.17,102.59,11.0,1.5819
384,734.77,602.63,10.0,1.4381
384,700.65,334.18,6.0,0.8629
384,1575.81,223.77,5.0,0.719
384,1487.87,1054.08,6.0,0.8629
384,428.27,225.55,8.0,1.1505
384,261.06,251.87,6.0,0.8629
384,487.88,57.43,19.0,2.7324
