particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape,r_um_manual,T,eta_cP,kb_i,r_star_um,free
1,1000,0.0839611934793704,0.0006024971496398,0.0246790033625169,1.006884797779489,30,10.0,1.4381,0.1693284885327689,0.0099322439447925,0.0104458090939953,0.1633413769982429,0.9791666666666666,108.8803862072709,120,1.4381,30.3,0.7921439813809015,5.9413590374960436e-24,1.4134024195882957,False
2,1000,0.0845562323913539,0.0004617096159501,0.0051973060638801,1.0555666005414024,30,10.0,1.4381,0.1516528835576403,0.009301895963948,0.0225199795509226,0.1947110645714477,0.8541666666666666,49.20383300334749,120,1.4381,30.3,0.7921439813809015,5.983465868888854e-24,1.4134024195882957,False
10,1000,0.2385717365272393,0.0012713123989156,-0.0595266244177742,1.0804742584859854,30,10.999930463806413,1.5819,0.2899846995177243,0.0198656276666095,0.0208910066808295,0.2094485635684502,0.9583333333333334,49.87530492498148,120,1.5819,30.3,0.7921439813809015,1.8570180535135545e-23,1.4134024195882957,False
11,1000,0.2792829617991064,0.0022352686605479,-0.0948909477302893,1.0929796293162422,30,4.999652319032056,0.719,0.4201302617748846,0.0251844200768973,0.0268254121281092,0.1957124521916564,0.9791666666666666,169.49513786024892,120,0.719,30.3,0.7921439813809015,9.880784785952545e-24,1.4134024195882957,True
12,1000,0.2661416678151995,0.0015880911529809,-0.0679240238726369,1.0720573850060386,30,6.000278144774355,0.8629,0.2357487756058787,0.0199980391492893,0.0229108565348742,0.226759682331779,1.0,535.0794257531213,120,0.8629,30.3,0.7921439813809015,1.1300338455567379e-23,1.4134024195882957,True
9,1000,0.2231329625523672,0.0015001766178205,0.0422770067966563,1.026847789974815,30,6.000278144774355,0.8629,0.4242800780033078,0.0287625362693939,0.0384233888498886,0.2591686015129721,0.9375,63.18945101368478,120,0.8629,30.3,0.7921439813809015,9.474194770531108e-24,1.4134024195882957,True
1218,861,0.2465130922999977,0.0008383996848686,-0.0522995189745095,1.074762511456285,30,6.000278144774355,0.8629,0.3758914464132926,0.0335071087408359,0.0335212235769055,0.2772325426375586,0.9791666666666666,127.03340488241648,103,0.8629,30.3,0.7921439813809015,1.04669118503187e-23,1.4134024195882957,True
7,456,0.3020813701685931,0.0014779752231697,-0.0956927016973191,1.091058601096119,30,10.0,1.4381,0.1830849475539666,0.0503000055689012,0.0701885748936307,0.3314252749268339,0.9166666666666666,126.13356859220448,55,1.4381,30.3,0.7921439813809015,2.1376231141251482e-23,1.4134024195882957,False
1011,275,0.4656476076463062,0.0019991510405241,-0.1745095815915795,1.1023051110637414,30,19.000069536193593,2.7324,0.1089970911175156,0.1280503247096303,0.2661021953904434,0.4394210171986573,0.9583333333333334,165.78814489270638,33,2.7324,30.3,0.7921439813809015,6.260654835487746e-23,1.4134024195882957,False
2166,179,0.4874777270412753,0.0044367037599183,-0.1003420716999305,1.0809810803159865,30,8.000139072387178,1.1505,0.1487537516813298,0.0778373411585829,0.0995620629738363,0.3698443659125769,0.9166666666666666,113.32726878026736,22,1.1505,30.3,0.7921439813809015,2.7596849717687774e-23,1.4134024195882957,True
