particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape,kb_i
21,1118,0.1043425253644507,0.0021849781941671,0.0989610197682365,0.9052083731915576,30,8.368987316182864,1.2035440659402576,0.0466824812352937,0.0210042462829672,0.0928921782087122,0.2692358890556864,0.7916666666666666,10.49330527316995,120,7.067020738930087e-24
2,1118,0.0901726801551466,0.0001936155718013,-0.0231381149104925,1.0873054424926956,30,13.024083304204058,1.8729934199775853,0.0031809004187491,0.0066028462927828,0.0077268357118621,0.118718057062754,0.9791666666666666,217.325999760893,120,9.504390162134352e-24
1,1118,0.0694799720677515,0.0001724145387528,0.0080359335453294,0.9927041446377296,30,13.653969723776378,1.9635773859762808,0.0041629163035962,0.0051826441525681,0.0077410442243445,0.1159604285008489,0.9166666666666666,48.802369190395865,120,7.677515170314629e-24
3,1118,0.1145369991385283,0.0005407246590852,-0.0250545873513801,1.0580081239383547,30,11.479110798818104,1.6508109239780318,0.0030363501637564,0.0054532294730855,0.0065265383672426,0.1071592190519385,0.9583333333333334,46.55087952450478,120,1.0640356053587735e-23
10,1118,0.1547884945754931,0.0006971480654357,-0.0155197668587536,1.0381431802205778,30,9.57058354855289,1.376345620117391,0.1616319928560874,0.0133306109083449,0.0172628116882044,0.192970106393839,0.9583333333333334,32.71809026941118,120,1.198889641551715e-23
5,1118,0.1211604766466392,0.0005270284627691,0.02299626101926,0.9977191993067136,30,9.683362660823118,1.3925643842529725,0.1909752300983906,0.009414557504157,0.0102455573375133,0.1479258609999785,0.9791666666666666,173.58502476020988,120,9.494875687633207e-24
0,1118,0.1089978326107866,0.0008072189208746,-0.0306218150033416,1.0569723136279594,30,12.045839163301434,1.7323121300743791,0.0032478598418328,0.0051572001074613,0.0057866918589091,0.0889195800978421,0.9791666666666666,262.6825780740668,120,1.0625687394803157e-23
7,738,0.1040034038370742,0.0007432492259193,-0.0405627740707771,1.083505125983081,30,12.011904858086975,1.727432037641488,0.0386030993313394,0.0077397845030331,0.0087010563363532,0.1339936822921934,0.9791666666666666,79.69588957960161,79,1.0110241961579723e-23
3396,641,0.0687633093077536,0.0002786250507096,0.0127465787465634,0.987955971676768,30,11.59979677249674,1.668166773852756,0.0362569000732069,0.0107105696127145,0.0754133853044167,0.2827348400097084,0.7916666666666666,14.42893753810565,69,6.4551934599304686e-24
1485,476,0.1477336210296742,0.0030351741943214,0.1335779184847145,0.9230952503148196,30,8.415117384593794,1.2101780310784334,0.0865663399650656,0.0198766295117932,0.0302027168949365,0.2268496054967578,0.9166666666666666,30.259418103477604,50,1.0061011229737195e-23
34,452,0.1833042145912996,0.0018095643645983,0.0816431961278276,0.9701361556603788,30,7.182710630289009,1.0329456157418624,0.0644321278670159,0.0613793247404907,0.061466197244328,0.3930779345959864,1.0,48.7105409162354,49,1.0655232570635842e-23
348,319,0.2046734472000913,0.0009263099308058,-0.0597110578286085,1.0820559781460013,30,9.358636702917424,1.3458655442465548,0.0685232121820819,0.0218375519912412,0.0229478821952098,0.2210561670582815,1.0,205.50215441490965,35,1.550158854382437e-23
958,255,0.1617437220021516,0.0032480281424049,0.1529932085037965,0.907372732308778,30,7.469037734791679,1.0741223166403913,0.0983391501449061,0.0407427836809384,0.04574193480553,0.3258861249289654,1.0,20.08578408619853,27,9.77674299538667e-24
6300,223,0.5707886377121968,0.0044675094522604,-0.2832031371537897,1.2265021889847203,30,7.847304111281462,1.128520804243387,0.1961069818068647,0.0350902533949028,0.0465418391947053,0.2823226338120499,0.9791666666666666,135.58940564976143,24,3.62491573428653e-23
6432,204,0.2259393788105665,0.0029641688713429,0.0643223931568545,1.0199263592436056,30,7.102505564136544,1.0214113251784764,0.1799151930865228,0.0616128677468019,0.0882649256847779,0.4240257442657904,1.0,100.00792907454276,22,1.2986903861214676e-23
243,198,0.3696723302965942,0.0085487759710884,0.1320884133873096,1.0810615867676492,30,8.254587253711646,1.187092192956272,0.1538148410393147,0.0470529405567849,0.0677928699325516,0.3286521411790076,0.9166666666666666,61.14469594304512,21,2.469530647600586e-23
4804,189,0.1296156593980224,0.0022479386016746,0.0776234844947058,0.8655637195708058,30,8.227595318529925,1.1832104827577885,0.1023978604095126,0.021561432979484,0.0395873041628823,0.2683611734673806,0.8541666666666666,21.26840779726129,20,8.630431473280832e-24
5516,173,0.2116566758405729,0.0027009836991101,-0.0020469262950534,1.0572106227210567,30,8.438943770735536,1.2136045036694774,0.0502998128687254,0.0169965596890586,0.0170941102960366,0.2006472149895689,1.0,226.8367947100936,18,1.4455135824650168e-23
2844,146,0.0809744759489747,0.0015310118158002,0.112371880063539,0.8077572827310626,30,9.059399848780917,1.3028322922531836,0.0466713455045575,0.0108150957904422,0.0144524972915059,0.1625013642166649,0.9583333333333334,149.51028776723246,16,5.936762657170511e-24
3229,146,0.1717695267738294,0.0027938379311125,0.117675793370636,0.9479061824855952,30,7.55043185677342,1.0858276053225857,0.1342790143636608,0.0644168077756881,0.0645172446744123,0.3975002749411737,1.0,41.29062083499697,15,1.0495908212444082e-23
6660,142,0.3986534043315401,0.0071905607495079,-0.3086585207443297,1.1364311107580185,30,7.266455204934402,1.0449889230216165,0.0605496154535572,0.0625017633352326,0.0640710653843775,0.3995237511743971,1.0,66.2228400864867,14,2.3443378009141054e-23
39,134,0.4470633563700019,0.0094066803111474,-0.3881360807261187,1.1098387544040873,30,13.43428149626714,1.9319840219781768,0.1225947115266973,0.0902064329186519,0.1061505171232337,0.4160486788182638,1.0,41.25609782631854,15,4.8605524164053365e-23
6012,128,0.0533227736370508,0.0036833815153829,0.2326603710117785,0.624271475490947,30,8.761780097602543,1.2600315958362216,0.137338938882507,0.0671240844584384,0.0992952388019163,0.433300547567615,1.0,207.30217760804925,14,3.781004491292423e-24
8,89,0.062460201255916,0.0019544656826047,0.0986360288235433,0.7062011981546775,30,8.818532649998977,1.2681931803963529,0.0846092167759135,0.0110707760227473,0.0270418996026838,0.2160623152290292,0.9270833333333331,144.41999470282985,10,4.457607433876261e-24
1734,74,0.195850080275064,0.0042833678280067,-0.1143734299964709,1.2198252675455827,30,9.849605494698148,1.4164717661925406,0.0615374205576686,0.0503866135554975,0.0870661423936123,0.2893404442158852,0.957890070921986,165.2773674060387,8,1.561150248583733e-23
7173,73,0.1242577252740218,0.002103635460444,0.0468661650079592,0.9526657837799214,30,7.9161285457789,1.1384184461684634,0.0281087505201063,0.0324258166579041,0.0592110076176042,0.334993675921292,0.9583333333333331,69.63670616273005,8,7.96046338964353e-24
1619,67,0.1979062422229744,0.0067080798187185,0.2481736470460716,0.855973146555805,30,9.058144944999492,1.3026518245403769,0.1370726089496531,0.0832520947445853,0.1043997160403349,0.4339103081922109,0.9791666666666666,115.46803961293128,7,1.450777698761668e-23
7381,64,0.177520180581822,0.0054798923945813,-0.0288406153585278,0.9493718094135112,30,8.961450078667275,1.288746135813141,0.0341761126608018,0.0928097996089046,0.0931108292207317,0.446938826345341,1.0,49.37276943862359,7,1.2874433649797002e-23
