particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,795.0520629882812,1166.05078125,795.0520629882812,1166.05078125,343.64304,10.0,1,56.548946
1,0,463.8896179199219,636.7113647460938,463.8896179199219,636.7113647460938,315.89078,11.0,1,55.527164
2,0,234.30332946777344,898.13671875,234.30332946777344,898.13671875,275.57516,10.0,1,58.08792
3,0,1228.501220703125,296.3100891113281,1228.501220703125,296.3100891113281,177.182,9.0,1,40.881283
4,0,1076.0360107421875,195.25103759765625,1076.0360107421875,195.25103759765625,113.211525,17.0,1,15.932926
5,0,903.2452392578125,506.37225341796875,903.2452392578125,506.37225341796875,76.69692,7.0,1,30.477098
6,0,477.7403869628906,1130.9078369140625,477.7403869628906,1130.9078369140625,67.31106,10.0,1,77.111435
7,0,6.996650695800781,886.1925659179688,6.996650695800781,886.1925659179688,54.924282,10.0,1,39.239494
8,0,1593.2064208984375,15.631290435791016,1593.2064208984375,15.631290435791016,48.677357,6.0,1,27.591274
9,0,1565.24072265625,160.59715270996094,1565.24072265625,160.59715270996094,39.65959,10.0,1,28.817833
10,0,1247.353759765625,323.1979064941406,1247.353759765625,323.1979064941406,36.15606,7.0,1,30.082445
11,0,1035.9691162109375,761.9765014648438,1035.9691162109375,761.9765014648438,31.618658,9.0,-1,37.931908
12,0,1521.8917236328125,482.0783996582031,1521.8917236328125,482.0783996582031,30.846512,10.0,-1,29.753338
13,0,502.99676513671875,1152.0643310546875,502.99676513671875,1152.0643310546875,25.393293,5.0,1,5.5723944
14,0,633.06787109375,900.9741821289062,633.06787109375,900.9741821289062,23.425234,6.0,1,51.980038
15,0,205.3376007080078,1130.772216796875,205.3376007080078,1130.772216796875,22.62142,12.0,-1,5.46838
17,0,1297.0833740234375,208.63209533691406,1297.0833740234375,208.63209533691406,17.066435,10.0,-1,28.464254
18,0,333.2127990722656,488.3709716796875,333.2127990722656,488.3709716796875,16.602951,7.0,1,34.555008
19,0,1466.816162109375,46.555179595947266,1466.816162109375,46.555179595947266,16.176851,8.0,-1,50.889973
20,0,399.5348815917969,707.326416015625,399.5348815917969,707.326416015625,15.299034,6.0,1,54.57855
21,0,796.3063354492188,868.9906616210938,796.3063354492188,868.9906616210938,14.397915,6.0,1,57.380432
22,0,140.40992736816406,478.7942199707031,140.40992736816406,478.7942199707031,13.061931,15.0,-1,42.9554
23,0,324.3446350097656,475.96417236328125,324.3446350097656,475.96417236328125,12.297108,7.0,1,44.3371
25,0,481.9465637207031,1121.276611328125,481.9465637207031,1121.276611328125,10.049039,7.0,1,35.03852
27,0,1143.1038818359375,168.9632568359375,1143.1038818359375,168.9632568359375,9.665432,6.0,1,49.12131
28,0,1025.1236572265625,957.1427001953125,1025.1236572265625,957.1427001953125,8.467963,6.0,1,48.476273
29,0,541.981689453125,93.95564270019531,541.981689453125,93.95564270019531,8.406064,5.0,1,26.342484
30,0,683.8766479492188,201.74591064453125,683.8766479492188,201.74591064453125,7.604229,7.0,1,31.923985
31,0,922.1511840820312,276.4296875,922.1511840820312,276.4296875,7.0054603,8.0,-1,15.144985
32,0,716.6336669921875,413.3948059082031,716.6336669921875,413.3948059082031,6.7713695,10.0,-1,49.405228
33,0,386.9485778808594,709.9323120117188,386.9485778808594,709.9323120117188,6.167583,6.0,1,42.114346
34,0,469.8824157714844,25.072900772094727,469.8824157714844,25.072900772094727,5.751022,5.0,1,45.941586
