particle,r_px_manual,r_um_manual
945,7.41,1.0661
528,8.11,1.1668
200,7.43,1.0686
4167,7.57,1.0886
3,7.79,1.1198
2,7.82,1.1249
1,8.35,1.2001
4,8.38,1.2058
4194,7.93,1.1406
811,7.85,1.1292
0,8.25,1.1866
1879,7.45,1.0715
