y,x,mass,size,ecc,signal,raw_mass,ep,frame,particle
96.65984606720481,1579.6035291909143,1851.587829682778,5.936084066889839,0.5260787510431169,22.24547045235551,52136.0,-0.09481715981736871,0,1
117.44021352313167,338.83985765124555,1953.430374097468,3.425152930580585,0.12250548583455778,57.35160350997904,47019.0,-0.042090661778586995,0,2
193.20598469032706,1293.2038970076549,998.9606575010895,6.032041561539441,0.33100217830337403,8.68963689545137,53649.0,-0.15059817083186636,0,5
241.49327265532253,971.9893153937476,1756.696994784449,5.774947600308411,0.4617853036253554,22.593055928173563,53437.0,-0.13912943879999484,0,7
277.9870211102424,1528.4925723221268,2222.8091178564605,2.679257479438264,0.04192916552092952,74.73087730088179,50138.0,-0.0636729068873625,0,8
328.23773075191355,354.2091400270149,1543.9746835837993,6.4991773801489865,0.07392479560335413,27.806838065444385,52887.0,-0.116176388480256,0,9
387.7917261055635,1451.1741468232196,3167.5464411299336,4.2715491217454415,0.3101032109298031,64.99848397797625,53331.0,-0.13402609216622516,0,11
405.4347213745834,1096.7746584667386,7403.9182204003855,6.959434999004972,0.07693632189695569,31.977863775261042,59088.0,0.13508379649171054,0,12
449.30345460805694,168.8543555606565,3028.5122508027116,4.335666382927408,0.16481742216478198,54.91850517925266,45505.0,-0.036143818701087606,0,13
527.9833244397012,738.443303094984,5211.001453464278,3.7763835308451417,0.11882694352923426,80.63983038978871,51112.0,-0.07581220500079448,0,15
537.1847914963205,671.4262741891523,1275.291110776443,5.279694152708409,0.15044827264172186,51.79023589689017,51809.0,-0.08778938981970383,0,17
547.7359714563737,1009.452481349335,2143.212043894126,2.6602393079342375,0.08082653473436546,69.86468063942901,52330.0,-0.09954484170886853,0,18
767.3781286746179,1169.3006327341957,6207.529012634641,3.806110535224869,0.037040156865843374,88.63429633360397,50805.0,-0.0715147256837407,0,22
769.7641272902604,353.05612343297975,1802.2306921166141,6.088863001569375,0.5617819586875311,20.85512854908329,52222.0,-0.0968563335718765,0,23
790.7390713377472,810.3126671635902,7927.381946982376,4.48780519771212,0.03670508932254406,78.90190301069845,56059.0,-2.393559142588971,0,24
815.810274372446,1105.8088149445418,1190.8278401526557,2.3716928613555313,0.051932350472473195,55.96126160670682,53184.0,-0.1275384251121602,0,25
912.0780883502737,1593.4395035183738,3556.494588570337,3.068987858204666,0.03813536612874259,82.377757768879,50193.0,-0.06425388203202088,0,28
1064.283746556474,1237.850964187328,1261.7352772195388,6.162559126387827,0.3412519844924662,15.988931887630521,53916.0,-0.1680441419919443,0,30
87.64704994748543,1580.9285160158206,1737.9629792126707,6.007464306322777,0.521475683679488,20.65253087080515,51951.0,-0.09025018097205655,1,1
119.781989335564,337.2279299042092,1902.8331832829965,3.555354344932156,0.14144382436975345,54.95673469010862,47219.0,-0.04289928722114487,1,2
193.28902617673444,1290.749763843171,964.3681787977658,6.0798080015534355,0.36509109755336355,7.700943714537513,53679.0,-0.15118976809119797,1,5
242.39975404513012,973.8162897561581,1678.1056439769472,5.903549627646992,0.5026535306462958,21.00257376692049,53420.0,-0.13729468416359128,1,7
277.6722294462463,1528.8746919643622,2331.9857739204053,2.671187876445588,0.04484867297171588,76.30935135314445,50027.0,-0.06229369735443492,1,8
330.89630542487305,360.39457186969514,1584.9942336102665,6.73176768115732,0.21754931064964234,32.904032234842106,51434.0,-0.0805378406288827,1,9
388.3889446521845,1453.607556163264,3107.680831712002,4.222695308175866,0.2856294793012625,64.0578499891075,53525.0,-0.14260808343264533,1,11
405.9233044609671,1096.0553968331576,7116.722120921008,6.94487028353501,0.07706647346345517,32.904032234842106,58759.0,0.15348439502940364,1,12
449.73271721440966,167.57573255676868,3088.428472425658,3.9077251974739906,0.11152231464558675,59.15724944349272,45587.0,-0.036326121920137414,1,13
528.0474058558983,737.9370195005271,5045.168261710417,3.7858533740480707,0.10968973894594639,77.00943714537513,51013.0,-0.07404873274551405,1,15
536.5903880154538,671.8253423610043,1313.3609462247614,5.01006449745477,0.18469809073257978,52.50643441730123,52170.0,-0.09510862715212212,1,17
547.8804197199961,1008.9736825487782,2144.7128244986975,2.6457204667136693,0.03926011072651744,70.00857922306831,52104.0,-0.0935902497153765,1,18
767.1942440129358,1169.4197394298853,6307.7729879984545,3.78137998992311,0.031626695133861335,89.26093850941209,50864.0,-0.07199570060589672,1,22
768.2578888744379,353.3366795049949,1870.2791939442698,6.05828265232726,0.5328535836139215,21.00257376692049,52170.0,-0.09510862715212212,1,23
791.2135750012109,809.9877654888196,7838.160529814727,4.487000396883106,0.048060632921796825,78.4096087298365,55783.0,-0.8501184689226617,1,24
817.1653303063515,1103.1498976780472,1190.4958896882765,2.320219093569413,0.0495902912456901,54.95673469010862,53168.0,-0.1260253689267105,1,25
915.7645467451376,1593.9878566219356,3668.0995083926637,3.0779391357544292,0.04069360007930325,83.66025217156663,50035.0,-0.06237403576355985,1,28
1062.6663756255437,1234.3838050172,1327.0126191732597,6.158077649530069,0.3860439677356835,15.051844532959686,53838.0,-0.1612055485867778,1,30
97.67248624174489,1581.4475330859668,1889.6420445348933,5.865179985306598,0.484460249515624,23.651413596831283,51736.0,-0.09059433555117777,2,1
119.88402477127,336.120354474186,1883.993945765501,3.467831775498788,0.1581438227087034,55.42196917466435,46901.0,-0.04324948531455877,2,2
189.1679139532856,1295.12115920755,920.6400994109849,6.071563255710852,0.3891856975073369,8.472148154088817,53627.0,-0.15842076630384583,2,5
242.65060686210467,974.6847830731706,1725.1411678763357,5.88438156379898,0.4981642461414741,21.53337655830908,53438.0,-0.1473916415145441,2,7
276.42054533198916,1527.222494514536,2276.88981641137,2.659282411805191,0.040482105737155695,73.42528400210308,50168.0,-0.06685876266260136,2,8
331.27068243007045,361.45502102035147,1468.8586862151487,6.4537621138196295,0.16226469160672446,31.417549404746033,51338.0,-0.08310559696499895,2,9
390.17707632484496,1453.0754398509032,3214.8272183036192,4.1949055886600055,0.28660995371564174,66.01215436727537,53275.0,-0.13904321656859386,2,11
404.6286165449674,1095.4704089718928,7140.608869204525,6.846021088624894,0.0795733843232593,36.71264200105154,58849.0,0.14840502386006174,2,12
450.3328274306852,168.9651230404791,4235.368064698235,5.860095857058055,0.48436511749764116,62.129086463317996,48892.0,-0.055109072997163035,2,13
528.5554695438508,738.4041273875816,5168.716386340353,3.7657922266254715,0.1081600553417937,78.01436425223453,50856.0,-0.07554308128989251,2,15
535.1516813807226,670.3619145936309,1354.8376923080368,4.471815506471472,0.15863064434090748,56.48098769392545,52043.0,-0.09736173823909985,2,17
548.9408553071896,1008.6069105995837,2139.5704150805136,2.5953520319234102,0.06686876442733558,70.95424079049386,52250.0,-0.10252573344296981,2,18
766.2337613736316,1170.0327783500866,6350.581053835743,3.794711219669986,0.03262819397386635,90.01657413719369,50953.0,-0.07695231293922768,2,22
766.8208179966805,352.30275341130664,1828.5719765908366,6.0173494338034095,0.5383410964152757,21.53337655830908,51947.0,-0.09513937958802837,2,23
790.2940146891079,809.9032227963914,7874.861709225556,4.4823733835283575,0.042955952665174324,78.7203765984086,55826.0,-1.2245175665533683,2,24
817.0296095668748,1100.0594722126111,1290.9435749792835,2.318500453589572,0.03199017658815001,59.65804325170876,52991.0,-0.1265539186743333,2,25
915.8840611099236,1594.3250802836335,3669.4991692397193,3.0386321319444436,0.038689904403203745,83.30945684854004,49815.0,-0.0631348743921669,2,28
1059.3964440016166,1234.6736601839375,1330.8332725381185,6.1769658540260455,0.3764648219677816,15.532271615829499,53752.0,-0.1666692053323893,2,30
98.807599902076,1583.5213823906731,1908.1666997301713,5.971913084821442,0.5266045839727961,22.641627506838468,51973.0,-0.09656133142214249,3,1
119.00853099571847,336.0541808088026,1968.0799294405747,3.219932390869397,0.12746994507147866,58.171566056031146,46971.0,-0.04320425755436936,3,2
190.7481114120552,1292.1059967406566,930.3967241656238,6.266991130998709,0.41897536549195313,7.314987348363197,53549.0,-0.15806793915866496,3,5
244.47846150590436,975.9603397147835,1660.8504608093203,5.780920655411306,0.4803401222578605,21.248296583340718,53256.0,-0.14133129869604272,3,7
276.33290990518105,1526.6111382318197,2376.325890025416,2.671197777532765,0.04223122920200989,76.63320079237636,50118.0,-0.06622861246918449,3,8
329.84889771252335,361.7966043325691,1336.2043556343442,6.57865303111953,0.2505584872515294,38.31660039618818,51859.0,-0.09391785887113924,3,9
