t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05571261254476667,0.4350160274481141,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3199800592022939,-0.08303105698274749,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18300390018509916,-0.11505350776678824,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4135.0,-0.20471630071244817,-0.31619844550812104,0.0
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6452.0,-0.42190911010936816,-0.6834862234492789,0.0
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7299.0,0.5463055093864568,-0.3770831488262161,0.0
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8970.0,0.048663296509744214,-0.38471211053473553,0.0
7.0,8935.0,79.31771850585938,353.283447265625,338.8172912597656,49.04104390143978,185.15128949051368,0.0,10127.0,-0.027435402729452107,-0.36542348515064305,0.0
8.0,10153.0,82.16468048095703,353.2371826171875,338.2406311035156,51.42305832627754,186.30727290627138,0.0,12000.0,0.2509721305949597,-0.4577589848008188,0.0
9.0,11979.0,88.58467102050781,351.1875,340.5625,54.604080287755,187.87815199604864,0.0,13297.0,0.26952795793863515,-0.07005866977141295,0.0
10.0,13295.0,91.2862548828125,351.9242248535156,340.54571533203125,56.81431594236825,189.64124010206456,0.0,15172.0,-0.17845272152533198,-0.37345635400947685,0.0
11.0,15138.0,97.84126281738281,346.3865966796875,339.5794372558594,60.16278412656673,191.049731745428,0.0,16721.0,-0.29558288275973155,-0.4891806487555641,0.0
12.0,16532.0,102.02041625976562,344.46728515625,339.3915710449219,62.39159030664445,193.21490625725542,0.0,13984.0,-0.025337658706234834,-0.2685291452925185,0.0
13.0,17604.0,106.18966674804688,342.87567138671875,336.8410339355469,64.08414668021842,194.60678288829007,0.0,15771.0,-0.16131039434242211,-0.10171516348742671,0.0
14.0,18627.0,107.268798828125,343.7967529296875,335.9487609863281,65.6100451560706,196.01020381602586,0.0,15564.0,0.7069639375340557,-0.0578672614548168,0.0
15.0,19585.0,108.31151580810547,344.6849670410156,338.3003234863281,66.90879962323844,197.77006851391846,0.0,16031.0,0.17481069565565122,-0.3015081726755966,0.0
16.0,20529.0,109.70883178710938,345.5747985839844,338.2673034667969,68.20186148279201,199.1456752284043,0.0,16749.0,0.129291283135899,-0.34958595422187955,0.0
17.0,21339.0,110.46453094482422,346.2723693847656,340.4886474609375,69.27745471263253,200.26232796010336,0.0,17273.0,0.26791017614368684,-0.2089722598911976,0.0
18.0,22263.0,111.75961303710938,346.7229919433594,341.8565979003906,70.40634572225362,201.73497465734593,0.0,18346.0,0.30731001802053015,-0.1741187506007691,0.0
19.0,23150.0,113.084716796875,347.0740966796875,339.5410461425781,71.52586009952245,203.68541912153327,0.0,18535.0,0.17354054442603228,-0.18875590680227106,0.0
20.0,23859.0,113.88323974609375,347.7965393066406,337.5592956542969,72.37243822970932,204.50696751650867,0.0,19258.0,0.13685720888418018,-0.2922753123879147,0.0
21.0,24705.0,115.64363861083984,348.6222229003906,338.7796325683594,73.50744334399297,205.7984450864486,0.0,19863.0,0.06086524644331348,-0.016399015389083615,0.0
22.0,25497.0,118.12158966064453,347.8981628417969,339.7398986816406,74.40059986681956,207.06037766796427,0.0,20711.0,0.41562480659160883,-0.21195349644756334,0.0
23.0,26214.0,119.28748321533203,348.2815856933594,339.17852783203125,75.3433161694437,208.02163349036562,0.0,20788.0,0.1948731263415766,0.05568479916115621,0.0
24.0,26928.0,120.60345458984375,348.5885009765625,338.8932800292969,76.19602643974312,209.34576661280312,0.0,21562.0,-0.5657435072700991,-0.15681482112472622,0.0
25.0,27605.0,122.08379364013672,350.0492858886719,338.8980407714844,76.9622950620242,210.71782079359116,0.0,21888.0,0.3366523745488621,0.07707384384480065,0.0
26.0,28217.0,124.52843475341797,348.50762939453125,338.2707824707031,77.66027185171522,211.25008873828483,0.0,22665.0,0.6004425202021366,-0.04253167646157863,0.0
27.0,29003.0,125.75643920898438,349.7273254394531,338.70159912109375,78.51832263559476,212.24985276791125,0.0,23162.0,-0.1740305417450827,-0.2098013355962962,0.0
28.0,29614.0,126.79682922363281,350.7672424316406,338.26470947265625,79.24340825349327,213.01643129110957,0.0,24030.0,0.25248121531626566,-0.5360300361488157,0.0
