t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px,moved,Rfix_px
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11376633185648188,0.21819113601992512,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13445020766164362,-0.41933496959774175,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20853057708268352,-0.4727517675785293,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2944.0,-0.19743201381959352,-0.3613450554440192,0.0,0.0
4.0,2944.0,45.146209716796875,313.9505920410156,346.802978515625,26.778529773627326,44.53141899025963,0.0,7057.0,-0.06412952982395836,-0.04889991771926816,0.0,155.68297716050532
5.0,7052.0,75.40069580078125,311.5,367.0,40.79264385030878,66.60668124184836,0.0,11602.0,0.0067151164861343204,-0.12389960118366616,0.0,176.11465114179654
6.0,11595.0,91.61068725585938,314.5,367.5,50.18539890594307,80.95060222135473,0.0,14817.0,-0.0017594187510212578,-0.5167417478658081,0.0,182.1347460544853
7.0,14804.0,101.54442596435547,310.5,371.0,55.757625252263274,89.05054744357274,0.0,17182.0,-0.312746457917342,-0.47596947969742587,0.0,190.95948557731546
8.0,17158.0,105.7840805053711,310.5,370.0,59.03380667365623,92.65608450764226,0.0,19398.0,0.027808511117655144,-0.24238388760181806,0.0,195.38685534053488
9.0,19413.0,112.43897247314453,308.5,364.5,62.210061426565844,96.13220060680784,0.0,21612.0,-0.0888271210496896,0.02162839945202677,0.0,202.17511852332794
10.0,21684.0,115.6247329711914,304.4405822753906,368.0420227050781,65.2460468599206,100.12492197250393,0.0,23651.0,-0.149754884024901,-0.3005613362360009,0.0,209.0246047379571
11.0,23800.0,117.71269989013672,307.615234375,366.4828796386719,67.81043078918913,103.16006979447037,0.0,25755.0,0.16163631403287582,-0.2020527640628984,0.0,210.22084752470136
12.0,25929.0,122.28184509277344,306.8634338378906,368.00067138671875,70.4069682858428,106.60675400742676,0.0,27718.0,-0.3507092872001749,-0.275708740196535,0.0,212.36024439276414
13.0,27871.0,127.28724670410156,309.1998596191406,364.49261474609375,72.70488906044187,110.06134650657545,0.0,29459.0,-0.413061041161086,-0.34779718575197194,0.0,217.23478264571867
14.0,29673.0,130.0801544189453,314.9467468261719,362.04010009765625,74.81102275490514,112.92918134831227,0.0,31184.0,-0.1423610968453204,-0.3676455620615684,0.0,221.1590736595119
15.0,31428.0,131.9081268310547,320.4893798828125,357.84429931640625,76.80281447253407,115.52056094046635,0.0,32761.0,0.0334125474018947,-0.6365180270428823,0.0,224.43076563735673
16.0,33136.0,134.15553283691406,322.76971435546875,358.1251220703125,78.62245206772029,118.07624632503172,0.0,34206.0,-0.1902597953228451,-0.42451991399008193,0.0,226.1542525736544
17.0,34735.0,135.31317138671875,319.91705322265625,359.2913513183594,80.30501166661722,120.41594578792295,0.0,35918.0,-0.061413793593033006,-0.7118986454453875,0.0,228.1523832775678
18.0,36346.0,138.20675659179688,321.99127197265625,358.98785400390625,82.0380155773887,123.19395246025063,0.0,37697.0,-1.0320659256478848,-0.23637477007753205,0.0,232.4139081830386
19.0,38122.0,143.5171661376953,305.7642517089844,364.7840576171875,83.95127360305814,125.87692401707312,0.0,40092.0,1.3550753657392534,14.3374226638619,0.0,236.1057576986982
20.0,39416.0,145.67108154296875,306.0586853027344,364.6900939941406,85.13213761813606,127.27922061357856,0.0,41397.0,-6.186274700154627,21.292035272931344,0.0,237.10506286774933
21.0,40412.0,146.16146850585938,306.24249267578125,365.2176208496094,86.12630882915379,128.16005617976296,0.0,41648.0,6.960667308959955,5.1415975671270076,0.0,239.1426607795164
22.0,41849.0,146.16146850585938,306.24249267578125,365.2176208496094,87.20279567612812,129.11080462307612,0.0,43414.0,1.975846672581497,2.4631494004675005,0.0,241.10234116177975
23.0,43579.0,146.81324768066406,307.1398010253906,365.19671630859375,88.70665462647995,131.18688958886096,0.0,43924.0,-2.427775985552671,-16.862298100327223,0.0,245.45127478498466
24.0,45014.0,148.27316284179688,307.8833312988281,364.2986145019531,89.82620551031194,132.61975720080324,0.0,44833.0,-1.742262236032957,-27.575925160900965,0.0,246.38703899254816
25.0,45593.0,151.49423217773438,302.3792724609375,365.689453125,90.33431994988938,133.24038426843418,0.0,46503.0,-2.01624054652666,-20.22244917045765,0.0,246.38703899254816
26.0,46725.0,154.23681640625,302.1820373535156,366.5771179199219,91.32178601058021,134.8517704741024,0.0,50051.0,-7.917770546544148,16.162036048909897,0.0,247.58627298563584
27.0,47708.0,157.3357391357422,302.5,366.5,92.25717206836431,136.52453981807332,0.0,53565.0,-17.058261719101893,25.617827874961847,0.0,250.74737477618436
28.0,49287.0,162.8658447265625,296.5,365.0,93.97892099124671,139.19698257018774,0.0,55890.0,-7.461540602788773,-4.923991546848583,0.0,263.102151593195
29.0,51003.0,162.8658447265625,296.5,365.0,95.50107752372865,141.6756859873987,0.0,57866.0,0.5779779881181639,14.865839894114686,0.0,263.102151593195
30.0,52214.0,163.2601318359375,300.20269775390625,361.0836486816406,96.55929182337586,143.26548781894402,0.0,59751.0,0.4038853061285863,4.23262321484475,0.0,263.102151593195
31.0,52469.0,163.6703338623047,300.68780517578125,361.1305847167969,96.75265792455028,143.42245291445826,0.0,59953.0,0.6566544467502808,15.54592170538342,0.0,263.102151593195
32.0,53659.0,165.02432250976562,299.68994140625,362.0466003417969,97.70031166424809,144.30869689661813,0.0,60235.0,0.9631313882504173,15.803249938892122,0.0,265.01793564031567
33.0,53659.0,165.02432250976562,299.68994140625,362.0466003417969,97.70031166424809,144.30869689661813,0.0,14773.0,140.4080794891861,-221.94910537575436,1.0,265.01793564031567
34.0,54404.0,174.27523803710938,287.40240478515625,361.908447265625,98.52781191277897,145.12063946937388,0.0,61377.0,-1.6063460674662338,16.002786767914017,0.0,286.2928185046965
35.0,55242.0,175.19285583496094,292.5,356.5,99.34462948973558,146.65895811381858,0.0,64749.0,0.7341090355656661,2.8351386140822683,0.0,286.2928185046965
36.0,56875.0,176.26837158203125,294.5,355.5,100.71946047383416,148.2828375573111,0.0,64567.0,1.3731026369131314,24.071324426882825,0.0,286.2928185046965
37.0,57175.0,176.26837158203125,294.5,355.5,101.08935756599605,148.7615541731129,0.0,65263.0,0.37036140757311387,2.770235525490307,0.0,286.2928185046965
38.0,57979.0,176.26837158203125,294.5,355.5,101.80871560529008,149.64624953536256,0.0,66994.0,1.8803318231125559,4.030490236326727,0.0,286.2928185046965
39.0,58677.0,176.41346740722656,296.29547119140625,353.0861511230469,102.33204802204371,150.07331541616585,0.0,71965.0,-38.34671163608323,17.447108101634,0.0,286.2928185046965
40.0,59642.0,176.55433654785156,293.0985107421875,358.0147705078125,103.19610378290544,150.98542965020303,0.0,67862.0,0.8485669976364534,4.162035502550282,0.0,286.2928185046965
41.0,60687.0,177.610595703125,292.5743103027344,360.5557556152344,104.11653106197598,152.32202729743324,0.0,68034.0,1.5026340663115434,1.2278865811007336,0.0,286.2928185046965
42.0,61127.0,177.610595703125,292.5743103027344,360.5557556152344,104.47137022871331,152.80052355931247,0.0,67631.0,-0.8001255911830185,1.339201513428634,0.0,286.2928185046965
43.0,61985.0,178.9204864501953,293.5,361.5,105.1184273104369,153.44705927452634,0.0,68968.0,-0.8190952869856574,2.667847981756779,0.0,286.2928185046965
44.0,62702.0,178.94825744628906,294.4919738769531,360.1850891113281,105.7025224403546,154.35349040433132,0.0,70234.0,1.7107042974103024,3.3713371614725247,0.0,286.2928185046965
45.0,63579.0,179.3121337890625,297.2130126953125,356.9241943359375,106.4251953329712,155.64061166674975,0.0,71892.0,1.454482154342827,3.167751311052598,0.0,286.2928185046965
46.0,64496.0,180.75247192382812,299.8863830566406,355.5224609375,107.23459735051314,157.20368952413298,0.0,72451.0,1.4024374075432888,2.4656306420446867,0.0,286.2928185046965
47.0,65502.0,182.356201171875,302.08697509765625,355.0864562988281,108.08317774422582,158.8267924486585,0.0,73087.0,1.6287826573943676,2.6655315040071628,0.0,286.2928185046965
48.0,66345.0,183.14540100097656,303.8074035644531,353.8614501953125,108.71525761698202,159.70597985047397,0.0,74699.0,0.9008191998486836,2.1018567761652776,0.0,286.2928185046965
49.0,67348.0,184.1417694091797,305.6157531738281,352.8486328125,109.52225547879115,161.02251378350653,0.0,75418.0,1.6524303340544293,2.742781854109353,0.0,286.2928185046965
50.0,68228.0,185.9823455810547,309.0013122558594,350.8101501464844,110.21380400722697,162.0944168235445,0.0,76124.0,0.22184091287658703,2.601426888119306,0.0,286.2928185046965
51.0,68917.0,187.02671813964844,310.7333984375,349.9216003417969,110.74084499419222,162.92943257741985,0.0,76706.0,1.3991865743838616,2.5842016380080963,0.0,286.2928185046965
52.0,69813.0,188.15565490722656,313.0479431152344,348.1454162597656,111.48923925355469,164.32041755204716,0.0,77724.0,1.3726447363485477,3.1314841343705098,0.0,286.2928185046965
53.0,70558.0,188.4969940185547,313.8226013183594,347.4581298828125,112.08251080387056,165.42369842317032,0.0,78332.0,1.4734405936229678,2.885116307754572,0.0,286.2928185046965
54.0,71450.0,189.6016845703125,315.1268615722656,347.38177490234375,112.77744519406845,166.4651614599999,0.0,80165.0,1.9211469678862159,3.144671863686767,0.0,286.3730889364633
55.0,72785.0,190.59127807617188,316.8515625,346.281982421875,113.68043323425935,167.7647161950331,0.0,80116.0,1.6695407378122127,3.164016148368148,0.0,288.272406681976
