y,x,mass,size,ecc,signal,raw_mass,ep
83.01387198831833,1015.5032854709175,1428.2287201363872,5.651990692062304,0.42328130370394923,19.117201169993013,52728.0,-0.11088780229198619
96.65984606720481,1579.6035291909143,1851.587829682778,5.936084066889839,0.5260787510431169,22.24547045235551,52136.0,-0.09481715981736871
117.44021352313167,338.83985765124555,1953.430374097468,3.425152930580585,0.12250548583455778,57.35160350997904,47019.0,-0.042090661778586995
117.900263234864,971.4916642293068,1188.3947418219293,6.486627637729689,0.4908942071577391,10.775149750359699,52761.0,-0.11194545969716999
127.15609275869613,1151.5906803762853,3177.626419928657,3.0683706216350353,0.04921274850125939,86.8963689545137,47211.0,-0.0429876178555259
193.20598469032706,1293.2038970076549,998.9606575010895,6.032041561539441,0.33100217830337403,8.68963689545137,53649.0,-0.15059817083186636
213.40028557829606,1315.4559733460258,730.2770846937332,6.071523563466009,0.3437810521096176,6.6041240405430415,53934.0,-0.16936685345148544
241.49327265532253,971.9893153937476,1756.696994784449,5.774947600308411,0.4617853036253554,22.593055928173563,53437.0,-0.13912943879999484
277.9870211102424,1528.4925723221268,2222.8091178564605,2.679257479438264,0.04192916552092952,74.73087730088179,50138.0,-0.0636729068873625
328.23773075191355,354.2091400270149,1543.9746835837993,6.4991773801489865,0.07392479560335413,27.806838065444385,52887.0,-0.116176388480256
369.9324386857936,1494.815363257751,1502.2644264856328,6.024859805665762,0.48609466102069154,18.07444474253885,52352.0,-0.10011090323145999
387.7917261055635,1451.1741468232196,3167.5464411299336,4.2715491217454415,0.3101032109298031,64.99848397797625,53331.0,-0.13402609216622516
405.4347213745834,1096.7746584667386,7403.9182204003855,6.959434999004972,0.07693632189695569,31.977863775261042,59088.0,0.13508379649171054
449.30345460805694,168.8543555606565,3028.5122508027116,4.335666382927408,0.16481742216478198,54.91850517925266,45505.0,-0.036143818701087606
522.7088607594936,79.54274927825894,1565.1773976087009,5.978754301524803,0.3869733744568715,15.988931887630521,51637.0,-0.08449523862521585
527.9833244397012,738.443303094984,5211.001453464278,3.7763835308451417,0.11882694352923426,80.63983038978871,51112.0,-0.07581220500079448
534.7734826921311,527.6044440363603,3785.5534171344348,3.085162241797537,0.018528842184687193,85.15844157542342,48355.0,-0.049239715517816626
537.1847914963205,671.4262741891523,1275.291110776443,5.279694152708409,0.15044827264172186,51.79023589689017,51809.0,-0.08778938981970383
547.7359714563737,1009.452481349335,2143.212043894126,2.6602393079342375,0.08082653473436546,69.86468063942901,52330.0,-0.09954484170886853
590.0,1120.532406037289,1174.4913227892073,6.07431534376766,0.41792616190364446,12.165491653631918,53440.0,-0.13927953455479566
687.8665010164897,968.5563587079287,1538.7609014465286,6.450310499055206,0.4801475371942891,14.251004508540246,53257.0,-0.13067975121650735
703.756655014789,946.6902393116429,1292.6703845673458,6.042045920293133,0.3533741419404689,10.427564274541645,54762.0,-0.2654968556418371
767.3781286746179,1169.3006327341957,6207.529012634641,3.806110535224869,0.037040156865843374,88.63429633360397,50805.0,-0.0715147256837407
769.7641272902604,353.05612343297975,1802.2306921166141,6.088863001569375,0.5617819586875311,20.85512854908329,52222.0,-0.0968563335718765
790.7390713377472,810.3126671635902,7927.381946982376,4.48780519771212,0.03670508932254406,78.90190301069845,56059.0,-2.393559142588971
815.810274372446,1105.8088149445418,1190.8278401526557,2.3716928613555313,0.051932350472473195,55.96126160670682,53184.0,-0.1275384251121602
829.3441524078321,1597.5649144469924,7881.848249650211,6.842738695314538,0.03632081233957399,30.935107347806877,62108.0,0.06578871429878103
853.245349091705,1599.78091486102,1588.1180390126924,3.2390023025548085,0.21124903069892584,66.04124040543041,45448.0,-0.0359525782561797
912.0780883502737,1593.4395035183738,3556.494588570337,3.068987858204666,0.03813536612874259,82.377757768879,50193.0,-0.06425388203202088
1025.124056512483,93.51170892200503,1795.9741535518892,6.02652031977816,0.48900649931467693,19.117201169993013,51950.0,-0.09068773779764616
1064.283746556474,1237.850964187328,1261.7352772195388,6.162559126387827,0.3412519844924662,15.988931887630521,53916.0,-0.1680441419919443
1207.7737365618407,1401.0273284436853,3459.5182408170995,2.940721828207013,0.034831499036219016,83.76809967215121,47980.0,-0.04699905164489779
