particle,r_um,circ_resid_frac,type
968,0.5944504975318091,0.0339031178254133,
582,0.5995104677929652,0.0467101432825905,
556,0.599989930153669,0.0361684968687189,
92,0.6023001724686852,0.0267744764678633,
271,0.7144970073983662,0.1353225433470412,
1131,0.7543260875720811,0.0433963029744883,
163,0.770158841344404,0.0354338907563767,
1023,0.7720324079761154,0.0271352331664898,
57,0.7763893547055017,0.0275066661648851,
383,0.8740316249200523,0.0470691262824913,
246,0.916918085112222,0.057185549415066,
1157,0.9490323442341636,0.0334309017193885,
7,0.9698337552786492,0.029117199283706,
120,1.0223767160879336,0.0379130076522543,
497,1.0338670412030004,0.0272215993461452,
17,1.039895407076388,0.0315042706642788,
1,1.0498642172023394,0.0159972575132094,
18,1.0639015149478022,0.0216501310316322,
411,1.0792500000000012,0.0164381439227549,
615,1.1043877094364043,0.0415859812854975,
25,1.1704367938982148,0.0305242619797103,
703,1.182181252539337,0.0282489458538542,
945,1.1822399320458417,0.0245821651838652,
716,1.1956432887576465,0.1336076071372412,
81,1.2468425822564535,0.0460095070259633,
827,1.268565220303138,0.0463010552826752,
496,1.2782771900273808,0.0315310672757722,
385,1.2793721425375475,0.1406823523284508,
981,1.283794071691838,0.0956920453874469,
8,1.2895881171062311,0.0245399356760828,
103,1.2951000000000017,0.015501409248112,
9,1.3334102260584924,0.1838455025581926,
2,1.336614655361065,0.026983109009799,
93,1.5053685449737373,0.018161819852865,
23,1.510950000000005,0.0141419814781898,
28,1.5109500000000071,0.0149394827210422,
382,1.5249591089975407,0.1723964330532576,
835,1.5490031974663163,0.3456739747535972,
428,1.559346361939766,0.0322196165608548,
203,1.6088633562825148,0.454909526465705,
197,1.711532771482532,0.145109541118766,
1026,1.7373875708819548,0.181056697517806,
1154,1.7458912162443436,0.2469280533769277,
306,1.7613306521329348,0.1861712154780668,
72,1.7622622297002957,0.2368525128842194,
15,1.7629623369170078,0.044990659028491,
410,1.7757245422229333,0.0588777737977312,
11,1.8290572688058069,0.1662299739896543,
22,1.829999848903284,0.0178774328037423,
1000,1.856992630538702,0.2083322898682024,
151,1.884290890538229,0.0088075218544063,
13,1.8939909647505784,0.1807654268651953,
305,1.8985631170415835,0.0109340299196565,
1102,1.9153074168898567,0.017716339339055,
915,1.925906922744196,0.1911515816091147,
627,1.9453188541747368,0.1510795418679534,
1031,1.9751506492969584,0.1507417981194441,
24,2.086550000000002,1.5290652734752773e-15,
12,2.7582021396892222,0.0099106683448889,
902,2.9001061197743816,0.0064070061590336,
297,2.9032269430695155,0.008317523427514,
1001,,,
