frame,y,x
1,-0.3870298064985131,0.6328132893154171
2,0.1388345129720771,0.9804512218979463
3,0.17925661490099318,0.9419253858876617
4,0.5026660403297355,0.5720823005655432
5,0.8215846450464103,0.7108439187338946
6,1.139545941961079,0.7450224260381896
7,1.6492966259352275,0.5744448240596598
8,1.335950811551247,0.539324617542989
9,0.7948086332530737,0.2210831727971504
10,1.9178678265733287,0.09816066919457418
11,1.9345904630792679,-0.08411144409656617
12,1.4109562747713318,-0.33583176688019556
13,1.0450210849292132,-0.3162979274664735
14,0.33865431592251793,-0.5052783981415991
15,0.38976493103397336,-0.5813019222584306
16,0.5758419280450783,-0.28090845460042374
17,0.26633731395111343,-0.2103020036392287
18,-0.087303453725951,0.5728455455465289
19,-0.1680235372917929,1.075285045398116
20,0.2558570628109579,0.5938229372179658
21,-0.1164058510382403,0.18837642267801324
22,0.9778007740491516,-0.1466106721195335
23,0.5270778392905757,-0.13101787169295254
24,0.38075179592059494,-0.016976870858276122
25,0.8738321218900661,-0.19667034077953904
26,1.558391609042657,-0.06251494155048054
27,1.2681611978612704,0.09820407094535
28,1.3620565775626767,0.022664518229887007
29,1.3635878774772683,0.09396685223530736
30,1.8218855577289041,0.6133166870982719
31,0.9560893751259502,0.16858321011836785
32,0.9936262867816964,0.21753846890489942
33,0.43851948298409293,0.30546239419903876
34,0.21740278666495985,0.786135895118061
35,1.034916026917132,1.1766069135273944
36,0.6316374115444332,0.9405964724868237
37,-0.08883857438008291,0.4432316481043712
38,-0.06083646862966126,0.9724848965833612
39,0.2987657904031775,1.3896902117671257
40,0.32644438832090517,1.263269383527093
41,0.09150485102527503,0.598988951314626
42,0.6663753132752438,0.4590143827606006
43,-0.35014914384891294,0.042703910777959875
44,0.1955540179153198,0.46872046985704824
45,-0.270090639932633,0.031780332477461926
46,0.2571640112340921,0.2315520002555221
47,0.49884019430661064,0.10453310869669002
48,0.39570672374138577,0.3683306412917776
49,0.8571513775040309,0.35295639206152096
50,0.1202655459130969,0.29156224987281304
51,0.07423000135141389,0.24165889125147116
52,0.5941032086995437,0.23177992104003453
53,1.0224858743713718,0.26117939840456844
54,1.269626235432916,-0.2751508388793568
55,0.1677066016622908,0.21573021218079652
56,0.4312259610493945,0.02682524616988588
57,-1.019051359612233,0.357098473644646
58,-1.1064039250918156,0.30445072045543364
59,-0.4229934659808373,0.8474061092783001
60,-0.6201743186028414,1.5383347551506181
61,-0.9186940857723178,0.907911952829277
62,-0.49407622058963657,0.5745673887437541
63,-1.2705644760732204,0.5480233326106719
64,-1.0463112729518662,1.1351120664089898
65,-1.4206633818744605,1.2908033539615242
66,-0.8580336270041544,1.0829323814676073
67,-0.9092786834550876,1.391210085984138
68,-1.5263447582236878,1.4189367052719806
69,-1.3518143790726547,1.5187154950484092
70,-1.2268740422717455,0.8639018522232738
71,-1.7389207304151397,0.6827090297917334
72,-0.7329622862253373,1.2639275197108164
73,-0.4943270672097974,1.5799914778710291
74,-0.13854837749693438,1.4759236824298194
75,-1.2114033228463108,1.5315428025326805
76,-1.0008818588459176,2.1389439167524067
77,-0.6285444486654169,2.264952997785246
78,0.13742981066719007,1.9349399651543575
79,-1.000183252730499,2.2659294556794465
80,-0.3483858617924719,2.4185623929308684
81,-0.37665887324407527,2.5018811662775584
82,-1.1442675607447614,2.629569750815895
83,-0.7126196178519282,2.690121923107645
84,-0.3679193003855098,3.1470652886029056
85,-0.2989336072564705,3.253955524673044
86,-0.048614875115357115,3.4075539680513387
87,0.36158796395629705,3.075525853990969
88,0.05066556413663048,3.073231649288875
89,0.16241387570766874,2.6938207239704686
90,1.050143875791812,2.300254592544441
91,0.6932107971712267,2.9090615202546406
92,0.17734781694303903,2.567801235317718
93,0.23833254294381018,2.8626493048129036
94,0.11757229637767264,4.153428324620778
95,0.600847373737424,3.730290846081483
96,0.29667504391491467,4.8267753846813015
97,0.45298200849718884,4.665642477394451
98,-0.364713565227769,4.830566602589285
99,-0.15644296363053412,5.121304566991643
100,-0.33726946386765666,5.59456002086566
101,-0.4460640485588098,5.691870647354735
102,0.2503740572468927,6.061290578649732
103,0.21865105079085373,5.8618455428836835
