particle,r_px_med,r_um,circ_resid_frac,inlier_frac,r_px_frame_cv,n_meas
673,19.52907148636493,2.8084757704541405,0.009908639677794803,0.8484848484848485,0.00888653210369072,9
2138,19.5,2.8042949999999998,0.008088698051699225,0.88,0.012417557064881771,9
1752,19.492177051306026,2.8031699817483196,0.00774762287650151,0.8333333333333334,0.009366573539264608,9
1127,19.330580832760663,2.779930829559311,0.01045661580554497,0.8333333333333334,0.007030020469292302,9
1674,19.323558698942268,2.7789209764948875,0.016222347744071334,0.72,0.037515495671631226,9
15,19.31462706019379,2.7776365175264686,0.012031539578072938,0.8518518518518519,0.015767656389282254,9
2501,19.284561248728448,2.773312753179638,0.01201096330848944,0.8333333333333334,0.004403030669568781,9
1544,19.250678770402963,2.76844011397165,0.01581160524528363,0.8888888888888888,0.07803637367351256,9
1681,19.236741712876153,2.7664358257287196,0.011673640978098103,0.8095238095238095,0.029865084891806875,9
1280,19.198112613489275,2.7608805749458925,0.016434315636050977,0.7619047619047619,0.02108746551645224,9
3650,19.097034782707166,2.7463445721011173,0.013106730038837172,0.8571428571428571,0.009727940733445867,9
23,19.06996095866786,2.742451085466025,0.026285673042516465,0.8076923076923077,0.14048486821622724,9
1282,19.054435915689847,2.7402184290353566,0.012764827341451197,0.8,0.011823369151875365,9
2131,19.045556180739993,2.7389414343522183,0.014951918544748055,0.7,0.10131099674166363,9
2845,18.99450531654657,2.731599809572562,0.023625225231409655,0.8181818181818182,0.1349538775022834,9
3074,18.91800021062503,2.720597610289986,0.018848336488373814,0.8076923076923077,0.01733707892535448,9
526,18.679785112589524,2.6863398970414996,0.015584033923738142,0.8333333333333334,0.02143439109486638,9
3000,18.35109693236856,2.6390712498439224,0.050731986418489576,0.9166666666666666,0.17637103664080747,9
89,16.196210476479706,2.3291770286225466,0.07225653744667518,1.0,0.03438482103171481,9
2018,15.450711001293948,2.2219667490960826,0.11103967809504252,0.9393939393939394,0.038992098380236484,9
3350,15.43666725079164,2.2199471173363454,0.038665552176540934,0.6129032258064516,0.12371968754182111,9
3247,15.432658703310805,2.219370648123127,0.03139445784994439,0.8235294117647058,0.029977722313783567,9
1076,15.30538161044647,2.2010669293983067,0.025430702806991487,0.8,0.02920110973607089,9
1970,15.266018367174453,2.195406101383358,0.08510067234142579,0.8823529411764706,0.07644341875133327,9
1111,15.259009441317021,2.1943981477558006,0.1487413196492092,0.9444444444444444,0.08005802344993204,9
3499,15.137085190931774,2.1768642213078984,0.1850544427705821,1.0,0.028274903383780713,9
1775,15.132041867053927,2.176138940901025,0.09925620455012502,0.967741935483871,0.08046811347601152,9
1701,15.128607855223951,2.1756450956597564,0.09149039196573723,0.9259259259259259,0.4207309756368463,9
768,15.125612165876188,2.1752142855746546,0.14418019299927207,1.0,0.32293275642169167,9
307,15.04740528149856,2.163967353532308,0.005898412824034294,0.7419354838709677,0.02263705617748887,9
45,15.020546257982794,2.1601047573605054,0.151708009839901,0.9444444444444444,0.03134886879047898,9
85,15.0,2.1571499999999997,1.044808669160601e-15,0.8055555555555556,0.005053741745956668,9
3460,14.999999999999993,2.157149999999999,1.7658934509024994e-15,0.7777777777777778,0.0017060528594770117,9
2331,14.999999999999993,2.157149999999999,1.8084113281974295e-15,0.7222222222222222,0.003273942934493943,9
1501,14.901927591207075,2.1430462068914893,0.014226367057878431,0.7777777777777778,0.006205660089040988,9
451,14.76059577295068,2.1227212781080373,0.10587604944738956,0.9166666666666666,0.06456997076877108,9
1307,14.729230724978743,2.118210670559193,0.07879770314242106,0.8529411764705882,0.026888140982445123,9
1115,14.569668887329895,2.095264082686912,0.18930804348030503,1.0,0.4291362410464711,9
3266,14.4292099935475,2.075064689172066,0.19536927940555607,1.0,0.45061914269677544,9
1239,14.427140566164859,2.0747670848201683,0.2107528914626505,1.0,0.4310942940972651,9
2469,14.415775807781218,2.073132718917017,0.16861768943630076,1.0,0.08418548096853772,9
2981,14.380525706214824,2.0680634018107535,0.03532603392030259,0.8620689655172413,0.03757352173416876,9
468,14.338995284077772,2.0620909118032245,0.0899970053385294,0.8333333333333334,0.05518698246781972,9
3420,14.323828805953788,2.059909820584214,0.1797387394181957,0.9696969696969697,0.09555666356513584,9
1762,14.317996769594354,2.059071115435364,0.16519733287091037,0.9714285714285714,0.06855891960455543,9
1597,14.247068570769255,2.0488709311623263,0.08806268387401263,0.9666666666666667,0.07325474499698141,9
229,14.201333284105768,2.0422937395872505,0.18165381055582516,0.9166666666666666,0.05538966241797006,9
3375,14.189934791809936,2.0406545224101866,0.025219326061747996,0.8333333333333334,0.024168915509136746,9
2761,14.062165042396197,2.022279954746997,0.0639195735369232,0.8387096774193549,0.08179677222753019,9
700,14.050124321538735,2.0205483786804854,0.011239725158952671,0.7741935483870968,0.0252935914584243,9
57,14.000000000000053,2.0133400000000075,4.0541503979812645e-15,0.8285714285714286,0.010854729144298667,9
752,14.00000000000001,2.0133400000000012,0.012400998796534411,0.7586206896551724,0.030258611982297366,9
58,13.999999999999993,2.013339999999999,6.407258811362882e-16,0.7878787878787878,0.00047085652978660095,9
