particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,ecc_med,nn_px_med,mass_med
33,1118,0.10397173158286165,0.0003752500111495032,0.0015210812561427952,30,3.3087637161007626,0.016889826318333415,0.05648529589074665,13.820762225491455,2207.1529680706944
56,1118,0.06979888020695973,0.0003150717470270692,0.09064513548224994,30,3.4103855380144,0.012066466849801621,0.0913504129630589,13.649518614512262,1708.787579686989
76,1118,0.08890067845948618,0.000282028095777025,0.003297535035147007,30,3.373950228939586,0.014548340395491792,0.08543175946519245,13.420143981683214,2021.3364472792746
85,1118,0.028288169513373488,0.0008478485349667759,0.12194423166321007,30,3.378225854126704,0.04196156364986547,0.11074815095465824,14.812786980466948,1731.390505274812
96,1118,0.09486927537658711,0.0004628257199728442,-0.007476632140825227,30,3.3214508395999016,0.012226614929772887,0.06789036437854576,13.291936526701868,2434.939562407686
86,1117,0.11064771019596742,0.0015167210903104143,-0.020634350628209373,30,3.273459727646977,0.02732387529583741,0.0614831401277273,14.861982082250021,2087.7158426268293
73,1107,0.09683751512386418,0.0002990707454956131,-0.02066766853628255,30,3.340754654700198,0.019688203183058077,0.0506180963458006,13.33796055372315,2194.17257912624
23,1095,0.0836779496798886,0.0007335450271015301,0.020614557853554004,30,2.4306571463645734,0.12817631533832333,0.2680949051834035,17.669663042618453,771.045193729341
55,1081,0.07196950575872409,0.00046211945854307405,0.19532165190374992,30,3.0738444437158194,0.01382185352814717,0.4544470687548833,15.819725272202943,537.8020723962902
276,1057,0.08529382503205384,0.0004193620471399612,0.18050454463356017,30,3.070236065321005,0.014389755313953718,0.3948215914644143,13.39162534192534,521.8444096325582
411,1006,0.08280103573262247,0.0006709375971138375,0.026606705416291256,30,2.4425945929805453,0.03650025757106575,0.0566468008134287,16.160422790646674,1456.3041004441077
5,964,0.1893778274109141,0.0011873677825700753,0.006617091802991175,30,2.8413412771727167,0.10617809423298935,0.3185211745799343,215.8202152546877,1133.0916709803819
700,936,0.06383125111798911,0.0006656452997858991,0.21629046413211392,30,3.0418844555403277,0.01431100528303446,0.4304454830423317,13.81292109775676,567.2216836196916
95,899,0.09010027263983521,0.0006182120516330142,0.2406009319665468,30,3.104776906581154,0.018783915000805666,0.3484775551910321,13.220754521854262,425.8980300392674
89,809,0.0910462112853617,0.000838620194902088,0.0650430209834574,30,2.2452417760237786,0.13901865046578385,0.0790312880978048,19.17943481541221,1044.1527385563609
69,800,0.10005927543854744,0.0028186296899353597,0.12955985027166547,30,2.339985821542321,0.05081402248496724,0.05955335018128695,177.5848425644191,1457.0829366538408
3,749,0.20637199985382026,0.0018842883163935542,0.08310334154711434,30,1.904960968654572,0.10796672043887882,0.0811643820314674,59.38591025067157,748.0198867092618
