particle,r_px_manual,r_um_manual
1965,5.4,0.7766
27,7.64,1.098
28,7.22,1.0387
21,7.01,1.0074
131,7.24,1.0406
13,7.67,1.1036
2,7.36,1.058
40,7.99,1.149
12,7.43,1.0685
33,7.64,1.0987
4,7.43,1.0685
29,7.67,1.103
3,8.02,1.1534
