particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,mass_med
1,1630,0.2195072854808916,0.0006676399449578557,-0.0630528757684828,30,2.8451628900871,0.08922223452154504,735.4682435691602
3,1630,0.14597623185702155,0.0003505635215820554,-0.0007235658476822779,30,2.986899402231979,0.020685703823805725,1026.3378346776221
7,1630,0.09857949207006962,0.0004048986243199346,0.008634989647365468,30,3.0990583670402376,0.03539284265481918,1183.9329195369364
15,1630,0.05220055308130812,0.00027275706016188686,0.06962814879873505,30,3.3011488279744734,0.028156532980531637,1186.220326963496
16,1630,0.033519942903270414,5.392404987492908e-05,-0.000553675483673439,30,2.2814694124016883,0.020411407120882054,701.4328102467157
41,1630,0.11983767111653475,0.00018795842006070655,-0.004818583517012927,30,3.1521820684281803,0.011706932017259497,1229.7845347999312
43,1630,0.1006830527710345,0.0002517709256533673,-0.0017837576222125935,30,3.252187048580779,0.012350156568994549,1352.8212425990787
40,1630,0.14940345885794767,0.0005938741276434074,0.05128181246895898,30,2.865376862081442,0.05258424581224964,734.1873672912343
39,1630,0.27165141109514823,0.0013481967706209569,-0.08834615098575134,30,2.643206954603249,0.06189927469702563,363.3416400433398
38,1630,0.13600752018799434,0.00037240310807840435,0.014978624629657128,30,2.855903926940477,0.062256863249324834,647.0295437726656
37,1630,0.19054708209484547,0.0006977464000922152,-0.023491689222098933,30,2.7231086710557717,0.08566992502647926,732.8905726755322
36,1630,0.10329863320420758,0.00041677561816722106,-0.02209673354629437,30,3.216828939087838,0.017698798263532874,1267.1542589135488
34,1630,0.037032767901708105,0.0002613860869204158,-0.009107229411487245,30,3.086860000811008,0.023566259596440903,609.0979372154787
53,1630,0.05378478481690777,0.00035288322086083945,0.014468232084621861,30,3.2902288376394173,0.02731302937735084,1192.041983112466
58,1628,0.0867351562852185,0.0002275806007398302,-0.00411667516373859,30,3.154365988772901,0.02156350030800186,777.3257591121461
8,1627,0.12870625463011123,0.00042643749671125903,-0.006245616107920364,30,3.2050929635248013,0.018190505324993174,1394.502388070004
23,1612,0.025157514722185467,0.00015028900771621445,0.02205353264032133,30,2.860069416393984,0.04218124083344446,385.81863233790125
120,1596,0.10092010282818983,0.00041236085996651685,0.023493060683043198,30,2.9588948335893708,0.04001056545890271,995.5745225019875
256,1524,0.04060833708284206,0.00047923242192568564,0.08428759202273295,30,2.3518481078810867,0.06725055128301227,475.88829774480917
47,1480,0.20910604938204042,0.0015598262221389522,-0.07466419804086115,30,2.969214534395551,0.07984448286637694,595.5216239652061
46,1466,0.22946354224693322,0.0027999042618730772,-0.16600111930478734,30,2.8893850229191584,0.0458741441739104,920.8743415378099
706,1320,0.307381130372391,0.0017940027901534388,-0.010905846722710543,30,2.4167432626163166,0.09186524450593915,437.33133118936667
45,1232,0.14129939859285642,0.0007881082741815421,0.03337797704157329,30,2.8066281902691523,0.04295562073126451,953.8361471637429
84,1170,0.19310390764336563,0.00024504998462655125,-0.007339766062017169,30,2.6960634206181417,0.1112789057125712,597.6572145195886
10,1035,0.2642215329442086,0.002212916710708244,-0.07119679007728906,30,2.513576123949778,0.10209085252600858,665.5362637146752
1341,949,0.2260369631683899,0.0020133736246819595,0.026807049576501832,30,2.622828273034614,0.10511403068603001,498.7801091268786
52,925,0.07540235126946976,0.0005883440859924144,0.013121184904833343,30,2.8226999515663067,0.0630591577729312,703.3141868155025
1605,777,0.036768554772348784,0.00029478545034809523,-0.01800244401736818,30,2.631928104289847,0.027521778073747054,655.0070832013735
1829,716,0.07381956118504393,0.0013456137113868228,0.11014283916856776,30,2.9132978355807024,0.07240756332707797,700.9115031864055
57,665,0.0791655493846312,0.0006999931493509487,0.01776796026477889,30,3.1505312019626595,0.017874331688744617,1011.2466029524328
1801,662,0.0984859816370859,0.0004774569376697607,0.008249191483601918,30,3.220764425576667,0.020930487972748567,840.8522834454502
59,570,0.06027203122499514,0.0001789947426259304,-0.00023865846624696334,30,3.1552332023117717,0.024875932791834098,1097.9576932675552
2271,506,0.21694542173813755,0.0014864073885044612,0.07792327835425275,30,2.4400930800220824,0.13413413884482744,447.74593985356034
2327,486,0.09424956858335214,0.0008849116900092077,-0.014374383778452822,30,2.9099584408094183,0.03254672263445961,809.0494591287562
654,471,0.1875416800356037,0.00249354272489638,0.1112990227590873,30,2.4953374309233864,0.17153667531383276,363.9370108577516
2403,452,0.11881476648085221,0.00023609756054971998,-0.026044709905270233,30,3.183263648076604,0.012554046890240847,951.3367129184933
1055,416,0.10007840903651297,0.0008611661038942786,0.26654045593802267,30,2.7652056311618995,0.085292617551602,301.3579651616012
1496,406,0.1323920319717725,0.001983630426406661,-0.002415236588793834,30,3.1104165602524363,0.031003775477533562,315.18271134925845
664,369,0.12348500073640271,0.0011002891506422645,-0.061470270353656244,30,2.85118797000013,0.018958433760404673,848.2971909153238
1629,366,0.26856876074985214,0.0038680494542421597,0.017157387589573837,30,1.9812316681511668,0.2368407743482613,344.7292862469196
1574,358,0.048562565660795906,0.0005944432891890962,0.08234001860859222,30,3.140770736209532,0.0245727781662275,237.6439331021523
961,312,0.105283749329129,0.0011263928567153546,0.046776712837017384,30,3.1353631085279465,0.025601442671571994,259.4647171954681
