t_mid,f0,n,D,Dr,Dr_se
19.997849693581337,0,7,0.19981037031934276,0.2715618653741566,0.03648127794024191
59.99354908074401,372,6,0.16617618813419766,0.22759108077021478,0.014348610000476077
99.98924846790668,744,8,0.17585987261838493,0.24151306042840887,0.03142434086725485
139.98494785506935,1116,7,0.17041171748859194,0.23747263960357115,0.04388375215696911
179.980647242232,1488,8,0.22776602299337811,0.3052237744098517,0.052780042293241645
219.9763466293947,1860,8,0.27266754528265935,0.36223377513811156,0.059385797569891596
259.9720460165574,2232,10,0.18327513455988648,0.24605700741278652,0.03815055342606497
299.96774540372,2604,11,0.16937963590963215,0.21995911646544725,0.008655032479843594
339.9634447908827,2976,11,0.1677347429499501,0.2105636734658755,0.03463655973285286
379.9591441780454,3348,10,0.2124312622758133,0.2841961346598988,0.025132333303592533
419.9548435652081,3720,13,0.21874740431800094,0.2904302850939106,0.020655482145804507
459.9505429523707,4092,12,0.17462413999354687,0.23965015345386032,0.044672996825513324
