T,n_free,n_runs,eta_cP,kb,kb_se,ratio,Dr,Dr_se
16.8,18,1,1.086,1.7984232093579903e-23,1.1811379564379269e-24,1.3025926280741813,0.25471155513380095,0.01672851440897844
30.3,5,1,0.792,1.04669118503187e-23,5.525942401461761e-25,0.758115339258472,0.21271614734566802,0.011230219523222803
