T,T_unc,n_free,n_runs,eta_cP,D_at_1um,D_at_1um_se,D_SE_pred,ratio
14.0,1.0,17,3,1.169,0.2277545252315574,0.01626612541083583,0.17985686627904585,1.2663098715297245
15.2,1.0,13,1,1.132,0.2490554235279909,0.02641977506341331,0.18649662939412817,1.335441955906107
16.8,1.0,25,2,1.086,0.2339619810576511,0.018395315731260953,0.1955419903691451,1.1964794907527359
20.0,1.0,5,1,1.002,0.19679752466239328,0.013907137770344231,0.21429119987772527,0.9183649388061017
30.3,1.0,22,2,0.792,0.2204520202694809,0.022258540415723945,0.2805854681079663,0.785685808163997
