particle,n_frames,D_um2_s,D_err,intercept_um2,fit_npts,size_px_med,size_cv,ecc_med,nn_px_med,mass_med
112,1421,0.09511640375797503,0.0005766579503837031,-0.021598545956630105,30,3.3088679563723224,0.010289021829351123,0.0525548583598101,14.700587646017606,2606.258556067436
116,1421,0.015797210123433502,4.3348996312830366e-05,0.002937400522469739,30,3.316139072854977,0.011219122139271795,0.1453314060810219,14.638518618666792,2266.759780068431
21,1421,0.01661122052056698,0.00012379202099538982,0.008017652665467357,30,2.948387469203334,0.02317167325027673,0.1738890949939416,14.791110443789673,709.2597672842868
17,1421,0.022483038502967557,8.504942828504681e-05,-0.0056010027852187744,30,2.9123533099199697,0.01888722121685839,0.1492584198526956,17.33575378739718,678.407423838626
57,1421,0.08258452652362322,0.0003649858954274926,0.0054853471627279516,30,3.3593549238896347,0.015416661077724133,0.0948373979749183,13.833187729244617,2232.93892083687
37,1419,0.052124952621321184,0.001543712758983202,0.1996718663582158,30,3.306694484835801,0.03315392602351981,0.1249691613697895,15.39098113818525,1614.2998531552562
32,1410,0.041137201394538164,0.0007029220964437922,0.05517545924335122,30,2.7209250603925774,0.053819618697358476,0.0783094137333374,13.320410982664423,1768.8717393594004
117,1303,0.014620199760834866,0.0004775506560957811,0.3533341814685925,30,3.0561574568375907,0.02726721487356257,0.36450324454472,17.84621390134259,399.38490591129965
756,1249,0.199195610560075,0.0013454346082341837,0.0643671031108105,30,2.278755808986635,0.1069073881449414,0.0615916443035109,92.03095552681164,1295.9561216325535
922,1213,0.20371886053702262,0.002065442879526173,0.06299205799120455,30,2.3254167422658,0.1405087394988647,0.0665247564029215,65.90267100883665,1347.250370769339
1165,1155,0.1940224174941617,0.0007856607674084478,-0.03350111610728556,30,2.482375603529756,0.049427527722063394,0.0460904446337824,134.38160252624817,1725.7832768681012
15,1136,0.049412946041328676,0.00013184606122330328,0.01510480785112404,30,3.0234440592173284,0.02228688835351162,0.3424173956485246,14.109137923067896,669.8901057480073
1427,1031,0.1357018793301854,0.001957342748310481,0.1715155376854148,30,2.535483831070166,0.0812328850811224,0.1440328600594462,200.525265537976,1353.709038267606
1830,990,0.052311227398457054,0.0009868552633933057,0.08691134407925696,30,3.322530955478663,0.031121814698903724,0.11406812244039485,16.06963438118342,1811.6501949594299
10,982,0.040706949857510215,0.0005700994100649783,0.08930408533009404,30,2.838920565370655,0.07841416794755397,0.23045050282062765,16.20773364582317,1679.348383040005
1912,977,0.21469164580843988,0.0012618746144114003,0.04106329635100942,30,2.745292190912134,0.13146281503445909,0.2866004608692221,91.93391553033186,737.4751217759693
1980,920,0.10426622424907928,0.0014188655398095454,0.1121380122500761,30,3.0015349395462128,0.03870206571868087,0.08631575447732265,55.5843111736481,1864.8294878602374
2614,830,0.2744782129202168,0.0022554816888744507,-0.11601077187503657,30,2.1462561800005977,0.0989529313217469,0.06743906162105825,54.42281709228446,1221.0433132310573
2593,822,0.21176106356132107,0.0024988047370649875,0.21664522296148941,30,1.8563886490628305,0.21424701015131137,0.1016446410629192,210.48350976045475,676.7420969076198
51,776,0.09877830378097695,0.0012368886488589488,0.010680369043307393,30,3.3170458554740385,0.022152245075266072,0.051005676701601804,14.529691180317226,2495.1978581749718
1790,739,0.2232562827792655,0.0012960369739718589,-0.05586063861074286,30,2.134979984656465,0.10850991398956852,0.0738131308898272,48.56407640519746,1115.1421972724247
3116,716,0.1594838033338291,0.0007556051170324995,-0.010848297714621306,30,2.805277377728129,0.03930108238611393,0.0413586352035913,88.20001875865404,2004.718354283973
109,713,0.13342183261295,0.0013757694426447746,0.06022553859142551,30,2.652002098951958,0.10043839755680038,0.1887618047882587,131.92145351777455,1260.4515756659655
3036,706,0.28704949412942393,0.00292533582243797,-0.04013064872596618,30,2.1653798458780065,0.20636027711090354,0.1226850168801124,69.953016954444,874.1446013723503
38,700,0.08793850286633235,0.0008981775072810839,0.0990539785715506,30,2.171897922512761,0.1577367127518561,0.13077349987224018,16.01681432583058,879.2114609954473
189,700,0.15852820864373396,0.0014195007916359766,-0.0015556087769631678,30,2.862633268449894,0.07166327090344778,0.07467445218645015,87.45022158164556,1756.5833807189315
3268,680,0.09784901947385588,0.0004354427878342293,0.0008846083381022135,30,3.293556811980853,0.014488827225026146,0.054632388787814304,14.829944199538788,2628.7248413810476
3357,659,0.0860124842887015,0.0007320397049762221,0.03621682635352898,30,3.3163838672950314,0.011672684235439983,0.0670442807045139,15.799000306256056,2569.696379553155
3141,659,0.0727303559085773,0.0013367752860157333,0.284969173620168,30,3.079520045170882,0.015942329707087186,0.3895057022691668,15.571773007107893,405.6912859449928
2391,646,0.09779762686330963,0.0006122997419569049,0.0036841519972747616,30,2.6138961186145337,0.05009802415600553,0.08150207067730536,18.730235371879903,1502.5341635046989
68,644,0.10984913052557564,0.0007622414424920518,-0.031030333321750266,30,3.3319960855154633,0.012153030520323817,0.0642164682847175,15.697750466323553,2621.4683471207045
111,640,0.12512053238327656,0.0011706522868250595,0.20318688731063564,30,3.0740078621033193,0.017955902642601825,0.3831032407612628,15.573568971075165,390.7398766822279
67,626,0.12037013792620527,0.0011438553111229517,0.13299534115035583,30,3.072653680402363,0.01611887617554361,0.3840012616844444,15.93035924055226,392.56097632931824
3512,620,0.22489594562145393,0.003008857340343996,-0.10356634064523365,30,2.5659462253997316,0.04486786085907787,0.039403712940363,58.34174650020991,1806.7723027094262
310,616,0.3037528958140347,0.0024360001672085125,-0.10851193163181305,30,2.1216944253978802,0.12211699015561935,0.05412497682935685,266.95538050611685,1003.553210173699
2612,612,0.1973188100524076,0.0033134239229086044,0.14397078627165286,30,2.3529643530482502,0.1527722903361163,0.0598562030159248,73.92259710926488,1412.6342180396346
927,591,0.13725187281496518,0.001112674411008852,0.2779327735287662,30,3.079774665524684,0.026366844081272333,0.4262551879674282,14.450244500802869,471.6421381861457
853,589,0.18843861770027892,0.0017285033482877445,0.08399107607576876,30,2.4591311886942013,0.1254556384709517,0.2155462403740889,96.05859438194383,842.0781920794617
2560,563,0.12859716929605533,0.0008204967163878128,0.21875852018846131,30,3.072079403381084,0.016156855741631383,0.3936478929532913,17.299235358346582,485.1684088871632
2013,555,0.06485227314591395,0.00167322328201185,0.2202693851857765,30,2.6641481503119366,0.08228055252038649,0.179906362299763,13.395931487521262,865.7095512976891
267,547,0.2897385360095683,0.0016637238025125204,0.07070395542240569,30,2.1259346156337333,0.20857107868092936,0.0915498916425942,51.471062979955505,830.0141963423018
102,544,0.08389731933892319,0.0007682798853645683,0.026261204946401773,30,2.6280502414027196,0.05328263884833412,0.06137257908390565,18.597596766127175,1605.3763069409652
576,540,0.054937968405196706,0.0007624311161785846,0.11547519712210573,30,3.2352460020187044,0.017576150428575594,0.17193633933610653,14.710299443575416,528.4913137630185
2774,508,0.032333800810631703,0.0006181308980924056,0.10177548067568865,30,3.045296594855288,0.09232936689914886,0.15350318948417296,14.709242350797192,1281.6346242648633
