particle,keep,proposed,reason,R_px_med,sym_med
161,0,reject,short;two-cores;not-round;elongated;defocus,12.154444217174223,3.78441955
6748,0,reject,not-round,8.892880524453261,3.7759767
3803,0,reject,defocus,8.088521143217342,3.73978745
3013,0,reject,not-round,8.20545271067462,3.56933025
4908,0,reject,two-cores;not-round,11.46431345928173,3.5661443
4390,0,reject,not-round;elongated,7.911383287123617,3.5268323
1704,0,reject,not-round;elongated,9.62082629511232,3.5109532
4050,0,reject,not-round;elongated,13.58830817007624,3.5058820500000003
4014,0,reject,two-cores;not-round;elongated,14.184609953134814,3.5041244000000003
6624,0,reject,short;two-cores;not-round;elongated,13.386766500342134,3.3942308
4052,0,reject,two-cores;not-round,13.319165254981655,3.3691941
2187,0,reject,not-round;elongated,9.267720015917472,3.3484805
3391,0,reject,two-cores;not-round;elongated,12.726994518907638,3.346528
6082,0,reject,not-round,8.833330029712515,3.3464978
5968,0,reject,not-round,12.7330188957888,3.30114295
5126,0,reject,not-round,14.465370499633124,3.28927455
2152,0,reject,defocus,7.9414001998057,3.249573
6858,0,reject,rigid-doublet;two-cores;not-round;elongated,13.992688648028205,3.1576917
704,0,reject,two-cores;not-round;elongated,8.55081162236815,3.1337444000000003
7201,0,reject,not-round;mislink,10.939380177760995,3.0605085
2360,0,reject,not-round,7.577579876941098,3.0309365
2802,0,reject,not-round;elongated,9.864975826025452,3.0195248
4382,0,reject,not-round,12.312516943039444,3.0050356
25,0,reject,not-round;defocus,10.511791652528975,2.9568058500000003
4758,0,reject,short;two-cores;not-round;elongated,11.593142160610922,2.95125925
444,0,reject,rigid-doublet;not-round;elongated,9.463516575950944,2.947765
5498,0,reject,two-cores;not-round;mislink,13.289413583587637,2.93864535
1702,0,reject,two-cores;not-round;elongated,14.094065069074702,2.86956405
1224,0,reject,not-round;elongated,7.7253972401952575,2.86794005
6485,0,reject,short,10.635809272837928,2.8668063
7298,0,reject,short;two-cores;not-round,12.45618902347141,2.8559891
6213,0,reject,two-cores;not-round;elongated,10.920658220441087,2.8338897
754,0,reject,not-round;elongated,11.178795264668782,2.824085
6161,0,reject,short;two-cores,10.979065326841948,2.82160345
