particle,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape
36,8.120986922163077,1.167879129276272,0.10194517696439437,0.07331230494694554,0.07346044820650693,0.38145318192897865,0.9375,224.7564612335931,13
11,8.886856209038541,1.2780187914218326,0.20117081450764943,0.033932679274000954,0.037391329904233314,0.28939146468702054,1.0,90.41889455492876,48
853,8.933902062680302,1.2847844556340542,0.12732135334857442,0.012645170313090044,0.03452976541007982,0.23291622673089474,0.8333333333333334,21.910670450730166,27
937,8.946438931541909,1.2865873827450418,0.25888452849478516,0.0853672340018338,0.09976684912347078,0.40436564154048305,0.9375,79.4925101871526,12
16,9.186614877957577,1.321127085599079,0.2767157960960638,0.033155441559560336,0.03966511175339193,0.28991900857939495,0.9583333333333334,107.1756131021255,40
4,9.569814951446713,1.3762350881675516,0.10260119639468451,0.012411037001363624,0.01279712574931249,0.16367479016055164,1.0,204.488897683366,120
871,10.033399491707163,1.442903180902407,0.10893722822294334,0.01201985689826713,0.0890240170819068,0.28049921301306885,0.8541666666666666,222.40281741312646,76
2,10.318347243648956,1.4838815171091564,0.12979788496340508,0.013867951127715907,0.014859751439844726,0.18266883028718384,1.0,101.2998543653027,116
1877,10.689960294065413,1.537323189889547,0.07167883779353136,0.04714543577970464,0.06168942309340254,0.2982971596043015,0.9166666666666666,41.27327036122543,25
3,10.702845872986458,1.5391762649941825,0.1658474226746138,0.023575199696920457,0.024328852199287796,0.24753958788187028,1.0,75.34959318583832,35
9,11.011096451151786,1.5835057806401382,0.19664976530412207,0.05173115438124479,0.07915332866271818,0.33007388609501037,0.9375,69.1643145963333,83
6,12.245237226717219,1.760987565574203,0.20783747949204026,0.033372911128804035,0.05384998643616494,0.2791071337215937,0.9270833333333333,199.9503651100064,120
