particle,r_px_manual,r_um_manual
36,7.25,1.0432
937,7.46,1.0731
11,7.35,1.0574
16,7.6,1.0925
4,7.05,1.0135
871,7.57,1.0892
2,7.34,1.0558
3,7.65,1.0999
1877,7.68,1.105
9,7.28,1.0476
6,7.83,1.1258
