particle,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape
4431,6.8353626902801015,0.9829935084891813,0.18137978622255216,0.026778442051644917,0.0335671000258798,0.26885786560059494,0.9895833333333333,108.76681385579931,26
21,7.010228640839713,1.008140980839159,0.2776834007751326,0.02635309057355155,0.030375412313816078,0.24459923836335917,0.9791666666666666,173.085060359882,69
24,7.654041420473446,1.1007276966782862,0.1989351637182072,0.026697787761273066,0.03087896868288206,0.2529860505987671,1.0,65.0716420061031,78
23,7.729551134491389,1.1115867486512068,0.09078534053689902,0.043490335853697076,0.04532613479900065,0.3274345363285041,1.0,73.76970422508336,7
466,7.801552021813902,1.1219411962570571,0.1965240026843746,0.03389198015170249,0.03715227925819532,0.2833254504043045,0.9791666666666666,65.9716328681447,113
5905,7.888044518635695,1.1343796822249992,0.16157316125301738,0.033307782701362525,0.03816134107984605,0.277733933416103,0.9791666666666666,73.05569477323122,27
62,7.91679743996122,1.138514639840823,0.17953602806445945,0.12506063843346613,0.17892667051711736,0.448361098942588,0.9375,196.00448734727343,26
15,8.196274739226142,1.1787062702481115,0.26756916679600706,0.035203985549657806,0.04494221792078109,0.26648848169612055,1.0,115.63458018545998,47
380,8.29014968148427,1.1922064256942528,0.15892143619753446,0.04448601320034058,0.04451905880970595,0.33078534122482156,1.0,59.5145848717457,43
3554,8.2920109936323,1.192474100994261,0.1423865786345017,0.028087135849926018,0.03191024963896524,0.2569342265587955,0.96875,95.98375899258944,66
4132,8.457187103462902,1.2162280773489997,0.23436980422408568,0.04948550187386217,0.06631176784736578,0.35290534953567365,0.9375,56.47715475854869,16
3556,8.546504017654417,1.2290727427788817,0.05274122827587538,0.04267529346417592,0.044309305190165016,0.33135746172009517,1.0,412.1055716049883,16
14,8.552561203554824,1.2299438266832192,0.29140837271306114,0.03040233009172387,0.0385573345950389,0.2636985223253358,0.9375,94.96349694770122,120
6974,8.879871107092127,1.2770142639109188,0.04277558163736702,0.02399236982067434,0.050530781517513335,0.2692290427533463,0.875,309.76342293236456,6
9,9.03800186741952,1.2997550485536011,0.0573804805855376,0.022109835607751198,0.023566661426057026,0.23622206919893907,1.0,98.69123925248324,120
870,9.108778833787769,1.309933484087019,0.014601850179064194,0.022171430653210835,0.022175518689379493,0.24006378704110723,1.0,184.480995660723,35
3103,9.119495381948354,1.3114746308779928,0.06453535712700507,0.026498334004370544,0.02650531364598275,0.2644533050390649,1.0,205.2387284361377,73
16,9.211748681829576,1.3247415779339113,0.013843983921730448,0.02954056923515596,0.02955024019286989,0.2776893195900473,1.0,207.6055801311524,13
7,9.792918260572135,1.4083195750528787,0.3135297379265834,0.03248258567132304,0.04212110782252582,0.25860048786235307,0.9375,249.72933654475094,111
42,9.9796382405282,1.4351717753703603,0.3274156981063343,0.08294858321154902,0.11441671302994014,0.39633485293901627,0.9166666666666666,206.70850161091892,76
5,10.056171262511915,1.4461779892618385,0.11112994735844935,0.013910133179714934,0.015329148995670106,0.18375176009183317,0.9791666666666666,143.47844645579434,120
4,10.238184179719324,1.472353266885436,0.03634798843723188,0.01726042499751232,0.018522433485150036,0.2063103778315878,1.0,90.15263087069775,120
6,10.249986219644825,1.4740505182471222,0.13888223481428327,0.012646543727991025,0.013345379691896447,0.17893167445804964,1.0,303.0520101961588,120
28,10.750691200848486,1.5460569015940206,0.24883742993439695,0.10930392205057995,0.15066813718507116,0.394817677282581,0.9375,67.0807814817507,109
453,10.777770380652946,1.5499511584417,0.1291826271927153,0.11487227824025703,0.14326075481211026,0.4566095693467395,0.9166666666666666,73.88132776815854,8
27,10.92263692201114,1.570784415754422,0.17343293388474856,0.06212490759770126,0.07730154627107158,0.30169077793706267,0.9375,57.550778504199926,22
11,12.349642519907725,1.77600209078793,0.2535292959278514,0.05162846146182791,0.057500361952209415,0.3237313935074818,0.9895833333333333,336.32562502938526,8
2,12.46126689361099,1.7920547919701963,0.005312312158429496,0.005940163990954574,0.031650441032202034,0.1624744863270574,0.75,14.220333764799403,120
5590,12.558679261626652,1.8060636646145287,0.043417245463959746,0.006817906421568246,0.00817887478156461,0.12087002076708966,0.9583333333333334,51.49484176700195,32
26,13.763048513690677,1.9792640067538563,0.17984450584536477,0.15643972644042914,0.2159489216354036,0.4448778233802346,0.9375,93.88836307274218,49
2783,14.110467981856265,2.0292264004707494,0.0611729020243577,0.07183073159745951,0.07989116602151736,0.35800624654927243,0.9583333333333334,155.40634168181677,5
0,14.44613563342902,2.077498765443427,0.02754028760551225,0.0052428069132130686,0.013957239769615694,0.1292961292658728,0.8333333333333334,28.188393234600245,120
3251,15.215899212876813,2.1881984658038145,0.16933147732802525,0.10812353044267836,0.26406798410743343,0.4025702623468717,0.875,163.4390134779579,25
2066,16.390731420055044,2.3571510855181157,0.054368331197988964,0.13065199182044526,0.24535356746158588,0.433557542675084,0.8478260869565217,51.68167334916617,17
1,19.28162368117234,2.772890301589394,0.08860692601149085,0.006482460714327355,0.1793889824065797,0.3234536613994789,0.7708333333333334,17.636350159790897,120
18,21.29197472836602,3.0619988856863176,0.08107232557501076,0.009497467294557693,0.2214290884953234,0.36062369949804995,0.75,21.51000484360202,120
