particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape,kb_i
1,1225,0.0514287956842193,0.0001609792537507,-0.0108524673900583,1.0683796309667624,30,19.28162368117234,2.772890301589394,0.0886069260114908,0.0064824607143273,0.1793889824065797,0.3234536613994789,0.7708333333333334,17.636350159790897,120,8.025129875057085e-24
0,1225,0.0687148713238664,0.0003575838508187,-0.017064015569241,1.042655757877294,30,14.44613563342902,2.077498765443427,0.0275402876055122,0.005242806913213,0.0139572397696156,0.1292961292658728,0.8333333333333334,28.188393234600245,120,8.033495194312425e-24
4,1225,0.126929917943906,0.0015816954483542,0.0450017133726733,0.998401083658073,30,10.238184179719324,1.472353266885436,0.0363479884372318,0.0172604249975123,0.01852243348515,0.2063103778315878,1.0,90.15263087069776,120,1.0516931612365187e-23
5,1225,0.1479096524160134,0.0004372016183606,-0.0051318368740367,1.0333589412925677,30,10.056171262511915,1.4461779892618385,0.1111299473584493,0.0139101331797149,0.0153291489956701,0.1837517600918331,0.9791666666666666,143.47844645579434,120,1.2037361135287754e-23
6,1225,0.1487052194162334,0.0004269526084842,-0.0429334843718588,1.084474861529606,30,10.249986219644825,1.4740505182471222,0.1388822348142832,0.012646543727991,0.0133453796918964,0.1789316744580496,1.0,303.0520101961588,120,1.2335353682263429e-23
2,1225,0.0718465261128834,0.0009871752412149,0.0338549915267778,0.982384265847812,30,12.46126689361099,1.7920547919701963,0.0053123121584294,0.0059401639909545,0.031650441032202,0.1624744863270574,0.75,14.220333764799404,120,7.24552875783982e-24
9,1225,0.1618354128984342,0.0011668428142021,-0.0223529322395443,1.0111606252215593,30,9.03800186741952,1.2997550485536011,0.0573804805855376,0.0221098356077511,0.023566661426057,0.236222069198939,1.0,98.69123925248324,120,1.1837175851478223e-23
18,1223,0.0334742262964493,0.0006048082765584,0.0282787179889616,0.9050573928852949,30,21.29197472836602,3.0619988856863176,0.0810723255750107,0.0094974672945576,0.2214290884953234,0.3606236994980499,0.75,21.51000484360202,120,5.768044501267434e-24
466,1164,0.2517891815394785,0.0030110889495651,-0.0423083597094565,1.0018272300999012,30,7.801552021813902,1.1219411962570571,0.1965240026843746,0.0338919801517024,0.0371522792581953,0.2833254504043045,0.9791666666666666,65.9716328681447,113,1.5897183506247404e-23
24,794,0.1863071983901761,0.0008703208019554,0.0152312128157218,0.9834016673843377,30,7.654041420473446,1.1007276966782862,0.1989351637182072,0.026697787761273,0.030878968682882,0.2529860505987671,1.0,65.0716420061031,78,1.1540445007130118e-23
