particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape,r_um_manual,T,eta_cP,kb_i,r_star_um,free
77,1000,0.2853854025580738,0.0029310516565774,0.0554555000466407,1.025431986249851,30,3.9997218552256455,0.5752,0.2853491151066618,0.0572480146217064,0.0753148271719608,0.348744320326524,0.9375,131.1584568612535,120,0.5752,16.8,1.0860885651088261,1.1590278825213602e-23,1.356174262899583,True
47,1000,0.2333428736808071,0.001003223490895,-0.0560691529664612,1.0608363266102765,30,6.000278144774355,0.8629,0.1477802395232929,0.0297613242198435,0.0386717572035431,0.2776442797957257,0.9583333333333334,110.92158941341536,120,0.8629,16.8,1.0860885651088261,1.4216682427451484e-23,1.356174262899583,True
41,1000,0.3336781299163746,0.0008017879030195,-0.0890700062018614,1.0965896698973303,30,8.000139072387178,1.1505,0.2946278549082164,0.0387265447298173,0.0463595838347495,0.2934984592371593,0.9583333333333334,123.4193665305379,120,1.1505,16.8,1.0860885651088261,2.7105512122340496e-23,1.356174262899583,True
1,1000,0.1271723879322462,0.0006576264937772,0.0255834897005753,1.0048177865883552,30,12.49982615951603,1.7976,0.1192530641799738,0.0093601154906714,0.0103167082815812,0.1457983164544913,0.9791666666666666,125.50357034105429,120,1.7976,16.8,1.0860885651088261,1.6140951658459836e-23,1.356174262899583,False
0,1000,0.2014213497222879,0.0017875871032079,-0.0947404683994211,1.1174641544592674,30,9.000069536193589,1.2943,0.0183377091175687,0.0084112865825063,0.0091695403363394,0.1392471682282939,0.9791666666666666,107.20169615868056,120,1.2943,16.8,1.0860885651088261,1.840702932705882e-23,1.356174262899583,True
5,1000,0.2044593420182694,0.0009663422041039,-0.0824831296142625,1.1202903984765669,30,8.000139072387178,1.1505,0.0516620207920689,0.0168031386745614,0.0198981366408932,0.2057855979732591,0.9791666666666666,57.85628522002924,120,1.1505,16.8,1.0860885651088261,1.6608745604606676e-23,1.356174262899583,True
3,1000,0.2158564543091475,0.0014395395715319,-0.1098867011691479,1.135723392694587,30,11.499895695709617,1.6538,0.0292429923588721,0.0140322850475398,0.016658415869747,0.1897169957785175,0.9791666666666666,122.9615544538635,120,1.6538,16.8,1.0860885651088261,2.520526558040913e-23,1.356174262899583,False
28,1000,0.3314656482625241,0.0012397141742696,-0.0641512928596828,1.0508857230142383,30,9.000069536193589,1.2943,0.2173939109307977,0.0561452116658259,0.0846813030972085,0.3327019510108125,0.8958333333333334,228.9713800909709,120,1.2943,16.8,1.0860885651088261,3.029121747467725e-23,1.356174262899583,True
26,1000,0.2045536625972822,0.0009803902730905,0.0264560455691223,1.0125865627079662,30,4.999652319032056,0.719,0.3276542837416057,0.0371657036640971,0.0399851835868886,0.2724959650739829,0.9791666666666666,138.3143178370727,120,0.719,16.8,1.0860885651088261,1.0384352015598977e-23,1.356174262899583,True
8,1000,0.2010288155076898,0.0009126339169392,0.0061480259893287,1.048589784816104,30,10.999930463806413,1.5819,0.2440466013467169,0.0165017580716524,0.0170840547691948,0.2044340595646905,1.0,62.214320496836265,120,1.5819,16.8,1.0860885651088261,2.245332130019772e-23,1.356174262899583,False
19,1000,0.2354926835004037,0.001431637834259,0.0624605159842936,1.001289013724964,30,7.500173840483972,1.0786,0.2719860624870621,0.0182199592710789,0.0199174362670079,0.2094133841746052,0.9791666666666666,198.75301465332288,120,1.0786,16.8,1.0860885651088261,1.7934161891546412e-23,1.356174262899583,True
48,980,0.4749180007659719,0.0022695390292283,-0.0746258601679785,1.0982322786945593,30,4.999652319032056,0.719,0.2129537921386904,0.1080148281909688,0.1506249745517088,0.4070599386602213,0.9375,189.9119267819073,117,0.719,16.8,1.0860885651088261,2.410964260370023e-23,1.356174262899583,True
1796,757,0.2653407091694439,0.0010010715452758,-0.081472219506791,1.1038582791234717,30,6.5002433766775605,0.9348,0.2414396205677577,0.0138279448214579,0.0150013254355333,0.1778255285291365,1.0,98.4955723763511,90,0.9348,16.8,1.0860885651088261,1.7513213435146164e-23,1.356174262899583,True
17,730,0.4500567378067423,0.0022911652281726,-0.1848895191991598,1.1141124885758054,30,4.999652319032056,0.719,0.2465437314567971,0.063543962085905,0.0825012988394456,0.3463143577503406,0.9375,141.44902746828183,87,0.719,16.8,1.0860885651088261,2.2847538064270478e-23,1.356174262899583,True
2286,682,0.2311016379405847,0.0014015128579624,0.0369521763460055,1.0106288538417332,30,8.000139072387178,1.1505,0.2634681543936814,0.0632804730917647,0.0752601059565907,0.3574338810782282,0.96875,108.5047022995738,82,1.1505,16.8,1.0860885651088261,1.8772966182294176e-23,1.356174262899583,True
36,675,0.1859661022674556,0.0028132237058931,0.1248608114034982,0.9502672550663148,30,8.500104304290383,1.2224,0.1457453848506417,0.0671465086747021,0.0763381603797686,0.4079723650576861,0.9791666666666666,65.64696613950001,81,1.2224,16.8,1.0860885651088261,1.6050567083671055e-23,1.356174262899583,True
2688,618,0.2644198869011213,0.0014613233386157,-0.0881772194589851,1.1059878413884685,30,7.500173840483972,1.0786,0.4077552762220098,0.0260063465244629,0.1045345004914033,0.3641698363690868,0.8333333333333334,45.308383278757006,74,1.0786,16.8,1.0860885651088261,2.013713967050264e-23,1.356174262899583,True
2013,604,0.2651781763550536,0.0017957396795051,-0.1070540787284321,1.08579178437089,30,7.500173840483972,1.0786,0.2274496165230691,0.0526512100487782,0.0718428889683131,0.3538379775038882,0.9583333333333334,30.26622035048612,72,1.0786,16.8,1.0860885651088261,2.019488790125585e-23,1.356174262899583,True
