particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,673.5498657226562,683.0918579101562,673.5498657226562,683.0918579101562,15.918759,10.0,1,26.687609
1,0,920.3988037109375,249.0305938720703,920.3988037109375,249.0305938720703,13.106116,22.0,1,83.58807
2,0,1054.0360107421875,999.6471557617188,1054.0360107421875,999.6471557617188,11.784335,8.0,1,24.903467
3,0,707.8727416992188,436.36798095703125,707.8727416992188,436.36798095703125,11.002721,8.0,1,28.30631
4,0,588.2286987304688,839.962158203125,588.2286987304688,839.962158203125,10.872355,14.0,1,33.084057
5,0,989.2030639648438,252.30831909179688,989.2030639648438,252.30831909179688,6.8825564,20.0,1,60.443787
6,0,618.9100952148438,832.0198364257812,618.9100952148438,832.0198364257812,6.3510795,20.0,1,46.849537
7,0,160.06069946289062,1193.454833984375,160.06069946289062,1193.454833984375,5.928807,12.0,1,38.285107
8,0,1038.1868896484375,183.7453155517578,1038.1868896484375,183.7453155517578,5.911589,8.0,1,26.521572
9,0,797.9545288085938,1101.5166015625,797.9545288085938,1101.5166015625,4.51829,10.0,-1,35.88719
10,0,353.918701171875,1183.778564453125,353.918701171875,1183.778564453125,4.3779187,10.0,-1,30.081352
11,0,1372.825439453125,670.144775390625,1372.825439453125,670.144775390625,4.022478,10.0,1,34.54676
12,0,956.7511596679688,329.1530456542969,956.7511596679688,329.1530456542969,3.6446178,10.0,1,28.510235
13,0,228.01065063476562,536.5900268554688,228.01065063476562,536.5900268554688,3.555919,10.0,1,32.406517
14,0,586.4320068359375,528.3535766601562,586.4320068359375,528.3535766601562,3.3417273,10.0,-1,32.939922
15,0,936.009765625,729.7361450195312,936.009765625,729.7361450195312,2.9624946,8.0,-1,38.650528
16,0,212.18588256835938,528.6298828125,212.18588256835938,528.6298828125,2.294782,10.0,1,35.4195
17,0,150.00941467285156,1208.687744140625,150.00941467285156,1208.687744140625,2.2617233,10.0,1,35.25813
