frame,dx,dy
0,0.0,0.0
1,0.0215301513671875,-0.2751617431640625
2,0.2574920654296875,-0.4033355712890625
3,-0.0709381103515625,-0.47574615478515625
4,-0.03204345703125,-0.7292251586914062
5,-0.101531982421875,-0.5998916625976562
6,-0.423431396484375,-1.1004409790039062
7,-0.496002197265625,-1.1914749145507812
8,-0.177154541015625,-1.1482620239257812
9,0.5001220703125,-1.1992416381835938
10,0.67529296875,-1.2622909545898438
11,0.729736328125,-1.2958297729492188
12,1.051055908203125,-1.4828109741210938
13,0.8148193359375,-1.9958572387695312
14,0.97900390625,-2.1830215454101562
15,0.965850830078125,-2.0340347290039062
16,1.223724365234375,-1.9387588500976562
17,1.350677490234375,-2.1140823364257812
18,1.3310546875,-1.6040115356445312
19,1.3280220031738281,-1.1373825073242188
20,1.1548118591308594,-1.0917587280273438
21,1.3124809265136719,-1.5027694702148438
22,1.4554557800292969,-1.7999801635742188
23,1.4071159362792969,-1.2580184936523438
24,1.1619987487792969,-1.5082015991210938
25,0.9221000671386719,-1.8203964233398438
26,0.4209022521972656,-2.0524673461914062
27,0.9243202209472656,-1.7949142456054688
28,0.8490028381347656,-1.5121383666992188
29,0.3324623107910156,-1.27813720703125
30,0.8340492248535156,-0.89971923828125
31,1.1148719787597656,-0.5907135009765625
32,1.0419960021972656,-0.6985015869140625
33,1.3206825256347656,-1.2126617431640625
34,1.2095756530761719,-1.4084281921386719
35,1.1116752624511719,-1.5873527526855469
36,0.7629203796386719,-1.4125175476074219
37,0.5265922546386719,-1.3064384460449219
38,0.7114677429199219,-1.7187309265136719
39,0.7831535339355469,-1.8642768859863281
40,0.9528312683105469,-2.1512794494628906
41,0.8665275573730469,-2.4339332580566406
42,0.7235221862792969,-1.9817085266113281
43,0.8769149780273438,-2.051868438720703
44,1.0445480346679688,-2.010456085205078
45,1.2259445190429688,-1.8025703430175781
46,1.0394210815429688,-1.8550910949707031
47,1.3066024780273438,-1.6603736877441406
48,1.3733749389648438,-1.7803688049316406
49,1.5352401733398438,-1.7377662658691406
50,1.5806808471679688,-1.8095512390136719
51,1.5751724243164062,-2.401134490966797
52,1.7562026977539062,-2.436077117919922
53,1.6523208618164062,-2.7131614685058594
54,1.7226333618164062,-2.7856101989746094
55,1.8984146118164062,-2.8037071228027344
56,2.045166015625,-2.9728355407714844
57,1.884979248046875,-3.122539520263672
58,1.860137939453125,-2.926097869873047
59,1.671600341796875,-2.930034637451172
60,1.893096923828125,-3.1237449645996094
61,2.067840576171875,-3.3930320739746094
62,2.264068603515625,-3.115917205810547
63,2.8098459243774414,-3.080608367919922
64,2.8814401626586914,-3.2150001525878906
65,3.1351633071899414,-3.3983497619628906
66,3.3133249282836914,-3.7307472229003906
67,3.4434518814086914,-3.8212623596191406
68,3.4432077407836914,-3.7936134338378906
69,3.0124216079711914,-3.9230079650878906
70,2.817795753479004,-4.023159027099609
71,2.694046974182129,-4.272502899169922
72,2.466996192932129,-4.517559051513672
73,2.340348243713379,-4.600109100341797
74,2.291275978088379,-4.277462005615234
75,2.421525001525879,-4.092922210693359
76,2.247361183166504,-3.7587852478027344
77,1.945115089416504,-3.6734580993652344
78,2.312546730041504,-3.7737693786621094
79,2.5507307052612305,-3.5029869079589844
80,2.2810163497924805,-3.4623680114746094
81,2.0788679122924805,-3.8665733337402344
82,1.6693830490112305,-3.951507091522217
83,1.7498884201049805,-3.791839122772217
84,1.973078727722168,-4.069030284881592
85,2.4028196334838867,-4.417174816131592
86,2.6091184616088867,-4.552154064178467
87,2.3132505416870117,-4.748916149139404
88,2.5681943893432617,-4.958907604217529
89,2.7461118698120117,-4.880279064178467
90,3.1653013229370117,-4.926421642303467
91,2.9249143600463867,-4.562232494354248
92,2.8163633346557617,-4.275527477264404
93,3.0913267135620117,-4.189498424530029
94,3.0065488815307617,-4.117537975311279
95,2.9356260299682617,-4.062667369842529
96,3.1220273971557617,-3.7383875846862793
97,3.6036558151245117,-3.772887706756592
98,3.6963071823120117,-3.830565929412842
99,3.6150083541870117,-4.478530406951904
100,3.5710630416870117,-4.741363048553467
101,3.1637144088745117,-5.154754161834717
102,3.0418882369995117,-4.909850597381592
103,2.8330259323120117,-4.766158580780029
104,2.645014762878418,-4.8721842765808105
105,2.943049430847168,-4.8174662590026855
106,3.147883415222168,-4.6971964836120605
107,3.368006706237793,-4.3252787590026855
108,3.046107292175293,-4.5196757316589355
109,3.329920768737793,-4.3195414543151855
110,3.626856803894043,-4.593909740447998
111,3.237940788269043,-4.7411417961120605
112,2.996973991394043,-4.7591471672058105
113,2.943690299987793,-4.8264079093933105
114,2.7587690353393555,-4.9161601066589355
115,2.9363584518432617,-4.829719066619873
116,3.2358274459838867,-5.216102123260498
117,3.4211301803588867,-5.343665599822998
118,3.2817258834838867,-5.217353343963623
119,3.0529661178588867,-5.101020336151123
120,3.3418455123901367,-5.2094950675964355
121,3.8237180709838867,-4.736579418182373
122,4.370226860046387,-5.0688700675964355
123,4.609972953796387,-5.2092509269714355
124,5.017199516296387,-5.3810954093933105
125,5.072688102722168,-5.695586681365967
126,4.698969841003418,-6.130462169647217
127,4.708430290222168,-5.947967052459717
128,4.635767936706543,-5.883269786834717
129,4.348780632019043,-6.3234171867370605
130,3.997828483581543,-6.331653118133545
131,3.694849967956543,-6.464526653289795
