particle,r_px_manual,r_um_manual
1972,2.99,0.4297
19,6.91,0.9935
2688,7.28,1.0475
1796,7.57,1.0881
41,7.84,1.1278
26,8.53,1.2272
47,8.56,1.2307
8,8.69,1.2503
2680,8.76,1.2601
2013,4.18,0.6018
5,5.69,0.8177
17,4.87,0.7003
36,3.89,0.5599
3459,5.8,0.8339
77,5.93,0.8528
1,7.37,1.0594
2353,6.95,0.9993
3376,7.5,1.078
0,7.24,1.041
3,5.79,0.8327
48,5.51,0.7929
28,6.17,0.8879
2286,7.68,1.1052
2591,9.63,1.3844
