particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
0,1355,13.08775201889221,0.20038635305119987,0.021247552721501396,0.10275925641046418,0.30408705250073453,1.0,0.05,0.8854166666666667,80,572.2122802734375,179.24319458007812,17.818842,-1,-1,,,1.171151343537676,3.7686705817927866,False,not-round,reject
1,1355,11.781963392851235,0.28402800743340556,0.016065111015704524,0.03523919088920167,0.2530322747516742,1.0,0.0625,0.9583333333333334,80,1333.7911376953125,244.5713806152344,15.83026,-1,-1,,,1.2013397968277117,3.8311638203029172,False,defocus,reject
8,1355,17.598035601687876,0.1626836255034208,0.10836451795394315,0.2551901809812782,0.45079936585926217,1.0,0.25,0.8229166666666667,80,770.189697265625,1056.944091796875,9.235687,-1,-1,,,1.4982909983430632,5.151949522992757,False,not-round;elongated,reject
3,696,16.190096002753236,0.06529871515946989,0.025704509069179524,0.1295277945385957,0.311671323099743,1.0,0.047619047619047616,0.75,42,1530.2108154296875,335.73480224609375,9.2076665,1,-1,,,0.6858482370839275,2.695582460322734,False,not-round,reject
6,1355,18.550843394362495,0.1554394671281033,0.046535841303580544,0.2197306176817148,0.3438606193803363,1.0,0.4625,0.8315602836879432,80,314.1942749023437,810.3273315429688,8.800521,-1,-1,,,1.4829702787436605,4.447054724892367,False,two-cores;not-round,reject
19,1355,14.402031220010256,0.12170328939483638,0.046450538947289746,0.10622234207930632,0.3147302082158857,2.0,0.7375,0.875,80,1010.1116943359376,107.83148193359376,8.733092,-1,-1,,,1.5863120602275471,5.327160541113661,False,two-cores;not-round,reject
287,507,16.93154632419633,0.08321869751769106,0.15901155408023018,0.27745386584110376,0.4465342395288576,1.0,0.0,0.875,29,19.997581481933597,986.4959716796876,8.529455,-1,-1,,,1.005644468746584,3.503243826894198,False,not-round,reject
16,1355,14.917700404923814,0.23606883841713389,0.06549227926689682,0.22578371576011969,0.432771930543299,2.0,0.5875,0.8854166666666667,80,1430.1734619140625,823.3189697265625,8.00777,-1,-1,,,1.4609664613456517,4.507542371145515,False,two-cores;not-round,reject
15,1355,13.374874751107425,0.3205287538940104,0.09618767638533958,0.22055752434756218,0.45128701634714796,1.0,0.1875,0.8333333333333334,80,1474.380126953125,562.0172729492188,7.868883,-1,-1,,,1.2809009442095527,4.0264072496022445,False,not-round;elongated;defocus,reject
414,780,12.351554626027603,0.3053110589079757,0.020507697826887744,0.0626074971738538,0.24492780905021605,1.0,0.21739130434782608,0.84375,46,1574.19482421875,31.984302520751953,7.52781375,1,-1,,,1.3027130202995172,3.9978092627767774,False,defocus,reject
12,1355,16.647321695791142,0.15456275527283195,0.04800973055909247,0.1450857230883804,0.3258954857923829,1.0,0.4125,0.8645833333333333,80,1525.8707275390625,697.5048828125,6.8581853,-1,-1,,,1.6412491875431852,5.275840063989119,False,two-cores;not-round,reject
5,1355,15.703144921815372,0.23300141540963115,0.08948022477389897,0.2523403549557901,0.4238669964672344,1.0,0.15,0.875,80,655.8129272460938,330.30426025390625,6.4567523,-1,-1,,,1.4594966844071502,5.171632717957749,False,not-round,reject
4,589,15.398912610492035,0.08087559650522577,0.1313719731884002,0.24182108194853802,0.5004104008633506,1.0,0.11428571428571428,0.7916666666666666,35,360.0616760253906,506.417236328125,6.0966873,-1,607,0.07385821243577925,0.8201447673429386,1.020753955411248,4.520988589699923,False,rigid-doublet;not-round;elongated,reject
