particle,n_frames,v_dx_um_s,v_dy_um_s,v_drift_um_s,v_drift_se,drift_z,drift_flag,r2_msd,lin_flag
0,1355,-0.005017843575249109,-0.0071084001125086855,0.008701040530027558,0.04091301312721905,0.21267171163785137,False,0.9986755959518205,False
1,1355,-0.01547668478040731,-0.04471879502499934,0.04732122568446423,0.0417273976132828,1.1340564806610607,False,0.9998055602368217,False
2,1355,0.01902108242259654,0.09477592359177119,0.09666580196326136,0.051553980976204214,1.8750404941158554,False,0.998845452343082,False
6,1355,-0.01506826793786063,0.04985422996697419,0.05208163730382433,0.05324407579930079,0.9781677402034702,False,0.9995285584043849,False
5,1355,-0.0408699386772638,-0.009673223002709739,0.04199908487983347,0.04885478938991463,0.8596718029963215,False,0.997548137016326,False
10,1355,-0.026013051266451297,0.012654293482752453,0.028927668066034196,0.056028439710878945,0.5163032955282773,False,0.9979421381577384,False
8,1355,-0.016395383595008514,-0.036205504059710014,0.03974477484456482,0.05677813050454351,0.7000014704849142,False,0.9998152170715432,False
12,1355,-0.05515172317721208,-0.05122607391529546,0.0752716627834881,0.06426549258420802,1.17126096380353,False,0.9992406523123516,False
37,1355,0.04993669319503287,-0.014395740402654537,0.051970286404785786,0.07652044052055469,0.6791686776924093,False,0.9978122257103328,False
27,1355,0.006437716470163547,0.13619116838836554,0.13634323797071254,0.05847532882926485,2.3316369604146208,True,0.9985456239291112,False
21,1355,-0.027293670670250986,0.05666643055665099,0.06289696980529244,0.058983223811026775,1.0663535449809374,False,0.9994910577529948,False
19,1355,0.025491596558901743,-0.021480015376640113,0.033334854967473716,0.056370205541828124,0.5913559237022545,False,0.9997150968709977,False
20,1355,0.06486841287182701,-0.01616874555920224,0.06685311751495239,0.046106289573941014,1.4499782596415511,False,0.9995780034078927,False
16,1355,0.0896080995164005,-0.004561792033250733,0.08972414081781874,0.05499674666307667,1.6314445173910097,False,0.9960206947550474,False
15,1355,-0.07475194176857713,0.022554590373708574,0.07808048632724142,0.05222624158858488,1.4950431804441298,False,0.9991237278151748,False
35,1355,0.014892505280924178,0.0554305150432504,0.05739624300860086,0.07699305879016682,0.7454729544519827,False,0.9991392593515671,False
23,1118,0.07930398876862602,-0.044482923305724655,0.09092773559501711,0.0831185640153116,1.0939521955440297,False,0.9988697735153694,False
22,1102,-0.0492555379454512,-0.04019937867038707,0.06357749652023861,0.04273459793398997,1.4877289033687329,False,0.9986438856813797,False
584,1004,0.0577603255311052,-0.002838221416165642,0.05783001561703425,0.09155232781745738,0.6316607889243325,False,0.999341163235456,False
18,998,0.043741600765059056,0.12167805759275047,0.1293014978143506,0.06974545871918844,1.8539056189299539,False,0.9998546560770337,False
257,924,-0.009604191189880144,-0.03478378240745574,0.036085343381780356,0.03502720181034907,1.0302091379482858,False,0.9923324662998457,False
31,906,0.04522413197040622,0.1608604461402892,0.167096694296834,0.09197608342813722,1.8167407011561874,False,0.9997637767581757,False
720,887,0.04032427888089164,-0.00805881636007593,0.04112167297653819,0.0305756559875243,1.344915477637404,False,0.9978266978260059,False
53,832,-0.024502111100560626,-0.016455125950106685,0.02951482031824166,0.038751724428654995,0.7616388884211022,False,0.9996911794817531,False
235,816,-0.015912725388837378,0.024797797315462496,0.029464310292272387,0.057248057674121756,0.5146779033097458,False,0.9988802777719139,False
896,796,0.015563214921027546,-0.015514425215657563,0.02197523716482545,0.037510612380842474,0.5858405333859253,False,0.9767097338265263,False
414,780,0.11100925610864329,0.04870201498989878,0.12122269261928924,0.06422730892880035,1.8874010859410524,False,0.9997874205832411,False
957,768,-0.025321783118365707,0.0019161588317453452,0.025394179745800535,0.04760706344623824,0.5334120171994583,False,0.9986179919690922,False
9,735,-0.012711308098501914,-0.03677051684693699,0.03890563278968635,0.03367573062808372,1.1553018171858513,False,0.9986376293263756,False
195,731,0.011261863350846361,-0.1085145371933585,0.10909736178488424,0.040154395610992176,2.7169469275991065,True,0.9980984908081555,False
3,696,0.018030574813542713,-0.034714244385866386,0.03911752026123865,0.0328014763483079,1.19255364745973,False,0.9999017980559669,False
24,692,-0.00024780676046738263,-0.09060572272490806,0.09060606160016808,0.03553920905428167,2.549467588369193,False,0.9993355394979734,False
983,683,0.03897484741128239,0.0033546006234880035,0.03911894778845479,0.033714121778135535,1.1603134154253552,False,0.9997690965603017,False
14,664,0.005023087093293247,-0.05900366165042693,0.059217087838772275,0.03170416276084713,1.8678016601624967,False,0.999374867176691,False
1096,658,0.040807510397530285,-0.0170433608686999,0.04422362552465903,0.04005181971948204,1.104160206312617,False,0.9874108871119265,False
60,656,-0.012208994225109028,0.0723719191768813,0.07339451086650679,0.08668072151333531,0.846722426684179,False,0.9983478734461275,False
1208,622,0.03431944275788762,-0.016870183084838706,0.038241694896119637,0.03859640901596492,0.9908096600463903,False,0.9916426252848891,False
1237,612,0.02641763604472463,-0.011261247327758876,0.028717715535336207,0.037327636082761614,0.769341928636044,False,0.9894153583040884,False
4,589,-0.021962684973757744,-0.04844106120549314,0.05318736637558638,0.055242446049497324,0.9627989015535339,False,0.9998523094916,False
1315,572,0.04448816180397827,0.0031514312869152894,0.04459964192516684,0.03848407961635796,1.158911486769958,False,0.9881728437715918,False
902,572,-0.010886238008068956,-0.055791077563357515,0.0568432451013214,0.058833344326070354,0.9661739571743656,False,0.9977402227459103,False
25,568,0.020616753964825322,-0.08223371636019239,0.08477873937759817,0.03830943209388445,2.2129991165056153,False,0.9972811676795078,False
1335,559,0.01646172682747164,0.0843593816101584,0.08595053063123362,0.0969404301559588,0.8866324452342071,False,0.9965162255663577,False
1376,528,0.060817224453830775,-0.02253528135327711,0.064858104319653,0.04056777834186029,1.5987590883853868,False,0.98702796283648,False
34,525,-0.00995331797366756,0.08754369554376444,0.088107702093201,0.024693380596446036,3.5680696593597148,False,0.9921657029058607,False
17,508,-0.054894592207565436,0.08055214445451875,0.097478532148656,0.07733303301933347,1.2605031555439716,False,0.9963404703487097,False
287,507,-0.01978307136992807,-0.059025787286883104,0.06225281903387218,0.05726047143319035,1.087186631121379,False,0.9836783262157449,False
728,500,-0.031718900162968196,-0.0495121068173686,0.058800827792156646,0.07328801001971501,0.802325343208784,False,0.9966045868376471,False
56,476,-0.10747534799923009,0.0901085055851955,0.14025153548661354,0.07544962104441973,1.8588766059413704,False,0.9988086913276926,False
1054,470,-0.026499076502253423,-0.14597056843853176,0.14835635445015616,0.07810362321344548,1.8994810784221945,False,0.9982889344974929,False
39,465,-0.0005256474392020523,-0.07400031160691238,0.07400217850273376,0.039019702307334425,1.8965336516374134,False,0.999195786039944,False
29,463,-0.03281337113558134,0.05647045530878366,0.06531178797171867,0.11426521160018122,0.5715806854692342,False,0.9997756769848807,False
478,463,0.07170713967639279,-0.06343913255260503,0.09574151356437131,0.04402836825867488,2.1745414911102783,False,0.9994586743005902,False
