particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
0,1897,13.058316196304453,0.04233789350356078,0.006725452952573617,0.05226944090744229,0.2227120988539842,1.0,0.05,0.7291666666666666,80,1348.259033203125,524.9113159179688,120.259315,1,7062,0.058478409864075494,0.7059735945929715,0.9431027322924223,3.6700910035172187,False,rigid-doublet,reject
19,1462,11.154887171992339,0.09695547115078634,0.00827541031112524,0.12260273402973113,0.22787435473584605,1.0,0.06557377049180328,0.7291666666666666,61,919.8876037597656,890.8831176757812,49.1904215,1,-1,,,1.0512637654501955,8.394640780322693,False,not-round,reject
8373,438,11.130986495317059,0.029540149521797215,0.007582503805504062,0.12460633105315196,0.20380950926669547,1.0,0.10526315789473684,0.7083333333333334,19,900.9548645019531,880.3944091796875,49.002407000000005,1,-1,,,1.0137775060054535,3.754390287310285,False,not-round,reject
14,1897,10.076143932426922,0.15709631743568006,0.00979418925971906,0.06840240167382922,0.26015740673420507,1.0,0.1375,0.8125,80,1341.8642578125,770.972412109375,44.19217,1,2413,0.05894241958997506,0.7366204172823413,1.227022709306137,4.306844076337749,False,rigid-doublet,reject
24,1897,14.717212438848268,0.03458109388595548,0.021283030643590075,0.1514743580087395,0.2999665398054382,1.0,0.075,0.6875,80,1490.9783935546875,460.0042419433594,38.406002,1,7087,0.02409612934676058,0.7269984469109402,0.7331015307551917,3.320714158419369,False,rigid-doublet;not-round,reject
8041,488,10.408491759102995,0.1524222705321699,0.03288301199690074,0.11534273601840493,0.33067288842345055,1.0,0.09523809523809523,0.8333333333333334,21,1532.7730712890625,179.6428451538086,37.6325,1,-1,,,1.183249122638049,5.168797492517042,False,not-round,reject
20,1897,8.855508574873724,0.2755396192568073,0.0165757707898832,0.01669241649887234,0.20088010732698292,1.0,0.3375,0.9166666666666666,80,356.2626037597656,190.9224853515625,35.241207,1,-1,,,1.4272707086088552,5.650755492540328,False,defocus,reject
346,1856,16.676403351686304,0.044225919946484976,0.029690763765895946,0.22135725827616948,0.3690055023372919,1.0,0.2948717948717949,0.75,78,176.82157135009766,717.1639099121094,34.676666499999996,1,-1,,,0.7991717206833723,3.777329105104209,False,not-round,reject
405,1369,10.012413469955533,0.161577320700774,0.019850701767575925,0.1043108994268244,0.3080438786831864,1.0,0.15517241379310345,0.8125,58,1524.9107666015625,130.3669891357422,32.73987,1,-1,,,1.1001628599554711,6.255077408541185,False,not-round,reject
22,1897,15.878598356992178,0.04276759771556785,0.0808533252507683,0.14035299282729208,0.3847807448514372,1.0,0.4,0.9375,80,1497.17529296875,457.0692443847656,27.527452,1,24,0.06298619527852328,0.8359463492523912,0.845811185300798,6.106992835799639,False,rigid-doublet;two-cores;not-round,reject
