particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts
6,1897,0.15229970590827893,0.0003428331976338827,-0.003770918200906136,1.0258439050434558,30
9,1897,0.1721833249298891,0.00034306137680115525,-0.04001767621482722,1.0690041559088266,30
4,1897,0.0663697909429028,0.0002526164642503533,-0.01219657115236615,1.0451361533897239,30
23,1897,0.3314918812453398,0.0010102480284529954,0.051042934516875874,0.9826140375070229,30
22,1897,0.05328176305051837,0.0001715770172297611,-0.0022882111258450176,1.0064080153617971,30
29,1897,0.2979254615272798,0.0029792728346707967,-0.12248435283548564,1.062908684336124,30
24,1897,0.04621082518623765,0.00017228871248884376,-0.009208510043072198,1.0437375148681967,30
10,1897,0.17575915447206297,0.0007039971411613194,-0.02330525551761771,1.0720021720066806,30
11,1897,0.14931295926171984,0.0007847881843513861,0.0220765540599298,1.005298620686028,30
14,1897,0.1375823082441115,0.000469085838963466,-0.03636489637794946,1.064915087635243,30
16,1897,0.20142743807503774,0.0002467774830560126,-0.023959748036837866,1.0421291918894982,30
20,1897,0.18448790138522192,0.0004949981370333356,-0.0050257980476365776,1.0469324578376205,30
2,1897,0.10561404875477202,0.0004864232061915746,-0.03728690877847852,1.0894845201521035,30
1,1897,0.08797181943654156,0.0008197708447071013,-0.005302041706054151,0.9902055752851415,30
0,1897,0.07246492255097862,0.0003262789598751057,-0.012300198758800378,1.029795020100352,30
5,1897,0.09412527028657348,0.0007101768858687809,0.04165968015964759,0.95496845625476,30
27,1893,0.25954399640994413,0.0005084590051148496,-0.022390463312104515,1.04160326499768,30
25,1892,0.1516898172784597,0.00028916807331225435,0.01214675548314689,0.9891363814367897,30
357,1856,0.2852228321692043,0.002566650395609925,-0.16489172611729377,1.1260329110154366,30
346,1856,0.04172297870010881,0.00014898215047867602,0.012715146490404736,0.9421940503625171,30
366,1856,0.1763239289385542,0.0007706834403189327,-0.019637399625993045,1.0449678426429703,30
341,1853,0.12385904884417936,0.0014466191980819685,-0.06547403325534593,1.0858883883600996,30
18,1851,0.08071429383971569,0.0001322122136680275,0.0024349184331125587,1.0120954817762464,30
303,1543,0.18033026175196598,0.0005628557282679995,0.019276870572402155,0.9896945157536903,30
44,1497,0.37310886027536977,0.0016165454856091389,0.03543864001791011,1.0179196872855067,30
19,1462,0.09196976238071555,0.00022301057431434797,0.002105258819954909,1.0135126882739358,30
2513,1461,0.3042618319530501,0.0033668136181632725,0.09193469143241101,0.9997477932589625,30
1183,1458,0.13542612026702952,0.001377345353532756,-0.07141165008874974,1.0956210766408692,30
2961,1384,0.45122667950772694,0.002090997403516163,-0.002825533147410228,1.0518815055390132,30
405,1369,0.08008131065412055,0.0005496927672454832,0.011279404826666041,0.9398342402705497,30
3553,1282,0.07848547569807686,0.00068164213584273,-0.021790007388686514,1.028951768614439,30
4093,1179,0.059493045133265976,0.00028942806129615055,0.034341147250523396,0.8511887633370837,30
4537,1096,0.3614109540527471,0.00199846664792174,-0.11371546238962106,1.061782620986875,30
3275,1092,0.09176504655318343,0.000953382035871989,0.04477581915036199,0.9557610222568355,30
1657,1069,0.46162537014834404,0.004246985555837694,-0.215855390539453,1.0796447126064033,30
686,1003,0.09821730194746525,0.0010327877416814572,0.03087707447653769,0.9912253731996749,30
2024,959,0.2995895768148055,0.002558943628375743,-0.022956063120807554,1.0146408464914285,30
55,933,0.09110863246153711,0.0007793550010851045,-0.04202326487936638,1.0531152994279316,30
54,925,0.09380403414914383,0.0006673603022570112,-0.04129381259689015,1.0939818854939751,30
7,897,0.11300407288424776,0.00031279451592298833,-0.00020664302796651087,0.9983859627482423,30
488,889,0.08152072646630958,0.0009703893618774459,0.027601507002004023,0.9999117604559155,30
5792,881,0.2320575700638681,0.0005452236295629307,0.0199021022718613,0.9913312057280216,30
33,860,0.27032905404459406,0.0009048889795530819,-0.0002003667623429358,1.0117348600837468,30
1432,840,0.1318703668535296,0.0006672271530339286,-0.057045163294975554,1.1196381890943017,30
1470,801,0.10447094980047957,0.0020385947200870012,0.1037070391275571,0.8904525808789505,30
