conc,D,dD,D_boxcount,D_massradius,n_estimates,t_measured_s
0.02,1.517,0.127,1.611,1.424,18,403
0.04,1.822,0.086,1.887,1.757,18,596
0.06,1.951,0.164,1.887,2.015,18,413
