t_s,M_px,R95_px,R99.5_px,Rg_px,n_comp
0.0,0.0,0.0,0.0,0.0,0.0
0.3333333333333333,0.0,0.0,0.0,0.0,0.0
0.6666666666666666,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.3333333333333333,0.0,0.0,0.0,0.0,0.0
1.6666666666666667,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.3333333333333335,0.0,0.0,0.0,0.0,0.0
2.6666666666666665,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.3333333333333335,0.0,0.0,0.0,0.0,0.0
3.6666666666666665,14.0,27.242554592095715,27.617025493900368,2.1152989849944066,1.0
4.0,18.0,27.1145303521625,27.604223069907047,1.9914942587705469,1.0
4.333333333333333,22.0,29.045474486729912,29.19174933034053,2.448646109301024,1.0
4.666666666666667,32.0,29.130659718982706,29.735728653016118,2.810068393295793,1.0
5.0,42.0,29.199299731744308,29.965737894972282,3.872544207553451,1.0
5.333333333333333,55.0,44.78146416010606,45.56550604444742,7.916589966280612,2.0
5.666666666666667,59.0,30.62999451717501,31.21310775096541,3.8631428203530445,1.0
6.0,67.0,30.747227240057487,31.812676384351047,4.176491720571546,1.0
6.333333333333333,88.0,30.564621682407875,31.748103038001393,4.48244682572527,1.0
6.666666666666667,77.0,31.272926350144328,32.13147636437214,3.9755535643088105,1.0
7.0,101.0,31.064449134018133,32.10905278168674,4.660369851443121,1.0
7.333333333333333,101.0,31.400636936215164,32.90879348607591,4.615751960426424,1.0
7.666666666666667,115.0,32.50986966581184,33.498539412571816,4.900059796710868,1.0
8.0,123.0,32.74597638094946,33.693124058259095,5.218904303176943,1.0
8.333333333333334,192.0,32.89815803083966,34.85885808689269,6.246921985121508,1.0
8.666666666666666,161.0,33.421549934136806,34.73611783924285,5.785460065161632,1.0
9.0,189.0,33.60952166989509,35.250699370931834,6.200448712304944,1.0
9.333333333333334,224.0,33.523099203242836,35.20162946824111,6.639284453527122,1.0
9.666666666666666,209.0,38.816012027642955,43.24786654613176,7.247106090763464,2.0
10.0,218.0,34.73036585828703,36.19876514984257,6.548817027593912,1.0
10.333333333333334,230.0,34.6936526945045,36.01919240430787,6.832842129670356,1.0
10.666666666666666,283.0,35.38078472925017,36.529828712873716,7.555563593994132,1.0
11.0,274.0,34.94852293472,36.340248678820856,7.418215172899108,1.0
11.333333333333334,290.0,35.96163551109337,39.048737718114936,7.6690042792371935,1.0
11.666666666666666,302.0,36.12201342924518,37.90658078381089,8.038986349152676,1.0
12.0,313.0,35.93034309657786,37.31577715346697,7.971456648538678,1.0
12.333333333333334,315.0,36.28219192216731,37.771895502825714,8.3064788769267,1.0
12.666666666666666,354.0,37.206853655209635,38.97278677324051,8.923956391079605,1.0
13.0,381.0,37.20215047547655,39.449770441776444,9.069322800561665,1.0
13.333333333333334,385.0,37.58723149796238,39.50842223668047,9.083302940505162,1.0
13.666666666666666,389.0,37.58457073749975,39.1327888247715,8.770420105814882,1.0
14.0,481.0,37.21558813185679,39.77846633865283,9.963650378384745,1.0
14.333333333333334,442.0,37.79880675213934,40.17837472417884,9.421238542405016,1.0
14.666666666666666,448.0,37.7220047208267,39.60162241579134,9.715739678316378,1.0
15.0,446.0,38.28511418311729,40.297324083531024,9.915258845852335,1.0
15.333333333333334,490.0,38.35420327163257,40.27261022292418,9.942757028415917,1.0
15.666666666666666,483.0,38.944831061139546,40.769206719093646,9.987055306703057,1.0
16.0,488.0,38.617351636509504,40.416166708937084,10.06259133740122,1.0
16.333333333333332,602.0,38.99743420941504,41.88030509098789,11.110724490121186,1.0
16.666666666666668,545.0,38.62123629157226,40.70970362938988,10.628463134446399,1.0
17.0,660.0,39.853478283593134,43.137661251648495,11.63737872387514,2.0
17.333333333333332,636.0,41.4758412041937,49.65268995754304,11.598157761417283,2.0
17.666666666666668,660.0,39.66861375233812,42.56367683698442,11.676543929823039,1.0
18.0,697.0,39.969985924300936,43.068176801837765,11.851377386296566,1.0
18.333333333333332,732.0,41.20436162545087,49.211019263870256,12.109108602122024,2.0
18.666666666666668,755.0,40.36697615783486,43.03876900648824,12.186680759351741,1.0
19.0,744.0,41.42220188624944,44.255546012647606,12.732108382103284,1.0
19.333333333333332,811.0,41.12784540253545,43.46032557760063,12.622465265402226,1.0
19.666666666666668,830.0,41.995829366993824,44.92664174375198,13.213615979880519,1.0
20.0,1195.0,70.06418761785034,73.06715410478597,23.04328592090237,3.0
20.333333333333332,835.0,41.901045098730854,44.36742663581051,13.027602929697855,2.0
20.666666666666668,854.0,42.26396627010389,46.046664597332295,13.187656452067618,1.0
21.0,934.0,42.05175344548639,45.35802497716356,13.534957947438956,1.0
21.333333333333332,938.0,42.822861916430746,45.75311534626327,13.58517845867266,1.0
21.666666666666668,935.0,43.10914280690696,46.12275715434323,13.689674965587924,1.0
22.0,1332.0,72.48310017909091,76.74587890643733,24.43700445828214,2.0
22.333333333333332,981.0,43.60045871318328,46.8209350500428,14.071718411682054,1.0
22.666666666666668,1463.0,72.24472152795227,76.80204928301013,25.351017005449624,2.0
23.0,1332.0,73.78651630640465,77.68967764276591,25.093061332614592,2.0
23.333333333333332,1438.0,73.57716973231011,77.19624277628253,25.63566444801557,2.0
23.666666666666668,1509.0,73.80650258450261,77.38862965578342,26.377921230196232,2.0
24.0,1471.0,74.65922101376626,79.27198359626831,25.881388248124736,3.0
24.333333333333332,1664.0,74.32933468174087,78.66259658956903,26.425509565402688,2.0
24.666666666666668,1800.0,74.7940504378512,79.62524566038316,26.89763323150924,1.0
25.0,1741.0,75.17978451685,79.62600072664641,27.025706548019684,2.0
25.333333333333332,1814.0,76.01348506296314,79.71157379959702,27.19591575345529,2.0
25.666666666666668,1871.0,76.24630567563221,81.0138863611253,27.389356079919757,2.0
26.0,1804.0,75.06330284457925,79.70448482764101,26.489446522825997,2.0
26.333333333333332,1890.0,75.7875301792702,80.45972986794064,27.07213269047599,2.0
26.666666666666668,1889.0,76.68115638718716,80.97752565864516,27.327475846286003,2.0
27.0,1946.0,76.96102827635292,81.06029642876932,28.100192637900943,2.0
27.333333333333332,1889.0,76.95712987041941,81.57229462310606,28.088281295218284,2.0
27.666666666666668,1922.0,76.2728643394528,80.97141268366222,27.125217793805813,2.0
28.0,2088.0,77.30749246472094,82.08074286812155,28.78853643314459,2.0
28.333333333333332,2199.0,78.7737263773456,82.9303280197467,29.365589782549478,2.0
28.666666666666668,2067.0,77.59186836888723,82.05509623095428,28.273741810007508,2.0
29.0,1576.0,46.17358552246078,52.20153254455275,17.2895220167722,1.0
29.333333333333332,2289.0,78.35175684313982,83.20600854285686,29.3542407583796,2.0
29.666666666666668,2241.0,78.23042886243178,83.46615086032017,29.11513550878423,2.0
30.0,2390.0,79.04270840754984,84.1907018099727,29.78093434018133,2.0
30.333333333333332,2313.0,78.29431652425353,83.8677321591008,29.00464462113694,2.0
30.666666666666668,2385.0,79.6442081954831,84.59030129242572,29.825408000568867,2.0
31.0,2452.0,80.77747210701756,85.98059747576148,30.752700689828494,3.0
31.333333333333332,2538.0,80.50310476666651,85.53134951517175,30.899979196098755,2.0
31.666666666666668,2459.0,81.47023963248768,86.6943307137347,30.774646102869774,2.0
32.0,1686.0,47.042533945356304,54.34211876265752,18.04124378056458,2.0
32.333333333333336,2571.0,81.5996253927277,87.14326876506645,30.9431710461508,1.0
32.666666666666664,2665.0,81.9231323767773,86.81981336528403,31.658019916525294,2.0
33.0,2787.0,82.46211251235322,88.14867778501117,31.979169160177193,3.0
33.333333333333336,2821.0,82.0792300158816,87.64414644046319,32.51944169575126,2.0
33.666666666666664,2857.0,82.75868534480233,88.58600047214408,32.34623208083572,3.0
34.0,2775.0,83.48652585896721,88.6112249680786,32.64452995519241,3.0
34.333333333333336,2972.0,83.3681580547637,88.59057503033263,32.610816705286474,2.0
34.666666666666664,3061.0,83.6301381082203,89.61528708662875,33.04686298425429,2.0
35.0,3042.0,84.01934075642866,89.89324220962202,33.26064080718267,2.0
35.333333333333336,2939.0,84.22707132269058,90.3434000967325,33.03661228515317,2.0
35.666666666666664,3158.0,84.11896337925236,90.8346552033404,33.861568261892664,2.0
36.0,3192.0,83.83674276007908,90.38121829373591,33.14473904815814,1.0
36.333333333333336,3205.0,85.4447189387438,91.41608165600428,34.120340993248405,3.0
36.666666666666664,3211.0,85.17921670036137,91.75783268409805,33.83971264102374,2.0
37.0,3153.0,85.99185932506956,91.5792382067757,34.07484607309212,1.0
37.333333333333336,3289.0,86.2820954308619,92.286475114893,34.1814418328035,1.0
37.666666666666664,3379.0,87.47741677971617,92.97843712803724,35.22692659520368,1.0
38.0,3189.0,87.23531395025755,92.65020236544281,34.44251117446886,2.0
38.333333333333336,3523.0,87.32124598286491,92.94275676703884,35.555010115898604,1.0
38.666666666666664,3512.0,88.10987418144524,94.38752268526623,35.69771431898835,1.0
39.0,3589.0,88.79639358069427,94.1269161400015,35.771367472017104,3.0
39.333333333333336,3702.0,88.45676855292487,94.3689302312078,35.95464311662261,1.0
39.666666666666664,3556.0,89.14454524488455,95.08956099165987,36.08663718119061,2.0
40.0,3659.0,88.61715409558128,94.910844206056,35.570280654844545,3.0
40.333333333333336,3865.0,89.19641248391103,95.49465409421039,36.408070803235944,2.0
40.666666666666664,3741.0,89.30845424706443,97.43971857641756,35.96356065011193,4.0
41.0,3937.0,89.1403387922662,96.26982665734123,36.328114888262924,3.0
41.333333333333336,3968.0,89.88297912640284,96.3452404964814,36.38155161632204,1.0
41.666666666666664,3843.0,90.60905032059435,97.42562611378408,36.63815352165929,2.0
42.0,3978.0,90.78546139112804,96.57080213733093,37.12975197741523,4.0
42.333333333333336,4089.0,91.08896734003456,97.13144759990323,37.61457779450839,3.0
42.666666666666664,4161.0,91.0,97.20184626202226,37.62743797249213,2.0
43.0,4080.0,91.52704505950284,97.55739075789747,37.844883153207775,3.0
43.333333333333336,4161.0,91.96738552334735,98.26492901955213,38.155164371056394,3.0
43.666666666666664,4149.0,92.3125126565136,99.22277334241971,38.15646889073478,2.0
44.0,4203.0,93.03601440625972,99.40236379256143,38.774419002302224,2.0
44.333333333333336,4302.0,92.76313923105448,99.36001796802127,38.41365945125863,2.0
44.666666666666664,4221.0,92.76313923105448,99.29602197197705,38.953031380020654,3.0
45.0,4431.0,93.40770846134703,99.7288824603737,39.12953680400328,4.0
45.333333333333336,4456.0,93.60956122031546,100.5396579684227,38.956355005293474,3.0
45.666666666666664,4382.0,94.25444283773953,101.08293557972256,39.82649207056524,4.0
46.0,4608.0,94.28785494699248,101.55173538580087,40.004089929918194,4.0
46.333333333333336,4435.0,95.37765434617634,101.6223844057335,40.17829217136215,3.0
46.666666666666664,4470.0,94.37160589923221,101.20154428989767,39.96777113320851,3.0
47.0,4588.0,95.0789145920377,102.15960494306492,40.01014717246135,2.0
47.333333333333336,4544.0,95.29113255611148,103.7586379893972,40.684422868620096,2.0
47.666666666666664,4712.0,95.94788852198448,102.86994145102413,41.40435954219632,3.0
48.0,4947.0,97.30878685915265,104.20561385627207,41.669081304550794,3.0
48.333333333333336,5023.0,97.18538984847466,104.31260640978606,42.23995012131567,2.0
48.666666666666664,5577.0,98.85848471426213,104.58871572622724,45.57406379189647,4.0
49.0,5092.0,97.99668332149474,105.25244308968054,42.70188433801323,2.0
49.333333333333336,5071.0,98.66356947838361,106.396648719988,43.015001568630225,3.0
49.666666666666664,5161.0,98.48857801796105,106.14703244608981,43.11462338135762,3.0
50.0,5245.0,99.31364425447514,106.28593107852532,43.07548726534024,4.0
50.333333333333336,5206.0,99.8436271498106,106.94262450257591,43.92112829260049,3.0
50.666666666666664,5452.0,99.95198401331159,107.95932011781508,44.25617134849649,3.0
51.0,5467.0,100.42410069301094,108.32524958887205,43.87054107345361,3.0
51.333333333333336,5327.0,100.08894534325461,107.49380777117264,43.71329027472643,3.0
51.666666666666664,5359.0,101.39280026360551,109.13606084692897,44.33989091975967,3.0
52.0,5809.0,101.41498903022176,108.66038638574467,45.103359717765024,1.0
52.333333333333336,5587.0,101.627751214836,109.29862582173189,44.52563918232732,3.0
52.666666666666664,5768.0,101.26154156589926,109.2099567377854,44.75484462908201,2.0
53.0,5689.0,102.6761877894043,109.65856099730654,45.477405833541695,4.0
53.333333333333336,5660.0,102.42070103255493,110.12392520312916,44.9764282062861,4.0
53.666666666666664,5880.0,103.48429618459126,109.77069278747314,45.616820454630805,3.0
54.0,5729.0,103.85566907973777,110.12501880722613,46.9366068713605,2.0
54.333333333333336,5912.0,104.20820480518803,110.59940782267799,46.427287784131124,3.0
54.666666666666664,6032.0,104.65873109469233,110.7634189431587,46.57201600253035,2.0
55.0,5839.0,105.1242110731037,111.60178855586229,47.306048250977085,4.0
55.333333333333336,5854.0,105.54785642017914,111.98663165269727,46.80497035475268,3.0
55.666666666666664,6152.0,105.52795709077914,111.63186895017334,47.245592337190615,2.0
56.0,6053.0,105.30622011348369,111.66512047995873,46.82131787912393,3.0
56.333333333333336,6176.0,106.04244433244644,112.1678413488159,47.36914117125992,6.0
56.666666666666664,6120.0,106.70684115327975,112.85358457915457,47.98049179356948,3.0
57.0,6299.0,106.62129242332813,112.86840193376383,47.4251836118627,4.0
57.333333333333336,6352.0,106.64450083964704,112.98228317042198,47.7538619543038,4.0
57.666666666666664,6386.0,107.32310935002718,113.53875874088654,48.014090040447364,3.0
58.0,6423.0,107.22826119098944,114.06138698087096,47.70272934142952,2.0
58.333333333333336,6464.0,107.62899237658968,114.03394202439469,48.07344576595763,7.0
58.666666666666664,6397.0,107.81465577554843,114.06235117007984,47.94528548318064,2.0
59.0,6631.0,108.2266141020775,115.10927997888243,48.34742950130414,4.0
59.333333333333336,6454.0,108.46197490364999,114.49106937471332,49.20494043718011,3.0
59.666666666666664,6784.0,108.4665847162157,115.1612120131061,48.9598830210011,2.0
60.0,6558.0,109.12447020409007,115.84351427165839,49.220641657033504,3.0
60.333333333333336,3436.0,67.62025565915533,78.99081506970633,30.31981081051145,2.0
60.666666666666664,6759.0,109.78615577567146,116.27553482998907,49.60866793886196,4.0
61.0,6832.0,109.79640190683479,116.29370120287822,49.330747475128156,4.0
61.333333333333336,6787.0,111.00720574491935,117.59400482414621,49.97962620178302,4.0
61.666666666666664,6922.0,110.6521576659047,117.63749372936796,50.40714030384401,4.0
62.0,6983.0,111.13820217910626,118.43094763035073,49.85710688972801,2.0
62.333333333333336,3419.0,67.05370966610765,74.02519818523938,30.46228613685956,2.0
62.666666666666664,7154.0,110.73436608855593,118.07971686928887,50.45917042015636,2.0
63.0,7092.0,111.39569111954016,118.25583725504787,50.81696344590957,5.0
63.333333333333336,7216.0,111.36426715962351,118.94229745973712,50.71132670191053,3.0
63.666666666666664,7423.0,111.5679162434865,118.99630199865494,50.79903881690704,5.0
64.0,7394.0,111.32093242248078,118.96232596668314,51.267926534721155,5.0
64.33333333333333,7266.0,111.64228562610975,119.35964481915528,51.38690414973878,4.0
64.66666666666667,7061.0,111.8659912573969,119.5366037351449,51.46948000276395,5.0
65.0,7475.0,112.0446339634344,120.52663471214683,51.50759402212529,9.0
65.33333333333333,7680.0,113.70136322841516,121.24279344942919,52.91755006067808,3.0
65.66666666666667,7606.0,112.53888216967503,120.7683733433551,52.08879685269978,3.0
66.0,7585.0,112.69516382526061,120.26969640284109,51.48550712602297,4.0
66.33333333333333,7603.0,113.06900535441883,121.33424908079334,52.01400031087173,2.0
66.66666666666667,7829.0,112.70669881372926,121.32443862957288,52.16831681589426,2.0
67.0,7400.0,113.11189135804302,121.56494147523382,52.7167052417094,6.0
67.33333333333333,7743.0,113.22455560954597,121.82840368531701,52.75618845686688,4.0
67.66666666666667,7785.0,113.43103564564123,122.1932883707005,53.142802546580874,4.0
68.0,7547.0,113.44161493913951,122.59412368007686,53.144079232615255,4.0
68.33333333333333,8190.0,114.09184727648089,122.80109932958098,53.804106266079,8.0
68.66666666666667,7864.0,114.06883882200519,123.45916212780847,53.477091010424765,5.0
69.0,7820.0,114.94868414045632,123.8868630263058,53.50527713296584,5.0
69.33333333333333,7867.0,114.28473213863697,123.30064550443929,53.30255232354606,6.0
69.66666666666667,7877.0,114.85817336120385,123.44601658380397,54.925533962158404,4.0
70.0,7747.0,114.23003063733292,124.02265875510163,53.613399298291355,5.0
70.33333333333333,7880.0,115.15901992943822,124.31982922345681,54.18587550685327,3.0
70.66666666666667,8059.0,115.26057435220423,124.90216138043957,55.34343698564127,4.0
71.0,7888.0,115.44522481123923,124.46563768487833,54.147116318180274,3.0
71.33333333333333,8045.0,115.97413504743201,125.0031199500816,54.61074768715489,3.0
71.66666666666667,7952.0,116.22650174061887,126.44253579506191,54.60306806726756,3.0
72.0,7996.0,116.62975458885927,126.43960780116223,54.873230565656776,6.0
72.33333333333333,8226.0,116.04309544302927,126.12196409848353,54.78261944490251,6.0
72.66666666666667,7986.0,117.15374513859982,127.22509575691873,55.388505928317116,6.0
73.0,8333.0,117.04187277415068,125.90623426425759,55.15591315371531,4.0
73.33333333333333,8316.0,117.15374513859982,126.6524772152744,55.53402612461541,7.0
73.66666666666667,8318.0,117.96100910993815,127.21041570949805,56.06532553511864,5.0
74.0,8710.0,117.88787043435707,128.4764133340603,56.96548683797664,7.0
74.33333333333333,8511.0,119.00210080324896,128.53034543105733,56.125442906920945,3.0
74.66666666666667,8847.0,117.8872341896646,127.8153746514472,55.96757646360468,6.0
75.0,8733.0,118.2404321276023,127.94272154590466,57.23507197381474,8.0
75.33333333333333,8531.0,118.99369684840478,129.0209283230263,56.30835502328766,2.0
75.66666666666667,8973.0,118.59595271340417,128.16005617976296,57.624420473499384,9.0
76.0,9064.0,119.19395822284294,128.25573906515754,57.92536151099076,8.0
76.33333333333333,8872.0,118.8940598976898,128.42092885803328,56.060179356680585,7.0
76.66666666666667,9095.0,118.93485572875962,128.41339493993607,56.72715342471174,8.0
77.0,9045.0,120.50643135221233,130.0825866548127,58.45192600168507,11.0
