t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24111239461342393,0.013127708890067424
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264558454529606,0.09335057513817446
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.434084293644446,-0.4524874609792846
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16292354136226095,0.08024416725612582
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1649.0,0.14528118683949742,-0.10740751095380574
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2068.0,-0.10967368933359012,-0.3936121272964215
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.0,0.14105151289379592,-0.3935559532143884
7.0,2259.0,45.60711669921875,629.0,342.0,31.070969575144726,121.00537172444594,0.0,2530.0,0.40069750504881085,-0.6236004500264016
8.0,2535.0,47.6682243347168,627.5,343.0,31.694521985927658,122.58017771465153,0.0,2811.0,0.24142566960460954,-0.5158881399464121
9.0,2816.0,49.47736740112305,632.0,342.0,32.51838198579426,124.17527890273207,0.0,3157.0,0.3375175005858182,-0.720267523485461
10.0,3141.0,52.172889709472656,629.0,343.0,33.46867328768557,126.0,0.0,3574.0,0.5224003392867189,-0.5261306492308222
11.0,3558.0,60.27032470703125,625.5,338.5,34.75849391599655,127.39309243440164,0.0,4108.0,0.5241744332740836,-0.478544257850956
12.0,4057.0,65.6087875366211,625.5,336.5,37.09252748511515,129.55307792561317,0.0,4864.0,0.5446547903241026,-0.5244628669695999
13.0,4694.0,71.1513442993164,617.5,334.5,40.624830756830924,130.98091464026353,0.0,5230.0,0.42481068175573,-0.42908422231664645
14.0,5217.0,76.08065032958984,613.0,333.5,42.904788530228124,132.83749457037052,0.0,5835.0,0.409263608827132,-0.45388090135406856
15.0,5848.0,80.9724349975586,603.457763671875,336.2567138671875,45.8342575441528,134.34656675925888,0.0,6472.0,0.19104064292730527,-0.3374935276444262
16.0,6519.0,82.95942687988281,604.5,334.0,48.20498107618664,135.72398461583714,0.0,7034.0,0.25161313336514013,-0.3190861621125123
17.0,7050.0,84.32388305664062,602.5,335.5,49.71053785774129,136.661804480797,0.0,7505.0,0.22255523215710582,-0.1992190269683647
18.0,7599.0,86.45240020751953,603.0,335.0,50.98738563333234,138.08077342403553,0.0,8010.0,0.0939082692991633,-0.0324837754226337
19.0,8120.0,88.6849365234375,603.0,333.0,51.95914460881687,139.17812301450476,0.0,8517.0,0.07549387273797947,-0.008354971196808947
20.0,8597.0,90.05008697509766,603.0,334.0,53.16273284467949,140.00571410351435,0.0,8951.0,0.10961545734801348,0.042911667380508334
21.0,9053.0,90.30098724365234,603.5,334.0,53.98290338879581,141.00780110632817,0.0,9383.0,0.012495990048932981,0.04820800623417654
22.0,9469.0,90.91764068603516,603.0,335.0,54.47423046127604,142.00211264986334,0.0,9778.0,0.08167706402025487,0.044799099685462807
23.0,9924.0,91.68587493896484,606.0,334.1170959472656,55.213315401678166,143.1960193023276,0.0,10364.0,0.11853891667306016,0.007020231366823282
24.0,10470.0,93.1505126953125,606.0,333.0,55.99001817389347,143.78456106272327,0.0,10981.0,0.25635191977244176,0.030364812392292606
25.0,11060.0,94.67522430419922,607.5639038085938,332.06591796875,57.106004456403745,144.1700384962146,0.0,11403.0,0.1877012282279793,0.09045919954070314
26.0,11543.0,96.81564331054688,607.0,331.5,58.06482086345349,145.0,0.0,11734.0,0.16897856366051656,0.07609764470288383
27.0,11962.0,97.56948852539062,609.84423828125,330.0075378417969,58.78022762970621,146.01369798755184,0.0,12156.0,0.2339675440226756,-0.012202969256179585
28.0,12408.0,99.35933685302734,609.6488037109375,330.2033386230469,59.509173915225695,147.41099009232656,0.0,12589.0,-0.03558376624619086,-0.08110493193646562
29.0,12944.0,102.07313537597656,607.555419921875,330.17022705078125,60.27879356346556,148.78440747549485,0.0,13197.0,-0.06135318487474706,-0.027240081956108497
30.0,13551.0,102.82384490966797,606.810791015625,331.6384582519531,61.153263686634055,150.02999700059985,0.0,13825.0,0.06395839785284352,0.0074066070483240765
31.0,14186.0,104.20423889160156,606.77197265625,332.6479187011719,62.102320896245374,151.4537875152128,0.0,14242.0,-0.02994792830475035,-0.019583499131556437
32.0,14638.0,105.39424133300781,606.7335815429688,332.4521789550781,62.78911650993313,152.33105384543742,0.0,14879.0,-0.04737513492875678,-0.20922964825348345
33.0,15206.0,106.56610107421875,606.5438842773438,331.6969299316406,63.62003898422754,153.18289721767243,0.0,15400.0,0.11494507875238469,-0.03966757717159908
34.0,15778.0,108.97749328613281,605.3509521484375,333.0393371582031,64.64050534546831,154.12008305214476,0.0,16131.0,0.20639969176545492,-0.1631772070049351
35.0,16275.0,110.86537170410156,608.1423950195312,330.48089599609375,65.46426650555595,155.04934697642614,0.0,16450.0,-0.04472330981900541,-0.4181228302998079
36.0,16794.0,112.00877380371094,607.055419921875,332.2473449707031,66.23413629821968,156.48514116513292,0.0,17018.0,0.004609396635146368,-0.30946378676628683
37.0,17380.0,112.78182983398438,608.77294921875,332.0200500488281,66.91785946513475,157.2768260107,0.0,17369.0,-0.00647637212614427,-0.16191686054696675
38.0,17864.0,114.53296661376953,606.306396484375,334.3699951171875,67.53004476224322,158.25612152457168,0.0,17921.0,-0.005286420477204956,-0.21296380829005557
39.0,18392.0,116.44026184082031,605.3126831054688,334.2013854980469,68.29831831160323,158.97798589741913,0.0,18390.0,-0.08896856388889773,-0.3877046138501896
40.0,18853.0,118.81816101074219,604.5086669921875,333.4140625,69.0973228813309,160.02062355368525,0.0,18848.0,-0.13819723906590298,-0.38674612752043913
41.0,19423.0,120.40364074707031,609.3322143554688,330.776123046875,69.93377795397788,161.31026005806325,0.0,19503.0,-0.11255538798150155,-0.36194796111294636
42.0,20005.0,121.48017120361328,611.6829833984375,329.54205322265625,70.77960637518511,162.4789214114227,0.0,19952.0,-0.10544140592458007,-0.4016696883224995
43.0,20540.0,122.9162368774414,613.6952514648438,328.55126953125,71.44888123156113,163.6827724580592,0.0,20795.0,-0.09301936988879334,-0.39584351475576796
44.0,21013.0,123.08360290527344,612.9884033203125,329.2480773925781,71.99279804918255,164.34719346554112,0.0,20700.0,-0.06952095589588225,-0.4588302681291907
45.0,21594.0,124.25166320800781,618.6007080078125,326.6051940917969,72.63174329995101,166.10839834276894,0.0,21688.0,0.2623864652800876,0.23061025848033978
46.0,22112.0,125.30500030517578,616.671142578125,329.0794982910156,73.33020608972377,168.00297616411441,0.0,21534.0,-0.07784821032282707,-0.05851974162362694
47.0,22485.0,126.2252426147461,617.4642944335938,328.1826477050781,73.8311100883566,168.6801707374047,0.0,22556.0,-0.140211778566254,-0.24060791623821842
48.0,23120.0,127.63419342041016,618.1513061523438,328.427734375,74.58175630115808,169.65037574283744,0.0,22588.0,0.022390841166384234,-0.16986337944621255
49.0,23752.0,128.9123992919922,617.7322998046875,329.5882873535156,75.44008281362058,171.42053552593984,0.0,23172.0,-0.055117367054208444,-0.11190392528192206
50.0,24288.0,129.96926879882812,616.5592041015625,331.74871826171875,76.09830271959942,172.5688268488837,0.0,23558.0,-0.24761968049415373,-0.24159303726582948
51.0,24845.0,132.06488037109375,615.7620239257812,333.2124938964844,76.89082730329268,174.00114938732213,0.0,24000.0,-0.024546558636757254,-0.30006343482523334
52.0,25320.0,133.69332885742188,614.2335815429688,334.13555908203125,77.5986960156532,174.9517076179829,0.0,24566.0,-0.1224082795177992,-0.04593537506582379
53.0,25850.0,134.6702117919922,612.2647094726562,335.8865051269531,78.42276031050297,176.07100840286,0.0,25092.0,0.09542705295132237,-0.1033008920291536
54.0,26577.0,137.31707763671875,612.3009643554688,334.5467224121094,79.48854786560051,177.49816897245384,0.0,25616.0,-0.03314984510927843,-0.034839620019397444
55.0,27132.0,139.1916046142578,611.3848266601562,335.4925842285156,80.31744855048844,178.46568297574746,0.0,26017.0,-0.03855976529143845,-0.02570982599809213
56.0,27599.0,140.0353240966797,610.8917236328125,335.7651672363281,80.93823369034838,179.22611416866684,0.0,26530.0,-0.14871692435713157,-0.030845223715459724
57.0,28232.0,140.8173370361328,609.8048095703125,336.29791259765625,81.74391851246864,180.41715545615932,0.0,27013.0,-0.3379594720803425,-0.14784065031466298
58.0,28737.0,141.70335388183594,611.00439453125,336.6302795410156,82.3692768789992,181.4083790788066,0.0,27511.0,-0.16184489931447388,-0.13422530547126144
59.0,29307.0,142.51068115234375,613.9095458984375,335.8468017578125,83.03298528421216,182.28000438885226,0.0,27974.0,0.14205275220103886,-0.11962117180871701
60.0,29962.0,142.76654052734375,614.7665405273438,335.6232604980469,83.72032516178146,183.72969269414094,0.0,28346.0,0.0924431602667255,-0.12856729483314666
61.0,30487.0,143.40756225585938,618.1558837890625,334.2387390136719,84.33563052694342,184.69813208000772,0.0,29054.0,-0.1445800334956857,-0.2166396961524697
62.0,31039.0,143.90577697753906,619.6124267578125,333.87786865234375,84.9141933184441,186.26862323000083,0.0,29032.0,0.095462657066264,0.33860171355667035
63.0,31529.0,144.44508361816406,618.47412109375,335.26898193359375,85.38658024300375,187.5435949274038,0.0,29892.0,-0.2627543401101775,0.005832197496488334
64.0,31919.0,144.73147583007812,619.4454956054688,334.97760009765625,85.72763495995426,188.2153022471871,0.0,29911.0,0.19405022249054582,-1.3686812723004778
65.0,32531.0,145.05545043945312,620.142578125,334.90582275390625,86.3228202046702,188.94840542915225,0.0,30451.0,0.1885937494261043,-0.4630362791278344
66.0,33021.0,145.89047241210938,620.0,336.0,86.87641365331424,189.76301009416983,0.0,30780.0,0.17510109793886386,-0.012998325184071291
67.0,33493.0,146.22776794433594,617.9354858398438,337.7278747558594,87.36565643437238,190.65361239462143,0.0,31326.0,-0.4012959032448862,-0.17436716992119727
68.0,34018.0,146.22950744628906,618.2195434570312,337.5505676269531,87.8809771397373,191.2694434560837,0.0,31358.0,0.23628963306134665,-0.2675630988184139
69.0,34441.0,146.37557983398438,617.483642578125,338.18560791015625,88.23885268143626,191.84629264074925,0.0,31609.0,0.181040371156314,-0.08748596033655076
70.0,34803.0,147.03662109375,617.3148803710938,339.0685729980469,88.58836617163425,192.39620570638493,0.0,31974.0,0.09295878467673901,-0.13109986564802512
71.0,35243.0,147.2454376220703,618.1861572265625,338.7722473144531,89.05337261565383,193.0611301902613,0.0,32518.0,-0.044485162037744885,-0.1700476420388668
72.0,35703.0,147.44227600097656,619.3247680664062,338.2850646972656,89.54636634514216,193.6620768245554,0.0,32504.0,0.01838387787904594,-0.12608484011434484
73.0,35977.0,147.46359252929688,620.0476684570312,337.8460693359375,89.83232001787798,194.04587064392544,0.0,32635.0,-0.006333129882364119,-0.07759594107488965
74.0,36267.0,147.51962280273438,619.824462890625,338.05670166015625,90.15080770321669,194.5507645834372,0.0,32945.0,-0.012006673261339529,-0.1954299008322664
75.0,36590.0,147.6872100830078,619.1696166992188,338.6741943359375,90.4671159892411,195.13892480487178,0.0,33261.0,0.05576318249268297,-0.15232984378906167
76.0,36949.0,147.8312225341797,619.2584228515625,338.78839111328125,90.8205698404776,195.47889911701466,0.0,33764.0,0.028325583378318697,-0.07167863816198405
77.0,37274.0,148.39425659179688,620.0318603515625,338.962890625,91.1539016606902,196.2065238466856,0.0,34029.0,-0.007933400849992722,-0.012760592675590487
78.0,37644.0,148.8031005859375,620.9186401367188,338.8779602050781,91.52497270564979,197.03908238434184,0.0,31778.0,0.12523067916129094,0.0404727804178151
79.0,37930.0,149.09906005859375,620.5,339.5,91.81764464761814,197.47063069155152,0.0,32266.0,0.155370656489481,-0.19000255379825148
80.0,38363.0,149.36961364746094,621.0,339.5,92.25966973720016,197.99494943053472,0.0,32195.0,0.027335105136103266,-0.04866438944583251
