t_s,M_px,Renc_px,cx_px,cy_px,Rg_px,R95_px,clipped,npix,dx_px,dy_px
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5299712475714387,0.2279834674615131
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1034326575399973,-0.16101385475081997
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33423302950393463,-1.5623622112478301
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04431663351874704,0.15476275171096177
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,722.0,0.5813855756694011,-0.06516614946878008
5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.0,0.12283517475293593,-0.709505014279955
6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1833.0,0.3670336732124042,-0.3762558489472667
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2094.0,0.7476250403037739,-0.526229862600303
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2751.0,0.6256257439582669,-0.9834277157507358
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3599.0,0.8738526108559199,-1.0906172029506251
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4399.0,1.1660190160743014,-0.9836769300416677
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5079.0,0.9722825816717204,-1.0530113369965761
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5529.0,1.0472517846069422,-0.7753360306886066
13.0,4538.0,62.34307861328125,324.4526672363281,346.4526672363281,36.31404079455395,151.98174228367336,0.0,5686.0,0.9843236010609644,-0.6950393483825792
14.0,4962.0,64.42340850830078,322.5436096191406,347.9671630859375,37.11119972126615,152.40997340010222,0.0,6007.0,0.9751767195001548,-0.5195156836836077
15.0,5333.0,64.9000244140625,325.0,343.0,37.91610645198737,152.61454706814672,0.0,6150.0,0.84413174966312,-0.3507969609796078
16.0,5702.0,70.33595275878906,322.20404052734375,351.0050354003906,38.95415891497844,153.45634556922468,0.0,6327.0,0.8243326806059486,-0.17226386608575694
17.0,6057.0,71.27185821533203,320.8752746582031,351.78985595703125,39.915525977742064,154.4389844496258,0.0,6710.0,0.7213583835165309,-0.2253124390394987
18.0,6393.0,73.10447692871094,317.5,354.0,40.87594800982477,155.3145194764609,0.0,7226.0,0.637924604288969,-0.2553656431502418
19.0,6765.0,74.423828125,315.3709716796875,353.99462890625,41.75634555901172,155.92369920468943,0.0,7266.0,0.6340577389883038,-0.26064313521209215
20.0,7183.0,84.81165313720703,308.0,351.0,43.139679737485864,157.27873341760395,0.0,8376.0,0.7212842812110694,-0.04025490782510133
21.0,7617.0,87.60289764404297,307.0,350.5,44.532208162463654,157.8030417143481,0.0,8373.0,0.7093786233782566,-0.16662350397598402
22.0,8063.0,88.70466613769531,305.5,350.5,45.627376949380526,158.39823231336896,0.0,8965.0,0.6292148949781904,-0.2947295707835451
23.0,8469.0,89.80683898925781,305.0,351.5,46.729387315591964,159.21243669271882,0.0,9185.0,0.6331759330209934,-0.13985274754207921
24.0,8795.0,89.9181137084961,304.5,352.0,47.40848795718785,159.91278841733572,0.0,10366.0,0.8620689046157395,-0.10766044068088831
25.0,9092.0,90.50562286376953,305.5,351.0,48.0441608597993,160.67591437660522,0.0,10287.0,0.7370170205249451,-0.09681264791839794
26.0,9546.0,93.06593322753906,305.0,350.5,49.10506316183357,162.07097175552306,0.0,10926.0,0.6428427098950351,-0.10685269065993452
27.0,10032.0,94.0320053100586,306.0,349.0,50.16760122596049,163.13322775472494,0.0,11144.0,0.7242987911126875,-0.11487397295258006
28.0,10468.0,98.32862854003906,321.5,340.5,51.66307781435478,167.93093732116236,0.0,11269.0,0.5127311713571316,-0.15516170689795672
29.0,10884.0,99.05816650390625,320.5,340.5,52.63943181160143,170.64861324311244,0.0,7977.0,0.5114569207986506,-0.28602368578003734
30.0,11185.0,99.76482391357422,320.0,341.0,53.21674436456836,172.56303157298524,0.0,8274.0,0.6007219024098731,-0.32273158002220725
31.0,11483.0,100.6579360961914,318.0,344.0,53.6872403591418,173.21345187151448,0.0,11681.0,0.6260703607998721,-0.4819549187944858
32.0,11846.0,100.6579360961914,318.0,344.0,54.128741801078434,173.73543097235975,0.0,12197.0,0.5091497646395737,-0.25254755560661124
33.0,12168.0,101.64777374267578,320.5,343.0,54.743580739842514,174.91755136366874,0.0,9341.0,0.42809269503152336,-0.1748069137300945
34.0,12477.0,102.44642639160156,320.0,344.5,55.32842626845557,175.32826355154492,0.0,9536.0,0.52076973330486,-1.6118759532446347
35.0,12844.0,103.0595474243164,321.5,344.0,55.91956045583406,176.6422936270735,0.0,13192.0,0.42951552774889024,-0.27334407217807666
36.0,13259.0,103.3925552368164,322.0,344.0,56.38473266527034,177.6752655328893,0.0,13187.0,0.3593400584173878,-1.4871809037321668
37.0,13564.0,103.7269058227539,321.5,344.0,56.91744187700433,179.35662780220582,0.0,13504.0,0.54920562331165,-0.430947532783307
38.0,13882.0,103.76545715332031,322.0,343.5,57.28376486910623,179.33083864559487,0.0,13949.0,0.5798215585233493,-0.3564586714875304
39.0,14161.0,104.76889038085938,321.5,344.5,57.668036691272185,179.49373248110922,0.0,10684.0,0.5536269457905973,-0.4843405573645896
40.0,14445.0,107.44776153564453,317.0,348.0,58.24472976512985,180.30973334712112,0.0,14545.0,0.5081425690545984,-0.14333472471332698
41.0,14815.0,107.5000991821289,319.5,346.0,58.885695528014196,180.81869343969464,0.0,14738.0,0.43149393328098995,-0.32090345059646097
42.0,15029.0,108.00473022460938,319.0,346.0,59.18917763247036,181.2274812791096,0.0,14687.0,0.5411777947529117,-0.11449937355314432
43.0,15328.0,108.20014190673828,318.0,346.5,59.764559207610446,182.25805880673698,0.0,11555.0,0.47397310668748105,-0.30556839399639557
44.0,15695.0,109.44985961914062,315.0,349.5,60.405206613268255,183.603376807406,0.0,11488.0,0.37546481140930155,-0.43281573694713416
45.0,15929.0,110.43560028076172,314.0,350.0,60.7521530260448,184.01902063564845,0.0,12354.0,0.4358442003850769,-0.3601515487339384
46.0,16138.0,110.72611236572266,314.5,350.0,61.013904876941005,184.44091192457094,0.0,11950.0,0.49615666208228504,-0.2692483668751606
47.0,16334.0,110.84346008300781,314.0,350.5,61.17717674314946,184.44782460088814,0.0,11021.0,0.45291575889598334,-0.2839961268521165
48.0,16631.0,112.10050201416016,310.5,352.5,61.705698842247905,185.22148901440366,0.0,11345.0,0.46021512822312616,-0.3761779904518221
49.0,16932.0,112.75758361816406,313.5,350.0,62.19334768590685,186.18767332548603,0.0,13308.0,0.4893462833384774,-0.3205186313799686
50.0,17352.0,113.14823150634766,313.5,350.5,62.815103882337645,187.11801066014036,0.0,16846.0,0.4755249691196468,-0.3312824637225731
51.0,17654.0,113.46044158935547,313.0,350.5,63.14868486536595,187.56372215610895,0.0,14724.0,0.31993978336379314,-0.36145168928908333
52.0,18024.0,113.70146179199219,314.0,350.0,63.36792208441647,187.62729012593024,0.0,13807.0,0.5036770158739046,-0.5329592785668069
53.0,18319.0,114.01873779296875,314.5,350.0,63.615908539581966,187.93030612232567,0.0,14159.0,0.3783199471156422,-0.5301599504775254
54.0,18615.0,114.4771728515625,314.0,351.0,64.0198343609191,188.27984490783663,0.0,17978.0,0.4315341048645678,-0.34867553239382687
55.0,18901.0,114.4771728515625,314.0,351.0,64.32362397093368,188.50198937942272,0.0,14686.0,0.45882340809043853,-0.2825558247332083
56.0,19394.0,114.4771728515625,314.0,351.0,64.79229283979146,188.83061192507955,0.0,19759.0,0.2453026254066799,-0.32132562780293483
57.0,19778.0,114.55358123779297,313.5,351.5,65.18942334965718,189.61276328348785,0.0,16458.0,0.23544127484194632,-0.20019764377991578
58.0,20003.0,114.55358123779297,313.5,351.5,65.37335774997517,189.7337606341144,0.0,17130.0,0.27500658019539514,-0.1875257738407754
59.0,20224.0,114.55358123779297,313.5,351.5,65.52291647623645,190.05170330337103,0.0,19791.0,0.36443063151455135,-0.003373161248703127
