particle,r_px_manual,r_um_manual
1746,7.26,1.0441
22,7.4,1.0646
28,6.65,0.9564
9,7.04,1.0119
35,7.53,1.0827
33,6.98,1.0034
1,7.16,1.0303
25,7.5,1.0779
