frame,focus,bright,count,n_link,flow,struct_rms,affine_r2,div,curl,shear
0,171.3719024658203,214.35525512695312,68,62,0.5652904219827002,0.2732785967428811,0.034634080214658525,-0.4702745752209726,-0.05554491445777839,0.4211384558756126
37,172.28700256347656,213.7711639404297,65,62,0.25652348332573,0.4405185552755404,0.0500772730963297,0.8045977070940505,0.15102524424272065,0.5452871695126141
75,172.64276123046875,214.04994201660156,65,61,0.28117596939903605,0.4696253240535838,0.08688543369336277,0.34865802119775474,1.1553416939504566,0.23884643196098967
113,178.1215057373047,213.61328125,62,60,0.3687998519687157,0.47730593309273694,0.09300850804872951,-0.024642111447804784,1.04441127288135,0.6231880082320473
151,173.10560607910156,213.45448303222656,67,61,0.3697905880633646,0.5190457763979557,0.12953795489771402,-0.738935936249176,0.7627448156026222,0.8977689598023697
189,166.51321411132812,213.95083618164062,64,59,0.13537922758417675,0.25042745623554713,0.015368448760838649,0.5878082850625204,-0.20131579501223107,0.21020827649757579
227,168.86033630371094,213.3727569580078,60,56,0.0422669026317315,0.363071299294421,0.04464144184950891,-0.06373320595798963,-0.23681793522282385,0.8188726105374284
265,167.0902862548828,213.0491485595703,66,63,0.4386151749951035,0.5141602219493109,0.06439060194019142,0.2836336149009065,-0.9675857010567737,0.6731071020444516
303,167.50148010253906,212.86361694335938,64,61,0.3726929336952756,0.21292612199942698,0.014904607235780354,0.19475287345043407,0.40209407567534844,0.37047042335445474
341,173.66668701171875,214.01634216308594,65,61,0.25373275835955394,0.4179709274419821,0.05493422622823607,0.19492052770136947,-0.9438424500503669,0.37897480306463344
379,172.19302368164062,213.3970489501953,69,63,0.4170646000954391,0.29893210703791795,0.02059801212512824,-0.033860397213773936,-0.13412871507546592,0.6689029562383169
417,165.7934112548828,214.2776641845703,69,66,0.2513002651718415,0.4038561760476399,0.056908587525488996,-0.1394782613411501,-0.9443747040612099,0.6598054993973143
455,168.76658630371094,214.419677734375,65,62,0.48845563130318936,0.19282809306085938,0.00731823717651503,0.20475478372406938,-0.0219123453217329,0.429767443282266
493,164.26666259765625,214.57720947265625,71,61,0.5528039517418533,0.42305257375373106,0.05254937243180691,-0.4173476939057578,0.3823922333264406,0.9557247030643322
531,164.14535522460938,214.753173828125,68,61,0.11262811979897416,0.5723025600787848,0.0814388855314937,0.712251722370887,1.1541946797452083,0.8912818562414372
569,167.8980255126953,214.5242156982422,70,64,0.36238584663259027,0.21658082735512385,0.019872555508595235,0.3462091193819292,0.29551737884505436,0.2962580980475098
607,162.7823944091797,214.40878295898438,69,66,0.3545890969712336,0.23823502603149502,0.013973729968633997,-0.19096902811641991,-0.023152380487096526,0.4800436885198205
645,168.04302978515625,213.65977478027344,65,60,0.6137562789040725,0.44518026655602766,0.10057341234601547,-0.44345375967146505,-0.7090023977460819,0.6578022103765834
683,167.89645385742188,213.39566040039062,74,69,0.10169631110434132,0.5339645956741867,0.059069224911199814,0.11887684302617595,-0.8313417147370253,0.8532760663866447
721,161.4005584716797,213.93832397460938,72,67,0.14114491403319362,0.34485044187417735,0.029508852930433704,0.3254544653505245,-0.5689097967286948,0.656562261323755
759,160.50022888183594,213.70591735839844,71,68,0.22134070570931028,0.2608975083247133,0.020247232882065314,0.19371070884950256,0.22564329618860332,0.561633843681942
797,158.53829956054688,213.80258178710938,71,66,0.2551565146375732,0.49755135734425715,0.09996793817953309,0.7778653986980658,0.7126341915680632,0.8047834408443642
835,157.29425048828125,213.64511108398438,74,72,0.3699845483493017,0.3697107212137085,0.027211398465629477,-0.2907745433748375,0.6848669177608168,0.3234867122994859
873,160.75970458984375,214.04608154296875,68,65,0.3693065383221826,0.3031930940271056,0.027409654354614732,-0.16466705003640608,-0.35115804750761154,0.6919446798600475
911,158.49349975585938,214.66807556152344,76,69,0.7458748364642149,0.6373994502091613,0.1238213695097844,1.187349365667376,0.3951323792237082,0.9474518880367805
949,160.66087341308594,214.84739685058594,73,67,0.43789111626736626,0.3170062510444931,0.02722806878922468,0.31367589940118196,0.26399300161637906,0.6405062531385245
987,155.6222381591797,214.64613342285156,73,70,0.24260037642837762,0.09815827786321335,0.003274482065565354,0.10084005099523732,0.000669441286293113,0.2439036667951857
1025,154.04287719726562,214.7138671875,75,71,0.284758332926758,0.6317914033242182,0.11683181702097523,-0.5083274913144782,1.4277486456146797,0.7187076987066542
1063,148.54344177246094,214.65426635742188,64,63,0.20208889921022402,0.23031449449139263,0.014412548897985933,-0.11635662607507098,0.10914248166308764,0.5717878152921045
1101,148.6333770751953,214.555908203125,69,67,0.28332565142796273,0.31071829120241806,0.029017841123458177,0.6795868844442009,0.2841888037212187,0.2256807885417537
1139,145.61419677734375,214.7217559814453,70,67,0.5205434401764457,0.12687069262956224,0.005339016183453893,0.03831435583372149,0.051056614158172,0.2815085995258823
1177,169.23208618164062,214.4592742919922,66,64,0.4565064430012418,0.5467070681553476,0.07637311179711703,-0.23622436774421557,0.7485125307858144,1.292030764652371
1215,186.3801727294922,214.2303924560547,76,70,0.5217058224356733,0.1797700285873292,0.00846834807739083,0.12535158814460962,0.09005301206417651,0.36426455001054264
1253,188.7041473388672,213.91806030273438,70,65,0.05857125058718458,0.5191230102818343,0.08491391355500277,0.06116408730352373,0.8618649065744857,1.0530457097759789
1291,187.76991271972656,213.9570770263672,70,70,0.2776692677893778,0.628075292845662,0.08654133850526302,-0.0370687598627716,0.14784283496953304,1.3739281637646212
1329,184.43994140625,213.94464111328125,72,67,0.3176431161844231,0.5580923725151806,0.10168040125596345,0.24816723167378432,-1.1591281020154933,0.9542778347095889
1367,190.5154266357422,214.7449951171875,72,69,0.12386392507470624,0.2394537463172535,0.015108003682869575,0.30728454136837974,-0.17148114151248353,0.5259208537351553
1405,188.44036865234375,214.85357666015625,72,65,0.11160726878738332,0.619085910073536,0.1135336416061985,-0.25706495991317413,0.03122179738086207,1.4741890494155057
