particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
2365,306,26.2940943150614,0.040176301670645675,0.006707049548961614,0.06886564605042488,0.21940517544390234,1.0,0.35294117647058826,0.6458333333333334,17,1176.3402709960938,541.6288757324219,16.518217,1,-1,,,0.7209786219020844,3.3002459618236992,False,,single
1,1483,11.663999422011592,0.12276526413635254,0.011207007350701353,0.01304154003709923,0.1727544716495485,1.0,0.0125,0.9791666666666666,80,1277.8974609375,874.3041381835938,13.665076,1,-1,,,1.2220330385357971,4.086584820839246,False,,single
9,1483,10.036626845239727,0.2404887869463171,0.02166687590759221,0.03266064834906753,0.2673507812570688,1.0,0.3125,0.9479166666666667,80,1263.8641357421875,191.2008514404297,5.4356017,1,-1,,,1.3297472116907294,5.320667161985198,False,,single
2373,304,12.235752717224358,0.01075428079101006,0.028371875241002834,0.06526936172920407,0.29865075614099285,1.0,0.0,0.8125,17,845.9492492675781,681.04931640625,4.9325314,1,-1,,,1.1690287657877347,3.029906107711478,False,,single
22,1483,8.902748606376946,0.2383294360544142,0.016286776347170233,0.016949654819495716,0.20036980891801726,1.0,0.2375,0.9791666666666666,80,930.0277099609376,1173.822265625,3.4755344,1,-1,,,1.5158506317477771,4.94280448777504,False,,single
25,1483,12.99551348098465,0.21503534344502728,0.04188040542778222,0.0562533422988006,0.2897611916600294,2.0,0.55,0.9375,80,1364.3836669921875,869.8976440429688,3.2313025,-1,-1,,,1.5515450042573824,5.172013360157905,False,,single
28,1483,9.65051376820055,0.15140131265411955,0.02084342729797882,0.0919867222768326,0.3063279269375211,1.0,0.0625,0.8125,80,1428.149169921875,291.13232421875,1.6779109,1,-1,,,1.3287548054211662,5.793622087176224,False,,single
35,1483,11.029017654623518,0.21870115401765364,0.04201160124203336,0.05219247296743129,0.30375628900741947,1.0,0.175,0.9583333333333334,80,1352.1011962890625,1029.5965576171875,1.433575,1,-1,,,1.6683986267607067,6.055867394646432,False,,single
33,1483,11.477564482578625,0.1741472805864835,0.04624941922235698,0.05930258417524141,0.2986202418142559,1.0,0.3125,0.9583333333333334,80,1367.7843017578125,662.3609619140625,1.3776274,-1,-1,,,1.6736362792458572,5.685500446518721,False,,single
1746,160,8.260408632779285,0.02247092268122069,0.0714453980808949,0.09146374212102229,0.3291703190534613,1.0,0.0,0.9166666666666666,9,1558.7902221679688,320.05152893066406,0.28801006500000004,1,-1,,,2.056579370079243,7.6439207177664805,False,,single
