particle,n_frames,R_px_med,R_cv,resid_med,ring_cv_med,ecc_med,n_cores_med,frac_multicore,inlier_med,n_shape,x_med,y_med,sym_med,polarity,rigid_partner,rigid_sep_cv,rigid_corr,med_step,max_step,mislink,reason,proposed
2,1483,11.399866500133832,0.1558502761274224,0.012467267427752796,0.01762027861629757,0.20422315511004185,1.0,0.0125,0.9791666666666666,80,1188.4207763671875,499.9962463378906,10.3573675,1,1692,0.021111616421413664,0.7085366261780071,1.19754249788611,3.688233341523221,False,rigid-doublet,reject
4,1483,17.2379956019902,0.2749764465049059,0.0460902074507882,0.2428437152655634,0.3826082062746741,1.0,0.4,0.8541666666666666,80,621.110107421875,600.2832641601562,8.437562,-1,-1,,,1.2982982502198062,5.846213097381942,False,two-cores;not-round;defocus,reject
3,1483,18.405770904274895,0.18219795558420784,0.046319023779064994,0.2590760390872491,0.43377422755500183,1.0,0.1875,0.8125,80,159.3668212890625,1012.9155883789062,7.0233135,-1,-1,,,1.4454702357646998,5.8550555107901925,False,not-round,reject
610,362,16.4762832024546,0.16416709274415067,0.06885574294331115,0.12060442598943988,0.34428463721122177,1.0,0.15789473684210525,0.8958333333333334,19,840.1424560546875,27.343091011047363,5.5766383,-1,-1,,,1.6513399624705711,4.412741167870868,False,not-round,reject
5,1483,16.47661079877488,0.16116190356199522,0.25014390982142687,0.32779753446115956,0.4586490868586838,1.0,0.1,0.9479166666666667,80,729.32568359375,845.3624267578125,5.273013,-1,-1,,,1.6624162438309382,6.2544628674021086,False,not-round;elongated,reject
0,1483,16.52463035638948,0.11358861745032975,0.0308597470878265,0.14742446336505718,0.34337162840387647,1.0,0.2,0.75,80,1037.889892578125,1043.781494140625,4.2109704,-1,1194,0.10798070741872365,0.7331590138540136,0.8746700850134855,4.025626213634461,False,rigid-doublet;not-round,reject
7,1483,14.400586653926409,0.22745899281615592,0.14581451898846376,0.3039182734373778,0.4234228168100711,1.0,0.05,0.875,80,229.7336883544922,216.0907745361328,4.1125817,-1,-1,,,1.5217566716497006,6.057865395815749,False,not-round,reject
12,1483,11.31109095910168,0.12482933636235827,0.08886540212578417,0.09919706978177961,0.45699407038276807,1.0,0.175,1.0,80,1268.8818359375,406.3180847167969,3.9016352,1,-1,,,1.0586002398997272,3.7945977480811233,False,elongated,reject
24,1483,18.043611215707564,0.13012056608278597,0.2139375430181064,0.31368960547790947,0.43751857144575074,1.0,0.0,0.8958333333333334,80,221.54034423828125,131.76580810546875,3.8932474,-1,-1,,,1.5578302614331847,5.5037580506794574,False,not-round,reject
21,1483,18.07661789054154,0.141458534844182,0.1785211220598289,0.3006278023432967,0.42445533635396226,1.0,0.0125,0.875,80,194.0147705078125,693.0714111328125,3.881655,-1,-1,,,1.6218209043321232,6.025186476695879,False,not-round,reject
1324,148,19.2616054094781,0.0732674012735626,0.07221355385604131,0.277221400463065,0.46018849655378086,1.0,0.0,0.768395390070922,8,836.3761291503906,14.359158515930176,3.471846,-1,-1,,,1.7477775649472307,4.758726262339323,False,not-round;elongated,reject
10,1483,17.31103698848543,0.25266955793245766,0.06428219812115407,0.22778478979300965,0.4516340754415289,1.0,0.35,0.8125,80,628.4824829101562,739.9837646484375,3.4008157,-1,-1,,,1.451936135915736,4.969422138258892,False,two-cores;not-round;elongated;defocus,reject
14,332,20.046262058958128,0.16646681782776077,0.20326782574823912,0.31553579852188385,0.49031393239756194,1.0,0.2222222222222222,0.9479166666666667,18,36.226200103759766,611.4200744628906,3.3881259999999997,-1,-1,,,1.398250173718703,4.3848614641343735,False,not-round;elongated,reject
