particle,r_px_manual,r_um_manual
2884,8.89,1.2781
1350,7.21,1.0375
2,7.28,1.0465
1894,7.95,1.1428
6,7.08,1.0186
11,7.93,1.1405
0,8.22,1.1816
7,7.66,1.1017
