particle,r_px_manual,r_um_manual
1898,7.25,1.0419
142,6.97,1.0028
93,7.16,1.0299
64,7.31,1.0517
1396,7.59,1.0917
105,7.43,1.0679
30,7.57,1.089
87,7.08,1.0175
2,7.93,1.1403
22,7.11,1.0232
6,7.35,1.0563
34,7.38,1.0608
141,7.39,1.0623
107,7.41,1.0653
587,7.11,1.0231
943,7.5,1.0787
1,7.99,1.1495
5,8.1,1.1645
124,7.78,1.1188
