particle,r_px_manual,r_um_manual
10,7.22,1.0378
2768,7.33,1.0548
7,7.36,1.0588
17,7.41,1.0659
9,7.56,1.0877
2889,7.11,1.0222
841,6.97,1.0021
1208,7.55,1.0854
1,7.11,1.023
2,7.02,1.0091
0,7.66,1.1022
