frame,focus,bright,count,n_link,flow,struct_rms,affine_r2,div,curl,shear
0,141.49801635742188,212.98403930664062,40,36,0.6460969494796698,0.5551050033015078,0.055201751038096436,1.018230344722503,0.4419293330202277,1.2510471779914418
64,143.5501708984375,212.89266967773438,42,39,0.5890872593085825,0.1552492732840993,0.00690849656504422,0.2572874428990446,0.19971589362619221,0.3185568218104544
128,145.8038330078125,212.77105712890625,42,37,0.4497978902082465,0.1963796575932026,0.014655747489407012,0.0012866022948920916,0.26935074231099093,0.2682428068372341
192,146.12974548339844,212.67149353027344,42,39,0.29197697513904275,0.6429197004822672,0.10098781249828026,-0.24995922168558282,0.051621680982933446,1.4747676149687605
256,144.66336059570312,211.04222106933594,42,40,0.20529844441417253,0.5837840323825376,0.11903179250004314,1.1826268344843742,0.8614159745719852,0.6363136532032512
320,143.58721923828125,210.65098571777344,44,42,0.2780855725775047,0.7866562028801845,0.16186039265256702,-0.15636740741664282,1.8821215222590053,0.880155131726532
384,137.673583984375,210.5272674560547,42,34,0.42039153124615747,0.307004349681721,0.022466592451432343,-0.06067986286576926,-0.42735303668335956,0.4355219000096161
448,145.67086791992188,211.2803497314453,45,41,0.384273562811869,0.6633074038824233,0.0988619307803208,-0.4476501656418054,1.1722094405260735,1.1985281698760033
512,139.91555786132812,210.45286560058594,42,39,0.43030149189621913,0.9925778556890185,0.24275075956188796,1.4385349899008826,-0.5137081613004172,1.4891883547070817
576,139.5271759033203,210.54087829589844,42,38,0.15067583647515786,0.4362636309885006,0.05344272643267822,-0.3857539841465308,-0.2942019700294743,0.9803831921319959
640,138.614990234375,210.98556518554688,40,37,0.7229719593344176,0.43722511166118233,0.045830988627554414,0.5393580702945736,0.789426957534153,0.3389923146449858
704,138.92410278320312,211.40223693847656,42,39,0.4055564884537502,0.29866172993204815,0.014895783557900333,0.5554419576979079,-0.3080913568736847,0.5518925074638952
768,139.92822265625,211.36436462402344,46,44,0.4314640001078448,0.6919537955059075,0.09167564507295145,0.9056886700297406,-0.26974015654631944,0.9737649835616393
832,133.56015014648438,210.42201232910156,37,34,0.20941514338323952,0.45727903764257866,0.05519794498131714,0.22452531796830397,-0.39423129525047235,1.0790576667691907
896,132.86863708496094,212.47569274902344,39,38,0.6093302539344471,0.4962927145214519,0.05245658393453523,0.15263524174760676,0.37654835417966287,1.224163145695682
960,134.38404846191406,212.21157836914062,41,39,0.08273752914978572,0.5568047940169183,0.10159414473239159,-0.625473662682681,1.0038384288566704,0.5972044797810843
1024,135.39414978027344,212.30532836914062,40,38,0.19804104864057434,0.4351631718549044,0.04011396705730885,-0.5739876668667954,-0.45392461243289683,0.650934564881261
1088,130.60374450683594,212.18348693847656,47,42,0.1827081570590393,0.29266733127530997,0.02257340371723393,-0.28098052392644063,-0.3602551801883407,0.7329879576541579
1152,139.20301818847656,212.4174041748047,43,37,0.058286168384954214,0.5474803724265385,0.0806266610865074,-0.6453453088773369,-0.8570950201242591,0.5971937247161405
1216,145.4036865234375,211.99217224121094,41,38,0.3902168023039037,1.054658112990853,0.19774662078844207,1.654106560073803,-1.0955345018573617,2.1836827265454275
1280,135.70758056640625,211.35467529296875,40,39,0.33347233681001215,0.503803259813981,0.08733655832687404,-0.8078759930186367,-0.6158578874611329,0.39845582259247647
1344,139.79940795898438,211.8899688720703,45,41,0.5833608647137827,0.7680929119485937,0.11265117620836929,1.0850613882548688,-1.4158530974185164,0.5868108177672092
1408,138.68785095214844,211.09002685546875,39,36,0.16587240607530848,0.5651316924140464,0.07307596457821608,-0.9085486033779107,-1.1095013888362912,0.09076190803992283
