particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,fit_npts,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape,T,eta_cP,kb_i,r_star_um,free
0,150,0.1320880277616095,0.0011266140953858,-0.0684480841261635,1.123508906817043,30,13.063376225968527,1.8786441350565344,0.0818173497232345,0.0080348073774768,0.0334639086344436,0.1839389864134135,0.8333333333333334,416.58497739204574,120,30.3,0.7921439813809015,1.2210292980652105e-23,1.4134024195882957,False
1,150,0.3509768362360542,0.0037176011482242,0.0437825742501299,1.0702416638130738,30,11.855341340790511,1.7049166382190837,0.0799946328749278,0.052778154389097,0.0683775528638693,0.3021151462267651,0.9375,121.84863419933744,120,30.3,0.7921439813809015,2.944419681143257e-23,1.4134024195882957,False
2,150,0.0746185498444499,0.0009266154319838,0.0004408396799831,0.9984972384917428,30,13.003189439106205,1.8699886732378632,0.004829221538373,0.0120540547724852,0.0121203724717402,0.1730633030504572,1.0,92.20261391199452,120,30.3,0.7921439813809015,6.866001415979233e-24,1.4134024195882957,False
3,150,0.2021338570576045,0.0049546999019198,-0.2216615843049573,1.1950967085816957,30,9.68671284444057,1.3930461741589983,0.0066767680440966,0.0089752557667424,0.0101128822985271,0.1145219518768084,0.9583333333333334,106.61377719831393,120,30.3,0.7921439813809015,1.385551532733916e-23,1.4134024195882957,True
4,150,0.417779977530578,0.0055497607988757,-0.3741804655643855,1.2701005807726782,30,13.011065168195683,1.8711212818382208,0.1837267726970776,0.0314521670993297,0.0407217101237023,0.2134544416736656,0.9375,193.22068500433187,120,30.3,0.7921439813809015,3.846517110776874e-23,1.4134024195882957,False
5,150,0.3328431106559986,0.0046149178718416,-0.0669806012555136,1.1344663101722738,30,18.205271076488096,2.618100033509753,0.197485589097187,0.0520997123071873,0.0808934128619603,0.3331663511435043,0.9166666666666666,30.765558473176423,120,30.3,0.7921439813809015,4.287892773290217e-23,1.4134024195882957,False
6,150,0.0522386212498131,0.0029331663373921,0.159886931710425,0.7371214853455994,30,11.642024935025956,1.6742396059060825,0.0044546359228572,0.0074895761866006,0.0084386330670415,0.1226784987265224,0.9791666666666666,171.45235720981822,120,30.3,0.7921439813809015,4.303555671536609e-24,1.4134024195882957,False
9,150,0.1336879431815823,0.002682712785484,0.0060065240240519,1.0212799594933537,30,10.167389092825111,1.4621722254391794,0.0046344441935495,0.0106413924393701,0.0225103709886264,0.186929963148511,0.875,113.61427104936948,120,30.3,0.7921439813809015,9.618533895220101e-24,1.4134024195882957,False
10,150,0.2595863143371796,0.003723222011814,0.0897034825038129,1.0263116238315118,30,12.45682030663806,1.7914153282976195,0.0892115308660282,0.0416615463185478,0.0519432166854171,0.2656141331557664,0.9375,163.95175853060908,120,30.3,0.7921439813809015,2.2882116178951874e-23,1.4134024195882957,False
16,150,0.2398197767819205,0.0026517589998822,0.0814687235681556,0.989877438375074,30,8.634080970588059,1.241667184380269,0.1967306707728389,0.029572608754961,0.0371291421084706,0.2377289729794361,0.9583333333333334,344.1006108621491,120,30.3,0.7921439813809015,1.465238447576373e-23,1.4134024195882957,True
19,150,0.2406369310656929,0.0062280182807925,0.1911246287239282,0.9652802999058512,30,11.26821300546873,1.620481712316458,0.1511460063289666,0.0581578978652823,0.0755984930940821,0.3249250101654204,0.9583333333333334,251.2020140585929,120,30.3,0.7921439813809015,1.9187770818477796e-23,1.4134024195882957,False
26,150,0.218648973202178,0.0049484281008175,0.034876353296195,0.9094330485401048,30,11.608987919919748,1.6694885527636587,0.1790871723460793,0.0430089495080254,0.0557049832134913,0.2627094612007807,0.9375,106.61377719831393,120,30.3,0.7921439813809015,1.7961764411776546e-23,1.4134024195882957,False
20,150,0.4582583563777221,0.0056582021113029,0.0290823902879149,1.0857806911130954,30,10.1554762455748,1.4604590388761118,0.1994258732631296,0.0690054178366318,0.0929610973474735,0.3237267808528042,0.9375,80.42667171724824,120,30.3,0.7921439813809015,3.293198296759615e-23,1.4134024195882957,False
24,150,0.108248752961488,0.0064248175309533,0.1967407591360302,0.9456007495296852,30,9.64975174765488,1.387730798830248,0.0089786013901561,0.011184834314523,0.0590510164241435,0.2105169280412816,0.7708333333333334,168.80401730290828,120,30.3,0.7921439813809015,7.39173241868034e-24,1.4134024195882957,True
28,150,0.1388752822024094,0.004604351690767,0.1068768051117246,0.9133098588834212,30,8.42459143470132,1.2115404942243968,0.1282455821847454,0.0369731959101092,0.0392508523604047,0.29849811770538,1.0,60.20689880914003,120,30.3,0.7921439813809015,8.279059370750847e-24,1.4134024195882957,True
181,62,0.0557850346625123,0.0093130894747876,0.275843107406407,0.792073362577733,30,9.90970376044161,1.425114497789108,0.0795157178049865,0.0241281878344377,0.0436352511346881,0.2926153087531516,0.875,228.1411685058197,49,30.3,0.7921439813809015,3.911880446521771e-24,1.4134024195882957,False
