particle,r_px_manual,r_um_manual
33,5.04,0.7247
28,7.44,1.0699
16,7.14,1.0267
24,7.14,1.027
3,7.18,1.033
181,7.41,1.0656
9,7.67,1.1026
19,6.33,0.9108
15,7.39,1.0633
26,7.05,1.0141
6,7.14,1.0274
1,6.88,0.9894
10,7.35,1.0568
2,7.0,1.0068
4,8.02,1.1539
0,8.06,1.1598
5,7.68,1.1049
