particle,n_frames,D_um2_s,D_err,intercept_um2,alpha,r2_msd,fit_npts,v_dx_um_s,v_dy_um_s,v_drift_um_s,v_drift_se,drift_z,drift_flag,lin_flag
0,150,0.13208802776160958,0.0011266140953858745,-0.06844808412616353,1.123508906817043,0.9979671855350241,30,-0.03259887343760133,-0.07995811686780195,0.08634805731715002,0.1284019783950956,0.6724822965846774,False,False
1,150,0.3509768362360542,0.003717601148224218,0.04378257425012993,1.0702416638130738,0.996868412551555,30,-0.1747696465508109,0.12218293180902236,0.2132442219168988,0.2093048128928757,1.0188213972224296,False,False
2,150,0.07461854984444993,0.000926615431983808,0.00044083967998316976,0.9984972384917429,0.9957007538055073,30,0.16560999208567262,-0.07155243036174284,0.1804062631099281,0.09650801649795555,1.8693396637547708,False,False
3,150,0.2021338570576045,0.0049546999019198235,-0.22166158430495736,1.1950967085816957,0.983454912462909,30,-0.07567041642358119,-0.059154995226700244,0.09604855741753289,0.15883986857643154,0.6046879683189593,False,False
4,150,0.41777997753057805,0.005549760798875759,-0.3741804655643855,1.2701005807726782,0.9950833332939027,30,0.16672988964082805,0.2978487168775491,0.3413395878670464,0.22835672115075298,1.494764796704653,False,False
5,150,0.3328431106559986,0.004614917871841658,-0.06698060125551364,1.1344663101722738,0.9946460366157132,30,-0.060715250879495246,0.24148689529214318,0.24900253470034914,0.20382609003690694,1.2216421099735666,False,False
6,150,0.05223862124981315,0.0029331663373921876,0.159886931710425,0.7371214853455994,0.9188836281414112,30,-0.0780212345462426,-0.010298974843207333,0.07869804268811784,0.08074875601111418,0.97460377813481,False,True
8,150,0.7774504537748695,0.009717861444694414,-0.6429583360003683,1.2159274247170804,0.9956442975458003,30,0.35606877216438615,-0.11785411414035335,0.37506607781891044,0.3115131240225502,1.2040137281399408,False,False
9,150,0.1336879431815823,0.0026827127854840817,0.0060065240240519575,1.0212799594933537,0.9888505723046966,30,-0.11443040239647226,-0.26959076428235496,0.29287112725388764,0.12917727186201086,2.267203224161113,True,False
10,150,0.2595863143371796,0.003723222011814066,0.08970348250381292,1.0263116238315118,0.9942728586995523,30,-0.07080310454794236,0.010022468383300226,0.07150894689562355,0.18000347263695085,0.39726426300591433,False,False
11,150,0.2577259876628818,0.0017087836591265166,0.014660600702213165,1.0115904149455186,0.9987706330459241,30,-0.2512326482422435,-0.18655611377929202,0.31292335664063653,0.17935731497000662,1.744692468734636,False,False
15,150,0.27218919870804803,0.01662986311733185,0.4180162786777588,1.0138174060112002,0.9053718019187157,30,-0.03655701410066169,-0.2892089122303125,0.29151022313702235,0.18432126020503528,1.5815333663233,False,True
13,150,0.3704856528359052,0.018744500848983138,0.7757133265296935,0.8831333260370252,0.9331193913016669,30,0.07331258188154077,-0.34356380310093104,0.3512987638226371,0.21504318547774817,1.633619605486118,False,True
16,150,0.23981977678192054,0.002651758999882225,0.08146872356815565,0.9898774383750739,0.9965882914333108,30,-0.019951732907708773,-0.33316775534951026,0.3337646249239899,0.17301449310029704,1.9291136767976167,False,False
19,150,0.24063693106569298,0.006228018280792531,0.1911246287239282,0.9652802999058511,0.9815896019920978,30,-0.21764935894828258,-0.02987308051761283,0.21968988231188558,0.1733090044783795,1.2676195502541945,False,False
26,150,0.218648973202178,0.004948428100817571,0.03487635329619508,0.9094330485401048,0.9858611711350144,30,0.08001639794886237,0.04206812176537593,0.09040105535654548,0.16520139435064307,0.5472172660036243,False,False
20,150,0.4582583563777221,0.005658202111302957,0.029082390287914966,1.0857806911130954,0.9957494587325407,30,0.24085673601465568,0.136971171136351,0.2770795355238223,0.23916365619041763,1.15853528892039,False,False
24,150,0.10824875296148802,0.006424817530953373,0.1967407591360302,0.9456007495296853,0.910219887819582,30,-0.007654537625309488,-0.008099195144688804,0.011144007728327781,0.11623888580998762,0.09587159796545686,False,True
23,150,0.19792010575106125,0.009136213419664928,0.2543808438068227,0.920539851088732,0.9436955669606397,30,-0.16076468574682248,0.05841431066031571,0.17104828520974555,0.15717553404309823,1.0882627900780242,False,True
33,150,0.26395843857726814,0.005217101976659634,0.050272079824368536,1.003139508075682,0.9891801565475838,30,-0.11583052099157913,-0.08755540732822266,0.14519868782324322,0.1815130117298717,0.799935423028121,False,False
32,150,0.5754993333714119,0.013380008887885195,-0.771969940874609,1.3243339398973735,0.9850906948990183,30,-0.5090536898077729,0.334367393992425,0.6090461503631673,0.2680170359460861,2.2724158119772735,True,False
28,150,0.13887528220240944,0.004604351690767061,0.10687680511172461,0.9133098588834213,0.9701406865119093,30,-0.09838212908407536,0.023914212990460575,0.10124689084642935,0.13165957980985452,0.7690051190551588,False,False
27,150,0.4741604032780664,0.003046824286859575,-0.14807710629661236,1.1151925991778393,0.9988452167498475,30,0.21718889108764808,0.04449963346726224,0.22170077083899134,0.2432778837583532,0.9113067222304749,False,False
35,150,0.4570624133031973,0.005747903855011909,-0.008201644455957545,1.06331240686944,0.9955913348644564,30,-0.04291941142622046,-0.0005509730586267279,0.042922947807490064,0.23885137276676796,0.17970567767849166,False,False
34,150,1.01275515318459,0.022056479232025424,-1.1436043449551898,1.2181217243870326,0.9868933497902858,30,-0.5753787814786921,-0.47110203707314374,0.7436382665721085,0.3555430701868612,2.0915560699334623,True,False
