particle,r_px_med,r_um,R_cv,resid_med,ring_cv_med,ecc_med,inlier_med,nn_px_med,n_shape
1649,7.727146972701287,1.111241006144172,0.008302480639941517,0.014714348546793389,0.031968103027198144,0.19494259601802766,0.8333333333333333,254.59241200278348,6
1791,8.017293655093232,1.1529670005389576,0.057212074539822876,0.012294687435890605,0.016118736301585935,0.1749230039317015,0.9375,201.0029037812241,33
57,9.216912386629286,1.3254841703211575,0.22197925381247507,0.06510971916324726,0.08302777674764567,0.364883083696613,0.9166666666666666,247.73148458959065,41
11,9.596553267363072,1.3800803253794833,0.18958976252685455,0.010947949449377197,0.017044024583992026,0.17927148849434843,0.9166666666666666,95.27578008405342,120
1917,10.055942255961133,1.4461450558297704,0.03906660157083419,0.012957214425580135,0.014899594962518586,0.18004837024423503,0.9583333333333334,175.54429882641858,47
1605,10.54956688837832,1.5171332142176863,0.11512897529636382,0.05994331225447972,0.08035104094569061,0.30058639508105617,0.9166666666666666,57.04346689895604,62
1305,11.315840473592559,1.6273310185073457,0.010241770891014412,0.021805811062271557,0.03773123740984499,0.26755849018700006,0.875,145.1746644388045,5
1561,11.338119674006478,1.6305349903188715,0.02052263703599136,0.024109175602825588,0.02787377371479063,0.253145607680086,0.9479166666666666,134.89838385538843,10
26,12.255263315628564,1.7624294174205437,0.1239075592581063,0.049507717849091845,0.06989881103392998,0.32893344512449485,0.9375,118.3607341200613,120
758,12.563123107597896,1.8067027341036532,0.2272291377760133,0.05792581007377835,0.07940455791446684,0.32670081046755545,0.9166666666666666,128.29620204662402,93
20,13.338924247604826,1.91827069604805,0.20988073773601712,0.05537263691802633,0.08283742488579582,0.297742541609224,0.8958333333333334,112.29447205295664,96
1,13.422113546427674,1.9302341491117638,0.12671020054217955,0.01667670691631857,0.01998483475048455,0.2186904930980717,1.0,95.27578008405342,120
330,13.645650373434577,1.9623809802036265,0.2001928130854685,0.06262327712991615,0.09029851286931168,0.35301850827443426,0.9166666666666666,113.42921324181825,109
0,14.694542985220838,2.113222226704609,0.04435218146376965,0.006081515417395929,0.06289793807270878,0.2572257402732352,0.7708333333333334,16.50198297488184,6
