particle,r_px_manual,r_um_manual
2612,7.58,1.0895
299,7.3,1.0503
12,7.59,1.0914
5,8.22,1.1815
2,8.14,1.1712
2417,7.18,1.0324
10,6.79,0.9768
1,7.84,1.1279
9,7.31,1.0509
4,7.87,1.1316
1314,7.67,1.1028
