particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,1026.2569580078125,464.1456298828125,1026.2569580078125,464.1456298828125,40.803085,16.0,1,22.76821
1,0,1465.9725341796875,1056.4063720703125,1465.9725341796875,1056.4063720703125,30.53946,10.0,1,30.332298
2,0,1165.9703369140625,369.59246826171875,1165.9703369140625,369.59246826171875,15.7352915,8.0,1,21.339151
3,0,828.2525634765625,822.3859252929688,828.2525634765625,822.3859252929688,6.8467364,14.0,-1,24.659359
4,0,1254.1962890625,330.1629943847656,1254.1962890625,330.1629943847656,6.123012,14.0,-1,21.382433
5,0,1360.008056640625,415.0055847167969,1360.008056640625,415.0055847167969,5.985291,8.0,1,18.991707
6,0,925.1798706054688,177.82582092285156,925.1798706054688,177.82582092285156,5.8929105,10.0,1,21.654839
7,0,1235.8697509765625,133.46392822265625,1235.8697509765625,133.46392822265625,5.69391,6.0,1,6.8309917
8,0,369.73480224609375,744.167724609375,369.73480224609375,744.167724609375,5.28385,14.0,-1,56.428528
9,0,1260.87890625,655.7763061523438,1260.87890625,655.7763061523438,5.2406507,14.0,-1,18.775566
10,0,1291.98974609375,1040.404541015625,1291.98974609375,1040.404541015625,4.8142514,8.0,-1,34.4247
11,0,356.0301513671875,728.215087890625,356.0301513671875,728.215087890625,4.5022426,14.0,-1,53.033794
12,0,1080.4439697265625,624.5821533203125,1080.4439697265625,624.5821533203125,4.311261,6.0,1,10.151762
13,0,598.904296875,944.6582641601562,598.904296875,944.6582641601562,4.1967545,12.0,-1,21.535858
14,0,31.23401641845703,553.9783935546875,31.23401641845703,553.9783935546875,4.130044,16.0,-1,47.796852
15,0,489.3963623046875,106.15315246582031,489.3963623046875,106.15315246582031,3.9136972,14.0,1,2.4989953
16,0,301.7102966308594,1030.1650390625,301.7102966308594,1030.1650390625,3.710021,12.0,-1,22.70589
17,0,1187.7071533203125,117.86201477050781,1187.7071533203125,117.86201477050781,3.586858,6.0,1,9.2856045
18,0,536.328369140625,921.7040405273438,536.328369140625,921.7040405273438,3.2527897,10.0,-1,28.435665
19,0,102.2408676147461,333.051025390625,102.2408676147461,333.051025390625,2.765481,20.0,-1,15.465652
20,0,682.1099243164062,629.1444702148438,682.1099243164062,629.1444702148438,2.7353535,22.0,-1,7.5779905
21,0,289.2057800292969,385.2264099121094,289.2057800292969,385.2264099121094,2.698055,12.0,-1,1.768964
22,0,933.5642700195312,163.89248657226562,933.5642700195312,163.89248657226562,2.5175793,8.0,1,24.80838
23,0,682.5165405273438,295.4999084472656,682.5165405273438,295.4999084472656,2.477484,28.0,-1,3.059033
24,0,184.6122589111328,273.099609375,184.6122589111328,273.099609375,2.4450767,16.0,-1,14.008127
25,0,537.3790283203125,39.632633209228516,537.3790283203125,39.632633209228516,2.4196317,10.0,-1,1.1650214
26,0,690.346435546875,1079.9486083984375,690.346435546875,1079.9486083984375,2.232169,12.0,-1,19.178425
27,0,21.7045955657959,528.0955200195312,21.7045955657959,528.0955200195312,2.0667174,14.0,-1,22.178322
28,0,1215.4539794921875,503.37725830078125,1215.4539794921875,503.37725830078125,1.9734174,14.0,-1,6.378604
29,0,34.03232955932617,594.190673828125,34.03232955932617,594.190673828125,1.955294,18.0,-1,34.19684
30,0,1252.4876708984375,1088.31689453125,1252.4876708984375,1088.31689453125,1.9037747,8.0,1,26.152866
31,0,135.15061950683594,845.631103515625,135.15061950683594,845.631103515625,1.7004045,14.0,-1,29.471085
32,0,1235.7371826171875,1072.564453125,1235.7371826171875,1072.564453125,1.6427757,28.0,-1,16.699766
33,0,461.49853515625,111.1129150390625,461.49853515625,111.1129150390625,1.5052158,28.0,-1,30.501019
34,0,1055.509521484375,119.96229553222656,1055.509521484375,119.96229553222656,1.248369,8.0,1,15.837692
35,0,124.37689208984375,855.6826782226562,124.37689208984375,855.6826782226562,1.2478642,14.0,-1,28.471313
36,0,16.07538414001465,558.298828125,16.07538414001465,558.298828125,1.1442565,12.0,1,19.992668
38,0,1565.9427490234375,1155.588134765625,1565.9427490234375,1155.588134765625,1.0350704,10.0,-1,14.182842
39,0,458.82171630859375,85.54966735839844,458.82171630859375,85.54966735839844,0.9701634,12.0,-1,29.053669
40,0,1270.6419677734375,1061.854736328125,1270.6419677734375,1061.854736328125,0.91712195,8.0,1,9.13318
41,0,1622.77734375,172.53521728515625,1622.77734375,172.53521728515625,0.8769526,18.0,-1,4.9819255
42,0,353.2009582519531,741.2198486328125,353.2009582519531,741.2198486328125,0.86432654,12.0,1,23.969662
43,0,1261.5845947265625,1074.48193359375,1261.5845947265625,1074.48193359375,0.7184308,6.0,1,9.439191
44,0,736.0010375976562,979.01953125,736.0010375976562,979.01953125,0.64564216,8.0,-1,12.626636
45,0,391.8369445800781,171.18255615234375,391.8369445800781,171.18255615234375,0.6185624,8.0,-1,19.523054
46,0,477.6113586425781,103.84918975830078,477.6113586425781,103.84918975830078,0.5858725,28.0,-1,30.602198
47,0,1219.9969482421875,1077.5234375,1219.9969482421875,1077.5234375,0.58363837,28.0,-1,16.774921
48,0,118.63105773925781,843.5147705078125,118.63105773925781,843.5147705078125,0.5810724,14.0,1,16.755947
50,0,138.89186096191406,860.4261474609375,138.89186096191406,860.4261474609375,0.48500022,14.0,1,14.835852
52,0,1233.4990234375,1062.725341796875,1233.4990234375,1062.725341796875,0.37355888,10.0,1,12.042968
56,0,15.549652099609375,569.0186157226562,15.549652099609375,569.0186157226562,0.29151168,12.0,-1,11.601551
1,1,1465.88037109375,1056.1451873779297,1465.9866943359375,1056.271484375,30.87458,10.0,1,31.038082
0,1,1025.93408203125,462.84632873535156,1026.0404052734375,462.9726257324219,29.38826,16.0,1,24.044777
2,1,1165.0753173828125,370.0830841064453,1165.181640625,370.2093811035156,11.456188,8.0,1,22.700848
6,1,924.3311767578125,177.56585693359375,924.4375,177.69215393066406,10.384135,10.0,1,23.522322
9,1,1262.16552734375,653.9584197998047,1262.2718505859375,654.084716796875,7.951039,14.0,-1,18.403067
8,1,369.41302490234375,743.7897186279297,369.51934814453125,743.916015625,5.832313,16.0,-1,55.8191
7,1,1235.7274169921875,131.92257690429688,1235.833740234375,132.0488739013672,5.6031165,6.0,1,6.390967
10,1,1291.731201171875,1041.7131805419922,1291.8375244140625,1041.8394775390625,5.3846955,10.0,-1,33.855366
4,1,1253.8629150390625,331.04295349121094,1253.96923828125,331.16925048828125,5.311731,14.0,-1,21.304884
5,1,1361.564697265625,414.9382781982422,1361.6710205078125,415.0645751953125,5.1976314,8.0,1,19.446234
12,1,1080.404052734375,623.8038177490234,1080.5103759765625,623.9301147460938,5.1517644,6.0,1,10.674251
3,1,828.5536499023438,821.7236175537109,828.6599731445312,821.8499145507812,4.959286,14.0,-1,18.260815
14,1,32.201072692871094,554.1458587646484,32.307395935058594,554.2721557617188,4.5104947,16.0,-1,47.491962
20,1,679.2166748046875,631.5302581787109,679.322998046875,631.6565551757812,4.36733,22.0,-1,7.8508854
13,1,600.0971069335938,945.5505218505859,600.2034301757812,945.6768188476562,3.9279146,14.0,-1,21.730366
18,1,538.0339965820312,922.0625457763672,538.1403198242188,922.1888427734375,3.7864854,10.0,-1,29.167393
16,1,301.7672119140625,1030.0402069091797,301.87353515625,1030.16650390625,3.6375847,12.0,-1,20.873844
21,1,287.50506591796875,383.7162628173828,287.61138916015625,383.8425598144531,3.5084503,12.0,-1,1.5032722
17,1,1187.4468994140625,115.86982727050781,1187.55322265625,115.99612426757812,3.3534153,6.0,1,11.246252
15,1,490.40191650390625,105.36609649658203,490.50823974609375,105.49239349365234,3.3358266,14.0,1,3.350091
11,1,354.5467529296875,728.8046112060547,354.653076171875,728.930908203125,3.2178304,14.0,-1,52.161396
19,1,102.26239776611328,332.9965057373047,102.36872100830078,333.122802734375,2.9286253,20.0,-1,16.156212
22,1,934.0631103515625,163.8019561767578,934.16943359375,163.92825317382812,2.9181073,8.0,1,26.177008
24,1,186.86029052734375,274.07215881347656,186.96661376953125,274.1984558105469,2.6555874,16.0,-1,15.145906
26,1,692.1099853515625,1079.1263885498047,692.21630859375,1079.252685546875,2.6336994,12.0,-1,20.287973
29,1,34.03232955932617,594.6974334716797,34.13865280151367,594.82373046875,2.2222593,18.0,-1,33.221947
25,1,536.7886962890625,40.95212936401367,536.89501953125,41.078426361083984,2.2085178,10.0,-1,1.9652449
27,1,22.77386474609375,528.4227142333984,22.88018798828125,528.5490112304688,2.0608056,16.0,-1,21.767809
23,1,679.45703125,296.02378845214844,679.5633544921875,296.15008544921875,1.9176024,28.0,-1,6.2520127
31,1,133.90463256835938,845.3840179443359,134.01095581054688,845.5103149414062,1.8166656,14.0,-1,31.216402
30,1,1253.27783203125,1087.1697235107422,1253.3841552734375,1087.2960205078125,1.7159895,8.0,1,24.713976
33,1,462.73175048828125,111.28239440917969,462.83807373046875,111.40869140625,1.6482482,28.0,-1,32.45824
28,1,1212.3658447265625,505.5563507080078,1212.47216796875,505.6826477050781,1.429803,16.0,-1,6.3250303
34,1,1056.296630859375,121.39238739013672,1056.4029541015625,121.51868438720703,1.2718612,8.0,1,16.104235
40,1,1271.39697265625,1060.0176239013672,1271.5032958984375,1060.1439208984375,1.2658057,6.0,1,13.537427
36,1,17.859216690063477,559.3464813232422,17.965539932250977,559.4727783203125,1.1584061,12.0,1,20.483124
32,1,1236.7479248046875,1071.7744598388672,1236.854248046875,1071.9007568359375,1.1426507,10.0,-1,16.143696
38,1,1566.83740234375,1156.9299774169922,1566.9437255859375,1157.0562744140625,1.1144475,10.0,-1,10.504935
35,1,122.299560546875,855.0838470458984,122.4058837890625,855.2101440429688,1.0798794,14.0,-1,27.936558
39,1,458.6677551269531,85.54966735839844,458.7740783691406,85.67596435546875,1.0759795,14.0,-1,28.311153
41,1,1619.6492919921875,175.95184326171875,1619.755615234375,176.07814025878906,0.95792055,18.0,-1,5.245548
