particle,frame,x,y,x_raw,y_raw,sym,r_est,polarity,contrast
0,0,370.931884765625,1037.7928466796875,370.931884765625,1037.7928466796875,240.73419,10.0,1,69.27408
1,0,794.15625,477.5815734863281,794.15625,477.5815734863281,150.09601,10.0,1,66.88751
2,0,600.0347290039062,1157.1453857421875,600.0347290039062,1157.1453857421875,140.37059,11.0,1,70.919205
3,0,543.0540161132812,684.5363159179688,543.0540161132812,684.5363159179688,134.28613,9.0,1,62.498314
4,0,542.1277465820312,853.8170166015625,542.1277465820312,853.8170166015625,100.45713,10.0,1,69.726395
5,0,899.8746948242188,213.68234252929688,899.8746948242188,213.68234252929688,63.450592,8.0,1,70.23976
6,0,943.673095703125,636.982666015625,943.673095703125,636.982666015625,61.310543,8.0,1,66.73315
7,0,1333.9378662109375,284.8045654296875,1333.9378662109375,284.8045654296875,56.137875,7.0,1,68.35318
8,0,686.219970703125,147.1764678955078,686.219970703125,147.1764678955078,28.513489,9.0,1,67.07628
9,0,1130.407470703125,720.2765502929688,1130.407470703125,720.2765502929688,28.316223,8.0,1,62.368034
10,0,613.9661865234375,197.0028076171875,613.9661865234375,197.0028076171875,20.841228,10.0,1,38.829967
11,0,720.0579833984375,929.7836303710938,720.0579833984375,929.7836303710938,19.834782,10.0,1,82.82613
12,0,1535.628662109375,675.03759765625,1535.628662109375,675.03759765625,18.10286,19.0,1,89.512184
13,0,635.8650512695312,876.3096313476562,635.8650512695312,876.3096313476562,17.961046,11.0,-1,8.188715
14,0,1080.6026611328125,368.8735656738281,1080.6026611328125,368.8735656738281,17.64379,11.0,-1,12.497487
15,0,1197.63623046875,837.6822509765625,1197.63623046875,837.6822509765625,15.603723,8.0,1,67.98728
16,0,744.091064453125,287.7304992675781,744.091064453125,287.7304992675781,14.139586,13.0,1,105.3613
18,0,582.037109375,180.3476104736328,582.037109375,180.3476104736328,13.593276,7.0,1,8.373847
19,0,1532.886962890625,696.8707885742188,1532.886962890625,696.8707885742188,12.994107,11.0,1,18.29301
20,0,527.854736328125,1068.8638916015625,527.854736328125,1068.8638916015625,12.930612,19.0,1,88.598656
21,0,332.5213623046875,243.05650329589844,332.5213623046875,243.05650329589844,12.445939,7.0,1,63.97168
22,0,46.159019470214844,621.052734375,46.159019470214844,621.052734375,11.752148,7.0,1,54.21549
23,0,1446.5032958984375,1026.000244140625,1446.5032958984375,1026.000244140625,10.537954,8.0,1,45.80547
24,0,1151.6461181640625,92.0003662109375,1151.6461181640625,92.0003662109375,10.23309,6.0,1,34.89646
25,0,429.223876953125,10.038737297058105,429.223876953125,10.038737297058105,8.550804,8.0,1,76.080345
26,0,777.0077514648438,293.6661071777344,777.0077514648438,293.6661071777344,8.177098,20.0,1,41.2929
27,0,595.9415283203125,262.8348693847656,595.9415283203125,262.8348693847656,8.149316,9.0,-1,16.657215
28,0,386.1441650390625,227.94601440429688,386.1441650390625,227.94601440429688,7.9990306,8.0,-1,51.609043
29,0,235.0337677001953,1059.20849609375,235.0337677001953,1059.20849609375,7.555856,7.0,1,48.943283
30,0,235.42071533203125,674.6905517578125,235.42071533203125,674.6905517578125,7.4319224,7.0,1,59.83542
31,0,635.3070068359375,1041.0819091796875,635.3070068359375,1041.0819091796875,7.295445,5.0,1,37.431023
32,0,1209.920166015625,840.8472900390625,1209.920166015625,840.8472900390625,7.246987,8.0,1,74.07603
33,0,609.6904907226562,180.95458984375,609.6904907226562,180.95458984375,6.864212,8.0,1,30.11713
34,0,93.97478485107422,860.3201293945312,93.97478485107422,860.3201293945312,5.8960958,6.0,1,47.91377
35,0,544.176025390625,1049.218017578125,544.176025390625,1049.218017578125,5.8310738,7.0,1,48.88208
36,0,288.0446472167969,1178.9913330078125,288.0446472167969,1178.9913330078125,5.7827106,6.0,1,21.161474
37,0,729.7114868164062,939.2481689453125,729.7114868164062,939.2481689453125,5.3371778,9.0,1,83.888565
38,0,274.6705627441406,1183.744140625,274.6705627441406,1183.744140625,5.2345953,8.0,1,61.04012
39,0,63.70168685913086,146.86280822753906,63.70168685913086,146.86280822753906,5.0303397,6.0,1,48.855587
40,0,714.3378295898438,944.9168701171875,714.3378295898438,944.9168701171875,3.796112,6.0,1,46.962276
41,0,756.83056640625,308.8665771484375,756.83056640625,308.8665771484375,3.2075927,9.0,1,82.73193
42,0,1165.4608154296875,886.866455078125,1165.4608154296875,886.866455078125,3.158968,7.0,-1,27.5284
43,0,197.8790740966797,144.08265686035156,197.8790740966797,144.08265686035156,3.1565917,6.0,1,54.69378
45,0,533.8433837890625,1043.7174072265625,533.8433837890625,1043.7174072265625,3.0025132,6.0,1,24.90923
46,0,1564.992919921875,482.8023681640625,1564.992919921875,482.8023681640625,2.913041,15.0,-1,19.307028
47,0,542.0340576171875,839.1114501953125,542.0340576171875,839.1114501953125,2.6482217,5.0,1,22.392412
48,0,1078.31298828125,573.8299560546875,1078.31298828125,573.8299560546875,2.6425402,5.0,1,29.014568
49,0,725.27685546875,953.7119140625,725.27685546875,953.7119140625,2.6011035,7.0,1,25.337914
51,0,283.573486328125,1193.9837646484375,283.573486328125,1193.9837646484375,2.0243106,6.0,1,49.8842
52,0,37.77505874633789,462.9890441894531,37.77505874633789,462.9890441894531,1.9489826,7.0,1,34.214188
54,0,524.6935424804688,1045.61962890625,524.6935424804688,1045.61962890625,1.774857,20.0,-1,52.772778
55,0,533.6581420898438,1080.0877685546875,533.6581420898438,1080.0877685546875,1.6565052,16.0,-1,40.905136
57,0,227.62799072265625,683.2092895507812,227.62799072265625,683.2092895507812,1.5172125,5.0,1,29.273306
58,0,747.4305419921875,326.7198181152344,747.4305419921875,326.7198181152344,1.510913,22.0,-1,23.975899
59,0,1238.114990234375,1005.7775268554688,1238.114990234375,1005.7775268554688,1.3291736,6.0,1,21.543049
60,0,771.346435546875,335.23150634765625,771.346435546875,335.23150634765625,1.1936939,21.0,1,12.508365
62,0,533.9655151367188,1101.2176513671875,533.9655151367188,1101.2176513671875,1.1368153,18.0,1,24.367878
