frame,dx,dy
0,0.0,0.0
1,-0.0400390625,0.1524810791015625
2,0.111083984375,0.37603759765625
3,0.2158203125,0.63946533203125
4,0.1475830078125,0.7600021362304688
5,0.523284912109375,0.5382919311523438
6,0.5152587890625,0.5427627563476562
7,0.826904296875,0.42105865478515625
8,0.95147705078125,0.35904693603515625
9,0.8021240234375,0.29680633544921875
10,0.55352783203125,0.21297454833984375
11,0.422607421875,0.1824493408203125
12,0.53082275390625,0.06615543365478516
13,0.5418701171875,-0.13196468353271484
14,0.43389892578125,-0.23670101165771484
15,0.377410888671875,-0.34490108489990234
16,0.3792572021484375,-0.17632198333740234
17,0.3521270751953125,-0.43782711029052734
18,0.5129241943359375,-0.6080541610717773
19,0.7800750732421875,-0.5498266220092773
20,0.8559417724609375,-0.6848058700561523
21,1.013326644897461,-0.7373113632202148
22,1.128194808959961,-0.8476629257202148
23,1.139150619506836,-0.8297567367553711
24,1.097372055053711,-0.7899312973022461
25,1.197957992553711,-0.6440572738647461
26,1.309408187866211,-0.6016683578491211
27,1.260763168334961,-0.6308431625366211
28,1.156515121459961,-0.7993612289428711
29,1.018301010131836,-0.8304281234741211
30,1.089590072631836,-0.8117513656616211
31,1.252553939819336,-0.7045431137084961
32,1.358266830444336,-0.7337484359741211
33,1.685232162475586,-0.6116781234741211
34,1.7970333099365234,-0.6256246566772461
35,1.7442684173583984,-0.6824331283569336
36,1.641042709350586,-0.7717733383178711
37,1.520254135131836,-0.7745199203491211
38,1.3658504486083984,-0.7651510238647461
39,1.4267024993896484,-0.5889425277709961
40,1.4390621185302734,-0.4170370101928711
41,1.4775142669677734,-0.4742269515991211
42,1.4748897552490234,-0.4296712875366211
43,1.3464717864990234,-0.535944938659668
44,1.3584346771240234,-0.29152965545654297
45,1.2490062713623047,-0.18905162811279297
46,1.2985668182373047,-0.0013074874877929688
47,1.2956981658935547,-0.05996227264404297
48,1.2107372283935547,-0.21718883514404297
49,1.3351573944091797,-0.24843883514404297
50,1.3488903045654297,-0.10293102264404297
51,1.2661876678466797,-0.11947154998779297
52,1.3386058807373047,-0.26250743865966797
53,1.2624340057373047,-0.36507701873779297
54,1.0838451385498047,-0.24486827850341797
55,1.1962718963623047,-0.10763072967529297
56,0.9540843963623047,-0.22408580780029297
57,0.9918956756591797,-0.25031566619873047
58,0.9188365936279297,-0.36341381072998047
59,0.6057872772216797,-0.42737865447998047
60,0.3889293670654297,-0.27765941619873047
61,0.4459972381591797,-0.43451976776123047
62,0.1511363983154297,-0.42896556854248047
63,-0.05375862121582031,-0.36951732635498047
64,0.2914562225341797,-0.06043529510498047
65,0.4454174041748047,-0.09046459197998047
66,0.1741771697998047,-0.06011486053466797
67,0.12260246276855469,-0.39544200897216797
68,0.1282787322998047,-0.20379161834716797
69,0.03910636901855469,-0.623469352722168
70,-0.1645984649658203,-0.7692594528198242
71,-0.1812610626220703,-0.7668180465698242
72,-0.2470569610595703,-0.8470792770385742
73,-0.3223743438720703,-0.8537015914916992
74,-0.4631214141845703,-0.5618162155151367
75,-0.5613269805908203,-0.5662717819213867
76,-0.5917224884033203,-0.7052488327026367
77,-0.6976795196533203,-0.8608884811401367
78,-0.5685291290283203,-0.7242307662963867
79,-0.4247913360595703,-0.5060606002807617
80,-0.4592456817626953,-0.6621885299682617
81,-0.5307788848876953,-0.7373838424682617
82,-0.5648632049560547,-0.7508726119995117
83,-0.5987987518310547,-0.6752958297729492
84,-0.7265453338623047,-0.7482938766479492
85,-0.6510448455810547,-0.5121831893920898
86,-0.7191600799560547,-0.4592123031616211
87,-0.6609630584716797,-0.3745565414428711
88,-0.7917003631591797,-0.4302663803100586
89,-0.8578929901123047,-0.4050283432006836
90,-1.2829418182373047,-0.1759634017944336
91,-1.2512035369873047,-0.3062734603881836
92,-1.4748363494873047,-0.2648305892944336
93,-1.5799388885498047,-0.2595815658569336
94,-1.7109203338623047,-0.2123403549194336
95,-1.8279247283935547,-0.39203739166259766
96,-1.8181591033935547,-0.16797733306884766
97,-1.7261629104614258,0.09743404388427734
98,-1.5933809280395508,0.2516498565673828
99,-1.4275789260864258,0.2773609161376953
100,-1.1930818557739258,0.2484302520751953
101,-1.0851106643676758,0.2876148223876953
102,-0.8879671096801758,0.3605213165283203
103,-0.7685823440551758,0.5003528594970703
104,-0.7920198440551758,0.5368289947509766
105,-0.7554903030395508,0.6631107330322266
106,-0.8006868362426758,0.7179508209228516
107,-1.0630159378051758,0.6488666534423828
108,-1.1597566604614258,0.6670551300048828
109,-1.0166292190551758,0.9222278594970703
110,-1.0277681350708008,0.5440769195556641
111,-1.1828584671020508,0.5916233062744141
112,-1.0694093704223633,0.6315784454345703
113,-0.9229249954223633,0.5970325469970703
114,-1.0596437454223633,0.6891345977783203
115,-1.1839113235473633,0.6930408477783203
116,-1.2108888626098633,0.9597492218017578
117,-1.1810426712036133,0.9838733673095703
118,-1.2455263137817383,1.0352802276611328
119,-1.2518587112426758,1.055612564086914
120,-1.4497957229614258,0.9726657867431641
121,-1.4812135696411133,0.7738437652587891
122,-1.5546083450317383,0.8763523101806641
123,-1.5926027297973633,0.8385009765625
124,-1.4698610305786133,0.794403076171875
125,-1.3632936477661133,0.670745849609375
126,-1.4543581008911133,0.750335693359375
127,-1.2273530960083008,0.758544921875
128,-1.1648683547973633,0.90545654296875
129,-1.160721778869629,0.840057373046875
130,-1.076157569885254,1.0632305145263672
131,-1.163987159729004,1.1889324188232422
132,-1.413498878479004,1.1972332000732422
