t_s,M_px,Rg_px,R95seed_px,Rmaxseed_px,circ_cx_px,circ_cy_px,circ_R_px,edge,n_comp
0.0,10.0,2.0396078054371136,10.597392588957392,11.045361017187261,430.5,321.5,2.9155757427215576,0.0,1.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,71.0,13.532609560742792,35.092716213208405,37.12142238654117,413.5247802734375,326.5082702636719,20.53076934814453,0.0,4.0
2.5,47.0,8.62256191716775,52.33927706158808,53.03772242470448,430.5,310.0,41.17351150512695,0.0,2.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.5,1755.0,42.7902360467796,94.09941296227173,100.62305898749054,419.0671081542969,287.9090576171875,57.346282958984375,0.0,2.0
4.0,3370.0,44.14520095998602,93.71577387308501,102.42070103255493,417.96429443359375,288.6318664550781,59.84421157836914,0.0,2.0
4.5,5254.0,48.16916777397927,92.58156984426397,105.53672346628922,408.1169128417969,295.8363342285156,71.0147933959961,0.0,1.0
5.0,6501.0,51.27906998372424,96.33794683301072,109.88175462741756,402.0,295.5,78.9447021484375,0.0,1.0
5.5,7952.0,54.23979435543158,102.11439637286968,115.84903970253703,396.0,293.5,84.624267578125,0.0,1.0
6.0,9087.0,56.340332910468454,105.87444324416451,122.18837915284743,392.8387145996094,290.3870849609375,88.3143081665039,0.0,1.0
6.5,10105.0,58.28456172678314,109.17875251164945,130.39171752837677,390.5,290.0,91.93077850341797,0.0,1.0
7.0,10955.0,59.65122328488721,112.01160646675383,130.98091464026353,390.0,288.5,93.80974578857422,0.0,1.0
7.5,11840.0,61.28001021724242,114.7606188532375,135.34031180694095,388.0,284.5,97.24334716796875,0.0,1.0
8.0,12599.0,62.48681128829879,116.04180245989943,135.20355024924456,389.0,289.0,99.5390396118164,0.0,1.0
8.5,13348.0,63.65485140483208,118.00423721205946,139.51702405083043,389.0,292.0,101.92163848876953,0.0,1.0
9.0,14182.0,64.50263820943604,119.60351165413162,142.59382875847047,387.5,290.5,103.50130462646484,0.0,1.0
9.5,14826.0,65.19754775472524,120.3536455617361,142.59382875847047,389.0,294.5,105.1488037109375,0.0,1.0
10.0,15510.0,66.00035520836354,121.40510669997066,144.34680460612904,388.0,294.0,107.20551300048828,0.0,1.0
10.5,16220.0,66.82566053448079,123.06502346320826,146.03081866510234,387.54803466796875,294.1499328613281,108.63355255126953,0.0,1.0
11.0,16919.0,67.6629225526242,124.0366881149992,147.41099009232656,388.5,297.0,110.24641418457031,0.0,1.0
11.5,17678.0,68.7445221661261,126.14673994994877,150.02999700059985,388.0,298.5,112.5000991821289,0.0,1.0
12.0,18392.0,69.58413836253942,127.1416532848303,151.40013210033868,389.0,300.0,113.32264709472656,0.0,1.0
12.5,19051.0,70.47663613686034,127.95310782127792,151.02979838429235,389.0837097167969,299.0528564453125,113.95081329345703,0.0,1.0
13.0,19652.0,70.98871692747392,129.00910807590677,151.40013210033868,388.7073974609375,296.9861755371094,114.51776885986328,0.0,1.0
13.5,20291.0,71.78283028455023,129.86916493148019,155.0290295396317,386.62591552734375,293.8537902832031,116.44330596923828,0.0,1.0
14.0,20941.0,72.57243205628075,130.64838307457157,154.02921800749363,386.2019348144531,289.6846618652344,117.29591369628906,0.0,1.0
14.5,21471.0,73.05719976973089,131.24404748406687,155.0290295396317,385.6451721191406,286.6154479980469,117.78495788574219,0.0,1.0
