particle,keep,proposed,reason,R_px_med,sym_med
13,0,reject,rigid-doublet,16.317802532307432,48.98744
9,0,reject,rigid-doublet,11.602800026458125,48.496216
5552,0,reject,not-round;mislink,23.1075844903676,35.9782915
7891,0,reject,not-round;elongated,10.560024183219644,30.6631955
2248,0,reject,not-round;mislink,22.6585129341222,29.853676
14,0,reject,rigid-doublet,9.44738605996551,26.498209
7272,0,reject,not-round;elongated;mislink,15.891808593565171,19.317802
23,0,reject,not-round;mislink,22.38632160573723,17.05562
30,0,reject,rigid-doublet;not-round,12.497544518864103,15.119351
20,0,reject,two-cores;defocus,13.853364567500776,12.587758
25,0,reject,rigid-doublet;not-round;elongated,12.0826193478665,12.461632
17,0,reject,not-round;mislink,23.387114074080216,12.445293
24,0,reject,not-round;mislink,10.777438125984832,11.0452985
34,0,reject,not-round,9.497059562200471,9.831174
26,0,reject,not-round,10.580550079146766,9.555322
4254,0,reject,not-round;mislink,22.41838247172844,9.456672
1065,0,reject,defocus,11.522460544527751,9.283765
1807,0,reject,defocus,13.958768520865592,8.9867305
28,0,reject,not-round;defocus,14.60001764582999,8.8400005
4541,0,reject,two-cores;not-round;elongated,15.1909255042922,8.548387
1926,0,reject,not-round;elongated;mislink,13.749595001493784,8.523601
6001,0,reject,two-cores;not-round,23.82971773447522,8.17649075
6947,0,reject,defocus,11.234948239195475,7.6399542
3661,0,reject,not-round;elongated,21.10259759274417,7.611448
1116,0,reject,not-round;elongated,22.8402620561141,7.5395868
9823,0,reject,two-cores;not-round,11.3809084897757,7.487015
22,0,reject,not-round,12.204088932386378,7.164058750000001
8116,0,reject,not-round;mislink,10.569214525857287,7.105976
7172,0,reject,two-cores;not-round,23.04402149219647,7.0054727
162,0,reject,rigid-doublet;not-round,8.54106670104548,6.905412500000001
5030,0,reject,two-cores;not-round;elongated,13.324119082659749,6.71378715
3878,0,reject,not-round;elongated,19.83853014411395,6.5895305
29,0,reject,two-cores;not-round,24.19659702805659,6.5683856
953,0,reject,not-round;mislink,23.12217685221339,6.5675523
4925,0,reject,not-round,21.052054252899467,6.21631965
814,0,reject,two-cores;not-round,23.843406176875,6.1812387
3295,0,reject,not-round,20.69604606197677,6.1659258
37,0,reject,not-round,10.353187638701003,6.1452374
1365,0,reject,two-cores;not-round,23.84218573364412,6.1135142
